n_labels,metric,arm,ref,n,ref_mean,arm_mean,delta,se,wilcoxon_p
8,auroc,gp_dot,svm_linear,30,0.9997716231858905,0.9997815095259159,9.886340025522244e-06,1.2068914171067215e-05,0.916511907863894
8,auroc,gp_rbf,svm_linear,30,0.9997716231858905,0.9997815701492988,9.94696340834711e-06,5.153445978715072e-05,0.44957974035141124
8,auroc,gp_rbf@fixed,svm_linear,30,0.9997716231858905,0.9997968065812078,2.5183395317470344e-05,2.3377865267711793e-05,0.3104944343172349
16,auroc,gp_dot,svm_linear,30,0.9999140429715304,0.9999241808466318,1.01378751013755e-05,1.01378751013755e-05,0.31731050786291415
16,auroc,gp_rbf,svm_linear,30,0.9999140429715304,0.9999214608832957,7.417911765287647e-06,5.762376156531921e-06,0.17971249487899976
16,auroc,gp_rbf@fixed,svm_linear,30,0.9999140429715304,0.9999036535613531,-1.0389410177239859e-05,1.2288674742414914e-05,0.34523107177184
32,auroc,gp_dot,svm_linear,30,0.9999779977997799,0.9999779977997799,0.0,0.0,
32,auroc,gp_rbf,svm_linear,30,0.9999779977997799,0.9999889988998899,1.1001100110008543e-05,1.1001100110008542e-05,0.31731050786291415
32,auroc,gp_rbf@fixed,svm_linear,30,0.9999779977997799,0.9999287575482952,-4.9240251484635365e-05,1.65898771898076e-05,0.007526315166457887
64,auroc,gp_dot,svm_linear,30,0.9999669966996699,0.99995599559956,-1.1001100110012245e-05,7.643656037180746e-06,0.17971249487899976
64,auroc,gp_rbf,svm_linear,30,0.9999669966996699,0.999972497249725,5.500550055011673e-06,9.63611835353553e-06,0.4142161782425252
64,auroc,gp_rbf@fixed,svm_linear,30,0.9999669966996699,0.9999220336183748,-4.496308129519067e-05,2.2240194181754136e-05,0.04216819709715596
128,auroc,gp_dot,svm_linear,30,0.9999513582745135,0.9999614961496149,1.0137875101379202e-05,1.0137875101379203e-05,0.31731050786291415
128,auroc,gp_rbf,svm_linear,30,0.9999513582745135,0.9999513582745135,0.0,0.0,
128,auroc,gp_rbf@fixed,svm_linear,30,0.9999513582745135,0.9998915245372241,-5.983373728945344e-05,3.3450428598407565e-05,0.04216819709715596
8,average_precision,gp_dot,svm_linear,30,0.9967702522362615,0.9973745210024414,0.0006042687661797903,0.0005271891032667807,0.9162824413291019
