tier,cell,class_id,source,method,k,n_positive,n_pool,stage1_recall_at_k,ap,first_hit,r@10,r@50,r@100
s,raw,spods/logo_00003_0,spods,raw_alone,,30,4998,,0.9163313565370927,1,0.3333333333333333,0.9,0.9
s,raw,spods/logo_00003_0,spods,sift_exhaustive,,30,4998,,1.0,1,0.3333333333333333,1.0,1.0
s,raw,spods/logo_00003_0,spods,raw_100_sift,100,30,4998,0.9,0.9187564006288035,1,0.3333333333333333,0.9,0.9
s,raw,spods/logo_00003_0,spods,raw_500_sift,500,30,4998,1.0,1.0,1,0.3333333333333333,1.0,1.0
s,raw,spods/logo_00003_0,spods,raw_1000_sift,1000,30,4998,1.0,1.0,1,0.3333333333333333,1.0,1.0
s,raw,spods/logo_00003_0,spods,raw_2000_sift,2000,30,4998,1.0,1.0,1,0.3333333333333333,1.0,1.0
s,raw,spods/logo_00011_0,spods,raw_alone,,30,4998,,0.8741606590879872,1,0.3333333333333333,0.8666666666666667,0.8666666666666667
s,raw,spods/logo_00011_0,spods,sift_exhaustive,,30,4998,,1.0,1,0.3333333333333333,1.0,1.0
s,raw,spods/logo_00011_0,spods,raw_100_sift,100,30,4998,0.8666666666666667,0.8741606590879872,1,0.3333333333333333,0.8666666666666667,0.8666666666666667
s,raw,spods/logo_00011_0,spods,raw_500_sift,500,30,4998,0.9333333333333333,0.9348423539025592,1,0.3333333333333333,0.9333333333333333,0.9333333333333333
s,raw,spods/logo_00011_0,spods,raw_1000_sift,1000,30,4998,0.9333333333333333,0.9348423539025592,1,0.3333333333333333,0.9333333333333333,0.9333333333333333
s,raw,spods/logo_00011_0,spods,raw_2000_sift,2000,30,4998,1.0,1.0,1,0.3333333333333333,1.0,1.0
s,raw,spods/logo_00014_0,spods,raw_alone,,30,4998,,0.8901575612617039,1,0.3333333333333333,0.9,0.9
s,raw,spods/logo_00014_0,spods,sift_exhaustive,,30,4998,,1.0,1,0.3333333333333333,1.0,1.0
s,raw,spods/logo_00014_0,spods,raw_100_sift,100,30,4998,0.9,0.9123742926541331,1,0.3333333333333333,0.9,0.9
s,raw,spods/logo_00014_0,spods,raw_500_sift,500,30,4998,0.9666666666666667,0.9671359299233536,1,0.3333333333333333,0.9666666666666667,0.9666666666666667
s,raw,spods/logo_00014_0,spods,raw_1000_sift,1000,30,4998,0.9666666666666667,0.9671359299233536,1,0.3333333333333333,0.9666666666666667,0.9666666666666667
s,raw,spods/logo_00014_0,spods,raw_2000_sift,2000,30,4998,0.9666666666666667,0.9671359299233536,1,0.3333333333333333,0.9666666666666667,0.9666666666666667
s,raw,spods/logo_00023_0,spods,raw_alone,,30,4998,,0.8687053791754166,1,0.3333333333333333,0.8666666666666667,0.9
s,raw,spods/logo_00023_0,spods,sift_exhaustive,,30,4998,,1.0,1,0.3333333333333333,1.0,1.0
s,raw,spods/logo_00023_0,spods,raw_100_sift,100,30,4998,0.9,0.9110679083712792,1,0.3333333333333333,0.9,0.9
s,raw,spods/logo_00023_0,spods,raw_500_sift,500,30,4998,0.9666666666666667,0.9685393258426966,1,0.3333333333333333,0.9666666666666667,0.9666666666666667
s,raw,spods/logo_00023_0,spods,raw_1000_sift,1000,30,4998,1.0,1.0,1,0.3333333333333333,1.0,1.0
s,raw,spods/logo_00023_0,spods,raw_2000_sift,2000,30,4998,1.0,1.0,1,0.3333333333333333,1.0,1.0
s,raw,spods/logo_00029_0,spods,raw_alone,,30,4998,,0.8193202263026111,1,0.3333333333333333,0.8333333333333334,0.8333333333333334
s,raw,spods/logo_00029_0,spods,sift_exhaustive,,30,4998,,1.0,1,0.3333333333333333,1.0,1.0
s,raw,spods/logo_00029_0,spods,raw_100_sift,100,30,4998,0.8333333333333334,0.8617873205831729,1,0.3333333333333333,0.8333333333333334,0.8333333333333334
s,raw,spods/logo_00029_0,spods,raw_500_sift,500,30,4998,1.0,1.0,1,0.3333333333333333,1.0,1.0
s,raw,spods/logo_00029_0,spods,raw_1000_sift,1000,30,4998,1.0,1.0,1,0.3333333333333333,1.0,1.0
s,raw,spods/logo_00029_0,spods,raw_2000_sift,2000,30,4998,1.0,1.0,1,0.3333333333333333,1.0,1.0
s,raw,spods/stamp_00293_1,spods,raw_alone,,32,4998,,0.0992467857934921,9,0.03125,0.3125,0.5
s,raw,spods/stamp_00293_1,spods,sift_exhaustive,,32,4998,,1.0,1,0.3125,1.0,1.0
s,raw,spods/stamp_00293_1,spods,raw_100_sift,100,32,4998,0.5,0.5116489185958757,1,0.3125,0.5,0.5
s,raw,spods/stamp_00293_1,spods,raw_500_sift,500,32,4998,0.5625,0.5682089308432732,1,0.3125,0.5625,0.5625
s,raw,spods/stamp_00293_1,spods,raw_1000_sift,1000,32,4998,0.5625,0.5682089308432732,1,0.3125,0.5625,0.5625
s,raw,spods/stamp_00293_1,spods,raw_2000_sift,2000,32,4998,0.8125,0.8149001710206589,1,0.3125,0.8125,0.8125
s,raw,spods/stamp_00546_1,spods,raw_alone,,31,4998,,0.45741865270401555,1,0.22580645161290322,0.5806451612903226,0.7419354838709677
s,raw,spods/stamp_00546_1,spods,sift_exhaustive,,31,4998,,0.93872491388256,1,0.3225806451612903,0.9354838709677419,1.0
s,raw,spods/stamp_00546_1,spods,raw_100_sift,100,31,4998,0.7419354838709677,0.7709862563742462,1,0.3225806451612903,0.7419354838709677,0.7419354838709677
s,raw,spods/stamp_00546_1,spods,raw_500_sift,500,31,4998,0.967741935483871,0.9688770092636667,1,0.3225806451612903,0.967741935483871,0.967741935483871
s,raw,spods/stamp_00546_1,spods,raw_1000_sift,1000,31,4998,1.0,0.9805293871544809,1,0.3225806451612903,1.0,1.0
s,raw,spods/stamp_00546_1,spods,raw_2000_sift,2000,31,4998,1.0,0.9421021212794017,1,0.3225806451612903,0.9354838709677419,1.0
