tier,class_id,source,kind,n_positive,pool,n_pool,method,budget,floor,pos_inliers_median,neg_inliers_max,neg_over_floor,pos_over_floor,stage1_recall_at_k,ap,first_hit,r@10,r@50,r@100
s,spods/logo_00003_0,spods,logo,30,own_verified,4998,siglip,8192,24,4.0,69,2,0,,0.16344479424414085,2,0.06666666666666667,0.36666666666666664,0.5
s,spods/logo_00003_0,spods,logo,30,own_verified,4998,sift,8192,24,4.0,69,2,0,,0.13108274370827683,13,0.0,0.43333333333333335,0.6
s,spods/logo_00003_0,spods,logo,30,own_verified,4998,sift_siglip,8192,24,4.0,69,2,0,,0.14653121063545882,4,0.06666666666666667,0.36666666666666664,0.5
s,spods/logo_00003_0,spods,logo,30,own_verified,4998,vlad,8192,24,4.0,69,2,0,,0.007932464047113818,272,0.0,0.0,0.0
s,spods/logo_00003_0,spods,logo,30,own_verified,4998,vlad100_sift,8192,24,4.0,69,2,0,0.0,0.007932464047113818,272,0.0,0.0,0.0
s,spods/logo_00003_0,spods,logo,30,own_verified,4998,siglip100_sift,8192,24,4.0,69,2,0,0.5,0.3813831347128139,2,0.26666666666666666,0.5,0.5
s,spods/logo_00003_0,spods,logo,30,own_verified,4998,vlad500_sift,8192,24,4.0,69,2,0,0.1,0.07400335858413362,1,0.1,0.1,0.1
s,spods/logo_00003_0,spods,logo,30,own_verified,4998,siglip500_sift,8192,24,4.0,69,2,0,0.7666666666666667,0.3252278719630599,3,0.2,0.4666666666666667,0.5333333333333333
s,spods/logo_00003_0,spods,logo,30,own_verified,4998,vlad1000_sift,8192,24,4.0,69,2,0,0.16666666666666666,0.080481836715321,1,0.1,0.16666666666666666,0.16666666666666666
s,spods/logo_00003_0,spods,logo,30,own_verified,4998,siglip1000_sift,8192,24,4.0,69,2,0,0.9,0.3189935961469634,4,0.16666666666666666,0.6,0.6
s,spods/logo_00011_0,spods,logo,30,own_verified,4998,siglip,8192,24,36.0,50,3,21,,0.466191738802859,1,0.26666666666666666,0.5333333333333333,0.5666666666666667
s,spods/logo_00011_0,spods,logo,30,own_verified,4998,sift,8192,24,36.0,50,3,21,,0.6803444233575624,2,0.3,0.7333333333333333,0.7333333333333333
s,spods/logo_00011_0,spods,logo,30,own_verified,4998,sift_siglip,8192,24,36.0,50,3,21,,0.729923263462179,2,0.3,0.8666666666666667,0.8666666666666667
s,spods/logo_00011_0,spods,logo,30,own_verified,4998,vlad,8192,24,36.0,50,3,21,,0.01629856467284846,346,0.0,0.0,0.0
s,spods/logo_00011_0,spods,logo,30,own_verified,4998,vlad100_sift,8192,24,36.0,50,3,21,0.0,0.01629856467284846,346,0.0,0.0,0.0
s,spods/logo_00011_0,spods,logo,30,own_verified,4998,siglip100_sift,8192,24,36.0,50,3,21,0.5666666666666667,0.5688045492523567,1,0.3333333333333333,0.5666666666666667,0.5666666666666667
s,spods/logo_00011_0,spods,logo,30,own_verified,4998,vlad500_sift,8192,24,36.0,50,3,21,0.16666666666666666,0.14822934230086576,1,0.13333333333333333,0.16666666666666666,0.16666666666666666
s,spods/logo_00011_0,spods,logo,30,own_verified,4998,siglip500_sift,8192,24,36.0,50,3,21,0.6666666666666666,0.6241916617030172,1,0.3333333333333333,0.6666666666666666,0.6666666666666666
