tier,class_id,source,kind,n_positive,pool,n_pool,method,budget,floor,pos_inliers_median,neg_inliers_max,neg_over_floor,pos_over_floor,stage1_recall_at_k,ap,first_hit,r@10,r@50,r@100
s,spods/logo_00003_0,spods,logo,30,own_verified,4998,siglip,8192,24,135.5,21,0,26,,0.16344479424414085,2,0.06666666666666667,0.36666666666666664,0.5
s,spods/logo_00003_0,spods,logo,30,own_verified,4998,sift,8192,24,135.5,21,0,26,,0.9201119161233048,1,0.3333333333333333,0.9333333333333333,0.9333333333333333
s,spods/logo_00003_0,spods,logo,30,own_verified,4998,sift_siglip,8192,24,135.5,21,0,26,,0.9324322089947091,1,0.3333333333333333,0.9,0.9666666666666667
s,spods/logo_00003_0,spods,logo,30,own_verified,4998,vlad,8192,24,135.5,21,0,26,,0.016000562316131787,4,0.03333333333333333,0.03333333333333333,0.03333333333333333
s,spods/logo_00003_0,spods,logo,30,own_verified,4998,vlad100_sift,8192,24,135.5,21,0,26,0.03333333333333333,0.041000562316131764,1,0.03333333333333333,0.03333333333333333,0.03333333333333333
s,spods/logo_00003_0,spods,logo,30,own_verified,4998,siglip100_sift,8192,24,135.5,21,0,26,0.5,0.4995835822792036,1,0.3333333333333333,0.5,0.5
s,spods/logo_00003_0,spods,logo,30,own_verified,4998,vlad500_sift,8192,24,135.5,21,0,26,0.16666666666666666,0.1727707006323011,1,0.16666666666666666,0.16666666666666666,0.16666666666666666
s,spods/logo_00003_0,spods,logo,30,own_verified,4998,siglip500_sift,8192,24,135.5,21,0,26,0.7666666666666667,0.722150177127052,1,0.3333333333333333,0.7,0.7333333333333333
s,spods/logo_00003_0,spods,logo,30,own_verified,4998,vlad1000_sift,8192,24,135.5,21,0,26,0.3333333333333333,0.33748777794566526,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
s,spods/logo_00003_0,spods,logo,30,own_verified,4998,siglip1000_sift,8192,24,135.5,21,0,26,0.9,0.8416515827775913,1,0.3333333333333333,0.8333333333333334,0.8333333333333334
s,spods/logo_00011_0,spods,logo,30,own_verified,4998,siglip,8192,24,47.5,29,4,21,,0.466191738802859,1,0.26666666666666666,0.5333333333333333,0.5666666666666667
s,spods/logo_00011_0,spods,logo,30,own_verified,4998,sift,8192,24,47.5,29,4,21,,0.7861884919901112,1,0.3333333333333333,0.8,0.8333333333333334
s,spods/logo_00011_0,spods,logo,30,own_verified,4998,sift_siglip,8192,24,47.5,29,4,21,,0.7837639440677749,1,0.3333333333333333,0.8,0.8
s,spods/logo_00011_0,spods,logo,30,own_verified,4998,vlad,8192,24,47.5,29,4,21,,0.009355954302403834,21,0.0,0.03333333333333333,0.06666666666666667
s,spods/logo_00011_0,spods,logo,30,own_verified,4998,vlad100_sift,8192,24,47.5,29,4,21,0.06666666666666667,0.07352207737263651,1,0.06666666666666667,0.06666666666666667,0.06666666666666667
s,spods/logo_00011_0,spods,logo,30,own_verified,4998,siglip100_sift,8192,24,47.5,29,4,21,0.5666666666666667,0.550102817601842,1,0.3333333333333333,0.5333333333333333,0.5666666666666667
s,spods/logo_00011_0,spods,logo,30,own_verified,4998,vlad500_sift,8192,24,47.5,29,4,21,0.13333333333333333,0.13942132606842877,1,0.13333333333333333,0.13333333333333333,0.13333333333333333
s,spods/logo_00011_0,spods,logo,30,own_verified,4998,siglip500_sift,8192,24,47.5,29,4,21,0.6666666666666666,0.6304260672114698,1,0.3333333333333333,0.6333333333333333,0.6333333333333333
s,spods/logo_00011_0,spods,logo,30,own_verified,4998,vlad1000_sift,8192,24,47.5,29,4,21,0.26666666666666666,0.27131607443291755,1,0.26666666666666666,0.26666666666666666,0.26666666666666666
s,spods/logo_00011_0,spods,logo,30,own_verified,4998,siglip1000_sift,8192,24,47.5,29,4,21,0.7,0.6565021591011868,1,0.3333333333333333,0.6666666666666666,0.6666666666666666
