pair,k,se_true,se_formula,se_hat_median,se_hat_p05,se_hat_p95,coverage_2se,resolved_frac,se_true_wor
native-sklearn,8,0.018944397562170305,0.018762191270108933,0.015966893110914558,0.00619130244156609,0.030690250426474493,0.9135,0.07025,0.01818303283256251
native-sklearn,16,0.013265755167267872,0.013266872677013071,0.01236997017016987,0.00666940467572254,0.019017094048566385,0.9255,0.069,0.012206714511768463
native-sklearn,32,0.009274211654738766,0.009381095635054466,0.009134966755204936,0.0059823413493524154,0.012479087312366436,0.94,0.07175,0.008032864818783243
native-sklearn,64,0.006600004269297194,0.006633436338506536,0.006511363029898683,0.004938323658604548,0.008033745756674003,0.94525,0.12425,0.004437484423447051
native-sklearn,114,0.004838791859111335,0.004970225885340515,0.004899710921307015,0.0040323133225865756,0.005779320754604489,0.9565,0.21,
ll1e-3-baseline,8,0.023085020499775913,0.02337833799892009,0.01765090007147,0.008572381477399438,0.04678308330682852,0.9135,0.25775,0.021460472410331236
ll1e-3-baseline,16,0.01635058450404196,0.01653098133190754,0.013764659128860397,0.00792378365553022,0.026608531628557596,0.92975,0.3955,0.015383622517050253
ll1e-3-baseline,32,0.011703501841371556,0.011689168999460046,0.01056740335645379,0.006793678726091812,0.016914363736337767,0.92775,0.6495,0.00998802004944283
ll1e-3-baseline,64,0.008173316422560062,0.00826549066595377,0.007981717488164224,0.005613616558181879,0.010804481754642454,0.943,0.9265,0.0055324035477751134
ll1e-3-baseline,114,0.006264532808713,0.0061930730267945825,0.006089281479840428,0.004585565995240754,0.007644296103304549,0.93975,0.997,
ll1e-6-baseline,8,0.011960513433188758,0.011870755620524698,0.01097123173531664,0.004548731990208255,0.01782360506784177,0.92675,0.09175,0.011374864286351094
ll1e-6-baseline,16,0.008322043599236474,0.008393891797081337,0.008090647111467843,0.0047652968243032095,0.011518141297564115,0.945,0.091,0.007833934397591908
ll1e-6-baseline,32,0.006014503642772108,0.005935377810262349,0.005827108724302471,0.004276345328291333,0.00743453727453148,0.94175,0.1145,0.005288972274954332
ll1e-6-baseline,64,0.004116117999088797,0.004196945898540669,0.004157271900819671,0.0033328331640253036,0.0049435104607777345,0.957,0.17,0.002844656755791315
ll1e-6-baseline,114,0.0031029255604375686,0.0031446399844393394,0.003112899762411612,0.0026525958155656382,0.0035712408160839446,0.95625,0.291,
ll1e-8-baseline,8,0.014001067547992446,0.01397653981585988,0.01086894491316519,0.004186123527288009,0.027708752830360586,0.8985,0.0585,0.013151421197246372
ll1e-8-baseline,16,0.009865632143128491,0.009882906081318301,0.008572717873067594,0.00431083931119635,0.01615298236299146,0.911,0.05825,0.009430820805165727
ll1e-8-baseline,32,0.0069917948491213765,0.00698826990792994,0.006392320933075985,0.004015340484801317,0.009959568086176715,0.928,0.07375,0.005917074809504517
ll1e-8-baseline,64,0.004832673601476858,0.004941453040659151,0.004760677006991084,0.0033778689013089,0.006459876240555505,0.9425,0.12075,0.003244173101660306
ll1e-8-baseline,114,0.003629266507014078,0.003702475845182864,0.003620696069879909,0.0028098220753927984,0.0045606227512860475,0.94575,0.21475,
ll1e-6-ll1e-8,8,0.015632585946417584,0.015930132908661375,0.013192657020792685,0.00448982858073232,0.029254734733560207,0.94125,0.0595,0.015492660618397991
ll1e-6-ll1e-8,16,0.011195151197984875,0.01126430500491744,0.010078085991805076,0.005432892734644061,0.0179756412194308,0.93875,0.05825,0.01039849642475884
ll1e-6-ll1e-8,32,0.007897126188761197,0.007965066454330687,0.007380215062233424,0.0048850806851339764,0.01107246564009847,0.94275,0.0555,0.00674862022650852
ll1e-6-ll1e-8,64,0.00560467862482194,0.00563215250245872,0.005455154369063868,0.003985466104504907,0.007195196266196475,0.94925,0.04725,0.003645930005295028
ll1e-6-ll1e-8,114,0.004120439992337472,0.004219995297973735,0.004141951046028062,0.0032889218211657975,0.005114360413675549,0.95775,0.0435,
baseline-native,8,0.005094611850621925,0.005197466300945816,0.004932901703833136,0.0018448661489367138,0.007695638521568503,0.90375,0.073,0.005161360122810509
baseline-native,16,0.003586898011204655,0.003675163666387348,0.003615316818388006,0.002045172803507637,0.004969572358758658,0.9285,0.081,0.003443512974133329
baseline-native,32,0.0025791968464260527,0.002598733150472908,0.002554741489502795,0.0018317770580243283,0.0032244674403359374,0.947,0.1305,0.0021424829829696434
baseline-native,64,0.0018298660249120178,0.001837581833193674,0.0018174900163232472,0.0014543443279242613,0.002169672325978138,0.947,0.23475,0.001211876994135285
baseline-native,114,0.001386081588236427,0.0013768424580715792,0.0013675703523538612,0.0011715011905110556,0.0015561645251768665,0.94775,0.40875,
v:ll1e-8-baseline,8,0.013529727489016012,0.013394151806175671,0.010634374755675271,0.0045261923067551986,0.02364991906328532,0.938,0.0635,0.01275546200846067
v:ll1e-8-baseline,16,0.009547676334622729,0.009471095570388862,0.008320630819341018,0.004388871450046225,0.015355401191619399,0.9455,0.05325,0.009059491902673102
v:ll1e-8-baseline,32,0.006609167453599108,0.006697075903087836,0.006280499425975913,0.003937126630864571,0.00964320156226788,0.951,0.05475,0.006334227164599028
v:ll1e-8-baseline,64,0.004712048386195115,0.004735547785194431,0.0045696982874058895,0.0033393691487079435,0.006144846844760252,0.95525,0.05375,0.004281130856572817
v:ll1e-8-baseline,114,0.0035327706619461925,0.0035481974925441755,0.0034890982483441425,0.002734893592873263,0.004357565045629665,0.95475,0.06025,0.0031434319215981857
