arm,n,mean,sd,cell_seconds,var_share,pair
caltech101_m/dinov3_patch/whole_image,12,-0.015912319219317888,0.10274041406497134,21.655,0.3684799135733132,native-sklearn
caltech101_m/siglip/whole_image,12,0.0011152443942326706,0.004983455665680185,18.2375,0.002837906584149295,native-sklearn
coco_val/dinov3_patch/max_patch,14,-0.0003580615501519744,0.01447503997824905,572.857,0.010025117549872564,native-sklearn
coco_val/dinov3_patch/whole_image,14,0.0017381451698162975,0.07412696689461996,75.4885,0.22719453162808229,native-sklearn
coco_val/siglip/whole_image,14,-0.030624919452887527,0.051860229786041684,82.0075,0.1362658999495689,native-sklearn
visual_genome_m/dinov3_patch/max_patch,16,-0.004774021110352705,0.03548521698824347,620.1759999999999,0.05944652687111347,native-sklearn
visual_genome_m/dinov3_patch/whole_image,16,0.005560396952252753,0.036978649358749595,73.5565,0.07132646907555588,native-sklearn
visual_genome_m/siglip/whole_image,16,-0.007775158088889537,0.0513494677319094,79.103,0.12442363476834419,native-sklearn
caltech101_m/dinov3_patch/whole_image,12,0.009948328009172952,0.04170765385296924,21.655,0.044966254303640665,ll1e-3-baseline
caltech101_m/siglip/whole_image,12,-0.012403806129970512,0.03419288774749306,18.2375,0.06180269297712156,ll1e-3-baseline
coco_val/dinov3_patch/max_patch,14,0.010064051341350605,0.03311805254844368,572.857,0.03603161436208242,ll1e-3-baseline
coco_val/dinov3_patch/whole_image,14,0.0432522478690366,0.07086676931505223,75.4885,0.1405984006361061,ll1e-3-baseline
coco_val/siglip/whole_image,14,0.035337629179331295,0.039128205396460496,82.0075,0.04276769328288466,ll1e-3-baseline
visual_genome_m/dinov3_patch/max_patch,16,0.0434774468848756,0.07968087486601418,620.1759999999999,0.20267502586010583,ll1e-3-baseline
visual_genome_m/dinov3_patch/whole_image,16,0.039904571065759335,0.11090501409813838,73.5565,0.37970428248018007,ll1e-3-baseline
visual_genome_m/siglip/whole_image,16,0.02595526537510278,0.054884995015560614,79.103,0.09145403609787861,ll1e-3-baseline
caltech101_m/dinov3_patch/whole_image,12,0.0060065619508875845,0.010916692306766425,21.655,0.01052308953511619,ll1e-6-baseline
caltech101_m/siglip/whole_image,12,-0.005596704627858791,0.013505091761477695,18.2375,0.02523172499766292,ll1e-6-baseline
coco_val/dinov3_patch/max_patch,14,0.002164690762521478,0.03582381126164307,572.857,0.13153407508579104,ll1e-6-baseline
coco_val/dinov3_patch/whole_image,14,0.0023569788059997388,0.034802479902159254,75.4885,0.1240808838007297,ll1e-6-baseline
coco_val/siglip/whole_image,14,-0.0032969126139817595,0.026839270399147214,82.0075,0.08008459454874839,ll1e-6-baseline
visual_genome_m/dinov3_patch/max_patch,16,0.007480064722047294,0.03568168139960119,620.1759999999999,0.15108265945727328,ll1e-6-baseline
