pair,n,mean,sd,se,frac_zero,T,cost_fraction,se_same_cost
native-sklearn,113,-0.01642542212472876,0.14548294723020186,0.013685884445340055,0.1504424778761062,20,0.16304425785907434,0.005526187586056943
native-sklearn,114,-0.005688607523209273,0.09985248633791184,0.009352042195524317,0.09649122807017543,40,0.3449544611161942,0.005492718480035436
native-sklearn,114,-0.007878945371922888,0.07261411182207295,0.006800934685316007,0.09649122807017543,60,0.5482171003003455,0.005035526584109348
native-sklearn,114,-0.007183162845078898,0.05984861874932415,0.005605336716337914,0.09649122807017543,80,0.7694547628138003,0.004916921244898442
native-sklearn,114,-0.006129939609806835,0.053067490708052285,0.004970225885340515,0.09649122807017543,100,1.0,0.004970225885340515
ll1e-3-baseline,113,0.020634276022993725,0.06931891443222674,0.00652097493800926,0.061946902654867256,20,0.16304425785907434,0.0026330874628775094
ll1e-3-baseline,114,0.02615859589570786,0.06988265665404933,0.006545110469781765,0.06140350877192982,40,0.3449544611161942,0.0038441282106756115
ll1e-3-baseline,114,0.026794353987975514,0.06650142580230411,0.00622842918563908,0.05263157894736842,60,0.5482171003003455,0.0046116338698628185
ll1e-3-baseline,114,0.026787282915504643,0.06586167328979863,0.006168510873025442,0.05263157894736842,80,0.7694547628138003,0.005410929565134335
ll1e-3-baseline,114,0.025974436782616593,0.06612392532763016,0.0061930730267945825,0.05263157894736842,100,1.0,0.0061930730267945825
ll1e-6-baseline,113,0.0016351815553423978,0.05638474867268752,0.005304230973496149,0.09734513274336283,20,0.16304425785907434,0.0021417815908341777
ll1e-6-baseline,114,0.002826166133275208,0.04792609758341274,0.004488690300110409,0.09649122807017543,40,0.3449544611161942,0.0026363345723965665
ll1e-6-baseline,114,0.004046855505691479,0.040232990399880264,0.0037681647966030358,0.09649122807017543,60,0.5482171003003455,0.0027900126798112187
ll1e-6-baseline,114,0.00456506410440268,0.03597925371553861,0.003369765854127141,0.09649122807017543,80,0.7694547628138003,0.0029559104398131286
ll1e-6-baseline,114,0.004436289187267919,0.03357556718832535,0.0031446399844393394,0.09649122807017543,100,1.0,0.0031446399844393394
ll1e-8-baseline,113,-0.0005247316674967064,0.04382205016933985,0.004122431708965095,0.1592920353982301,20,0.16304425785907434,0.0016645859480574011
ll1e-8-baseline,114,0.0038815430210065735,0.04602271982885002,0.004310422640210042,0.15789473684210525,40,0.3449544611161942,0.0025316329415168396
ll1e-8-baseline,114,0.00499032372845609,0.04348787445404688,0.004073012618950631,0.15789473684210525,60,0.5482171003003455,0.0030157271418032668
ll1e-8-baseline,114,0.005319975653664124,0.04079308445746674,0.003820622411351707,0.15789473684210525,80,0.7694547628138003,0.003351395367267681
ll1e-8-baseline,114,0.0049299125203368065,0.039531624325273206,0.003702475845182864,0.15789473684210525,100,1.0,0.003702475845182864
ll1e-6-ll1e-8,113,0.0021599132228391047,0.05289562715563445,0.004976002031154343,0.09734513274336283,20,0.16304425785907434,0.0020092468822592055
ll1e-6-ll1e-8,114,-0.0010553768877313672,0.046180383858462494,0.004325189229523225,0.09649122807017543,40,0.3449544611161942,0.002540305776424111
ll1e-6-ll1e-8,114,-0.0009434682227646103,0.04504770732893415,0.0042191043528564415,0.09649122807017543,60,0.5482171003003455,0.003123895922101905
ll1e-6-ll1e-8,114,-0.0007549115492614445,0.045165129992670215,0.0042301019929377745,0.09649122807017543,80,0.7694547628138003,0.00371058500313456
ll1e-6-ll1e-8,114,-0.0004936233330688858,0.04505722001966976,0.004219995297973735,0.09649122807017543,100,1.0,0.004219995297973735
baseline-native,113,6.686861810755473e-06,0.0004959923825480944,4.665903848222928e-05,0.9823008849557522,20,0.16304425785907434,1.884033145739759e-05
baseline-native,114,-0.0004206442775843428,0.004390714299587374,0.000411228071570239,0.7719298245614035,40,0.3449544611161942,0.0002415258593790541
baseline-native,114,-0.0007598380190202471,0.009162358040858281,0.0008581334541699312,0.49122807017543857,60,0.5482171003003455,0.0006353764623730518
baseline-native,114,-0.0018376905726222722,0.013260644762783448,0.0012419731737248075,0.39473684210526316,80,0.7694547628138003,0.0010894411152290377
baseline-native,114,-0.002411871699802649,0.014700654665549392,0.0013768424580715792,0.2982456140350877,100,1.0,0.0013768424580715792
v:ll1e-8-baseline,397,-0.00019216012656529154,0.034849134647331845,0.0017490279312958555,0.18387909319899245,20,0.16304425785907434,0.000706235426741823
v:ll1e-8-baseline,399,1.9121852580523347e-05,0.03789902552997243,0.0018973244161592769,0.15538847117794485,40,0.3449544611161942,0.0011143522094295073
v:ll1e-8-baseline,399,0.0011314673159735736,0.03922610865579155,0.0019637616709878556,0.15538847117794485,60,0.5482171003003455,0.0014540022153814974
v:ll1e-8-baseline,399,0.0009390338744353443,0.03924632342562834,0.0019647736752766744,0.15538847117794485,80,0.7694547628138003,0.001723471383481236
v:ll1e-8-baseline,399,0.0009653912737806662,0.03788438228155545,0.001896591336815813,0.15288220551378445,100,1.0,0.001896591336815813
