arm,folds,anchored,capped_pct,iter_median,iter_mean,iter_p90,iter_max,refit_ms_median,lost_vs_shipped,obj_better,obj_worse,gap_to_limit_median,gap_to_limit_p99,gap_to_limit_max
shipped,4516,4493,7.4115290451813935,50.0,66.15290451813932,165.0,200,7.736,0,0,0,2.299999990462709e-08,0.00019115746000022437,0.024218403699999946
drv_shipped,4516,4493,7.4115290451813935,50.0,66.15290451813932,165.0,200,,0,0,0,2.299999990462709e-08,0.00019115746000022437,0.024218403699999946
limit,4516,4496,0.022241992882562275,97.0,189.22219750889678,352.5,20000,14.86,2,3657,0,0.0,0.0,0.0
cap400,4516,4494,2.53671562082777,50.0,75.04984423676012,165.0,400,7.736,2,331,0,2.299999990462709e-08,1.0201700000054267e-05,0.002037578399999962
cap1000,4516,4496,0.42259786476868333,50.0,81.12388790035587,165.5,1000,7.765499999999999,2,331,0,2.299999990462709e-08,1.1069049998591053e-06,0.002029294300000206
cap2000,4516,4496,0.06672597864768684,50.0,82.73576512455516,165.5,2000,7.751,2,331,0,2.299999990462709e-08,1.0243699998469012e-06,0.0006247942000001672
cap5000,4516,4496,0.0,50.0,83.33540925266904,165.5,4164,7.751,2,331,0,2.299999990462709e-08,1.0243699998469012e-06,0.0006247942000001672
ll1e-7,4516,4493,4.495882483863788,40.0,55.20365012241264,130.0,200,6.202,0,0,3474,2.286000000406574e-07,0.00019115746000022437,0.024218403699999946
ll1e-6,4516,4493,1.4466948586690407,29.0,41.780992655241484,94.0,200,4.589,0,0,3630,2.262599999802717e-06,0.0002543313800002632,0.024218403699999946
stall1e-3,4516,4494,0.20026702269692925,25.0,31.453938584779706,65.0,200,,1,0,3732,1.0113400000011374e-05,0.001220231367999831,0.04337189670000008
stall1e-4,4516,4493,2.336968617849989,35.0,46.85800133541064,102.0,200,,0,0,3543,9.7290000011796e-07,0.0003742315000001114,0.029960485100000156
stall1e-5,4516,4493,5.497440462942355,44.0,58.86289784108613,139.0,200,,0,0,2621,1.0149999996045267e-07,0.0002548454200002976,0.029960485100000156
rel1e-8,4516,4493,6.832851101713777,47.0,63.38660137992433,155.80000000000018,200,,0,2,3233,4.340000003821842e-08,0.00019115746000022437,0.024218403699999946
aitken1e-7,4516,4493,8.123748052526151,46.0,64.39439127531716,172.0,200,,0,370,2930,6.850000011660029e-08,0.00021673630999983652,0.024218403699999946
aitken1e-6,4516,4493,5.9203204985533056,36.0,54.0885822390385,137.0,200,,0,0,3437,6.934000000846652e-07,0.0002548454200002976,0.029960485100000156
fallback,4516,4160,0.0,46.0,55.43870192307692,123.0,200,7.07,333,0,0,1.9599999845354432e-08,2.076230000414014e-07,0.0006247942000001672
