env,weighting,n,mean,se,ci_hi,resolvable
caltech101_m / binary,1:1,192,-0.00024406751127962548,6.898890075391105e-05,-0.00010884926580195984,True
caltech101_m / binary,fpr x4,192,-0.00048248127455890886,0.00021193135545526882,-6.7095817866582e-05,True
caltech101_m / binary,fnr x4,192,-0.0007378562818392192,0.0005386232058813742,0.00031784520168827424,False
caltech101_m / binary,AP (higher=better),192,-1.4664824263092846e-07,1.4664824263092843e-07,1.4078231292569128e-07,False
coco_val / binary,1:1,304,-0.00023842556322461181,9.731301347515508e-06,-0.0002193522125834814,True
coco_val / binary,fpr x4,304,-0.0012869275419537785,3.951006940689193e-05,-0.0012094878059162703,True
coco_val / binary,fnr x4,304,9.47997258307172e-05,3.5512010240826485e-05,0.0001644032659027371,True
coco_val / binary,AP (higher=better),304,0.0,0.0,0.0,False
visual_genome_m / binary,1:1,272,-0.00021785881432426275,3.0944670364978345e-05,-0.0001572072604089052,True
visual_genome_m / binary,fpr x4,272,-0.0016999216770814227,0.00015189501714907308,-0.0014022074434692396,True
visual_genome_m / binary,fnr x4,272,0.0006106276054601042,0.0002161650632397241,0.0010343111294099634,True
visual_genome_m / binary,AP (higher=better),272,0.0,0.0,0.0,False
