mode,schedule,mean,se,n,ci_hi,question
binary,cap50,-0.01660012579325234,0.0024978308106794298,384,-0.011704377404320657,q2
binary,cap80,-0.003023305343695756,0.0030204467946845955,384,0.002896770373886051,q2
binary,corridor,-0.014156039879873836,0.0027098217844284847,384,-0.008844789182394005,q2
binary,corridor:w=0.05,-0.01685758009768747,0.0019612928851847045,384,-0.01301344604272545,q2
binary,corridor:w=0.1,-0.017793261341213576,0.001984830857872726,384,-0.013902992859783032,q2
binary,corridor:w=0.2,-0.018599482712107273,0.0020507476369942663,384,-0.014580017343598511,q2
binary,corridor:w=0.3,-0.0185401571810198,0.002146953816891571,384,-0.014332127699912323,q2
binary,corridor:w=0.5,-0.01798141444634997,0.002326468938107888,384,-0.013421535327658508,q2
binary,corridor:w=0.75,-0.01610682811544419,0.002546967455096675,384,-0.011114771903454706,q2
binary,corridor_ramp,-0.011647089388612279,0.002632003113651313,384,-0.006488363285855705,q2
binary,corridor_ramp:w=0.2,-0.017637817402386253,0.002040928594648156,384,-0.013637597356875867,q2
binary,corridor_ramp:w=0.5,-0.016131169688814784,0.002293422490011809,384,-0.011636061608391639,q2
binary,prod,0.00793159747024622,0.003409310296544194,384,0.014613845651472841,q2
binary,pure_gmm,-0.015500263233109891,0.0019572520237270317,384,-0.01166404926660491,q2
binary,pure_xcal,0.01606381637962838,0.0035775033283221096,384,0.023075722903139716,q2
binary,rare:lo=0:hi=16,-0.018819424687925038,0.0024394094089962796,384,-0.01403818224629233,q2
binary,rare:lo=0:hi=32,-0.020641854906611176,0.0022224150885436513,384,-0.01628592133306562,q2
binary,rare:lo=0:hi=4,0.007285749278665671,0.003307686621009236,384,0.013768815055843774,q2
binary,rare:lo=0:hi=64,-0.019762260950744317,0.0020586291931654205,384,-0.015727347732140094,q2
binary,rare:lo=0:hi=8,-0.01072085158652492,0.002694441251386953,384,-0.005439746733806493,q2
binary,rare:lo=1:hi=16,-0.01841349434459004,0.0023338771959628838,384,-0.013839095040502788,q2
binary,rare:lo=1:hi=16:cap=0.5,-0.021785240567282108,0.002142105098265644,384,-0.017586714574681445,q2
binary,rare:lo=1:hi=16:cap=0.8,-0.019689741002833508,0.002251936839952065,384,-0.015275944796527462,q2
binary,rare:lo=1:hi=32,-0.018292135202065556,0.002145222366691685,384,-0.014087499363349854,q2
binary,rare:lo=1:hi=32:cap=0.5,-0.01952518049650023,0.0020527352856802004,384,-0.015501819336567036,q2
binary,rare:lo=1:hi=32:cap=0.8,-0.01872541747560306,0.002109523890287119,384,-0.014590750650640309,q2
binary,rare:lo=1:hi=4,0.0023772384015391585,0.0032648910567879778,384,0.008776424872843596,q2
binary,rare:lo=1:hi=4:cap=0.5,-0.018324208246929367,0.002552838650950691,384,-0.013320644491066014,q2
binary,rare:lo=1:hi=64,-0.017719635613801892,0.002014689721257965,384,-0.013770843760136282,q2
binary,rare:lo=1:hi=8,-0.01498654625774809,0.002628966583471349,384,-0.009833771754144245,q2
binary,rare:lo=1:hi=8:cap=0.5,-0.021773788683638384,0.002341936702044502,384,-0.01718359274763116,q2
binary,rare:lo=1:hi=8:cap=0.8,-0.01792595421481678,0.0025095297908407175,384,-0.013007275824768974,q2
binary,rare:lo=2:hi=16,-0.01672175472612875,0.002280462396897025,384,-0.01225204842821058,q2
