mode,schedule,family,mean_over_envs,worst_env,wins_every_env,robust_to_reweighting,eligible,promoted
binary,rare:lo=0:hi=32,rare,-0.1824267335705481,-0.050405352941176464,True,False,False,False
binary,rare:lo=0:hi=64,rare,-0.16089114720932232,-0.09440439338235294,True,False,False,False
binary,corridor,corridor,-0.07980498008040936,-0.06463614583333334,True,False,False,False
binary,corridor:w=0.75,corridor,-0.05856252941176471,-0.04659160416666666,True,False,False,False
binary,corridor:w=0.5,corridor,-0.04052178058708864,-0.0325112536764706,True,False,False,False
binary,corridor:w=0.3,corridor,-0.02543210137527233,-0.021230182598039212,True,True,True,True
binary,corridor:w=0.2,corridor,-0.019154836823472077,-0.01562553472222222,True,True,True,True
binary,corridor:w=0.1,corridor,-0.010560539126103654,-0.00945197794117646,True,True,True,False
binary,corridor:w=0.05,corridor,-0.006099233649380804,-0.004533601715686267,True,True,True,False
binary,slow_cap50,reference,-0.0025273564814814816,0.0,False,False,False,False
binary,corridor_ramp,corridor,-0.0019644969362745093,0.0,False,False,False,False
binary,corridor_ramp:w=0.5,corridor,-0.0019143888888888884,0.0,False,False,False,False
binary,corridor_ramp:w=0.2,corridor,-0.0019111905637254902,0.0,False,False,False,False
binary,pure_gmm,reference,-0.0018770357434640518,0.0,False,False,False,False
binary,rare:lo=1:hi=16,rare,-0.0018770357434640518,0.0,False,False,False,False
binary,rare:lo=1:hi=16:cap=0.5,rare,-0.0018770357434640518,0.0,False,False,False,False
binary,rare:lo=1:hi=16:cap=0.8,rare,-0.0018770357434640518,0.0,False,False,False,False
binary,rare:lo=1:hi=32,rare,-0.0018770357434640518,0.0,False,False,False,False
binary,rare:lo=1:hi=32:cap=0.5,rare,-0.0018770357434640518,0.0,False,False,False,False
binary,rare:lo=1:hi=32:cap=0.8,rare,-0.0018770357434640518,0.0,False,False,False,False
binary,rare:lo=1:hi=4,rare,-0.0018770357434640518,0.0,False,False,False,False
binary,rare:lo=1:hi=4:cap=0.5,rare,-0.0018770357434640518,0.0,False,False,False,False
binary,rare:lo=1:hi=64,rare,-0.0018770357434640518,0.0,False,False,False,False
binary,rare:lo=1:hi=8,rare,-0.0018770357434640518,0.0,False,False,False,False
binary,rare:lo=1:hi=8:cap=0.5,rare,-0.0018770357434640518,0.0,False,False,False,False
binary,rare:lo=1:hi=8:cap=0.8,rare,-0.0018770357434640518,0.0,False,False,False,False
binary,rare:lo=2:hi=16,rare,-0.0018770357434640518,0.0,False,False,False,False
binary,rare:lo=2:hi=32,rare,-0.0018770357434640518,0.0,False,False,False,False
binary,rare:lo=2:hi=4,rare,-0.0018770357434640518,0.0,False,False,False,False
binary,rare:lo=2:hi=64,rare,-0.0018770357434640518,0.0,False,False,False,False
binary,rare:lo=2:hi=8,rare,-0.0018770357434640518,0.0,False,False,False,False
binary,rare:lo=4:hi=16,rare,-0.0018770357434640518,0.0,False,False,False,False
binary,rare:lo=4:hi=32,rare,-0.0018770357434640518,0.0,False,False,False,False
binary,rare:lo=4:hi=64,rare,-0.0018770357434640518,0.0,False,False,False,False
binary,rare:lo=4:hi=8,rare,-0.0018770357434640518,0.0,False,False,False,False
binary,cap80,reference,0.0,0.0,False,True,False,False
binary,prod,reference,0.0,0.0,False,True,False,False
binary,rare:lo=0:hi=16,rare,0.04008191109104461,0.10654213970588237,False,False,False,False
binary,rare:lo=0:hi=8,rare,0.37785412099386545,0.5099510486111112,False,False,False,False
binary,pure_xcal,reference,0.3892440431429882,0.5131076111111111,False,False,False,False
binary,rare:lo=0:hi=4,rare,0.3892440431429882,0.5131076111111111,False,False,False,False
region,corridor:w=0.3,corridor,-0.015676213525541795,-0.012267025735294116,False,False,False,False
region,corridor:w=0.5,corridor,-0.012979856553147574,-0.003296982843137254,False,False,False,False
region,corridor:w=0.2,corridor,-0.012112908313983484,-0.010778685049019607,False,False,False,False
region,corridor:w=0.1,corridor,-0.01047355737229102,-0.007682243421052628,True,False,False,False
region,corridor:w=0.05,corridor,-0.008690046181630546,-0.004451756578947368,True,True,True,True
region,corridor_ramp,corridor,-0.005750367647058824,0.0,False,False,False,False
region,corridor_ramp:w=0.5,corridor,-0.005730080882352941,0.0,False,False,False,False
region,corridor_ramp:w=0.2,corridor,-0.00569664705882353,0.0,False,False,False,False
region,pure_gmm,reference,-0.005657169117647059,0.0,False,False,False,False
region,rare:lo=1:hi=16,rare,-0.005657169117647059,0.0,False,False,False,False
region,rare:lo=1:hi=16:cap=0.5,rare,-0.005657169117647059,0.0,False,False,False,False
region,rare:lo=1:hi=16:cap=0.8,rare,-0.005657169117647059,0.0,False,False,False,False
region,rare:lo=1:hi=32,rare,-0.005657169117647059,0.0,False,False,False,False
region,rare:lo=1:hi=32:cap=0.5,rare,-0.005657169117647059,0.0,False,False,False,False
region,rare:lo=1:hi=32:cap=0.8,rare,-0.005657169117647059,0.0,False,False,False,False
region,rare:lo=1:hi=4,rare,-0.005657169117647059,0.0,False,False,False,False
region,rare:lo=1:hi=4:cap=0.5,rare,-0.005657169117647059,0.0,False,False,False,False
region,rare:lo=1:hi=64,rare,-0.005657169117647059,0.0,False,False,False,False
region,rare:lo=1:hi=8,rare,-0.005657169117647059,0.0,False,False,False,False
region,rare:lo=1:hi=8:cap=0.5,rare,-0.005657169117647059,0.0,False,False,False,False
region,rare:lo=1:hi=8:cap=0.8,rare,-0.005657169117647059,0.0,False,False,False,False
region,rare:lo=2:hi=16,rare,-0.005657169117647059,0.0,False,False,False,False
region,rare:lo=2:hi=32,rare,-0.005657169117647059,0.0,False,False,False,False
region,rare:lo=2:hi=4,rare,-0.005657169117647059,0.0,False,False,False,False
region,rare:lo=2:hi=64,rare,-0.005657169117647059,0.0,False,False,False,False
region,rare:lo=2:hi=8,rare,-0.005657169117647059,0.0,False,False,False,False
region,rare:lo=4:hi=16,rare,-0.005657169117647059,0.0,False,False,False,False
region,rare:lo=4:hi=32,rare,-0.005657169117647059,0.0,False,False,False,False
region,rare:lo=4:hi=64,rare,-0.005657169117647059,0.0,False,False,False,False
region,rare:lo=4:hi=8,rare,-0.005657169117647059,0.0,False,False,False,False
region,corridor:w=0.75,corridor,-0.004475268317853456,0.008105943627450981,False,False,False,False
region,cap50,reference,0.0,0.0,False,True,False,False
region,cap80,reference,0.0,0.0,False,True,False,False
region,prod,reference,0.0,0.0,False,True,False,False
region,corridor,corridor,0.015672392640608875,0.02901094975490196,False,False,False,False
