mode,schedule,family,mean_over_envs,worst_env,wins_every_env,robust_to_reweighting,eligible,promoted
binary,rare:lo=1:hi=16:cap=0.5,rare,-0.022168462484865478,-0.015037988481754808,True,False,False,False
binary,rare:lo=1:hi=8:cap=0.5,rare,-0.022142294941306706,-0.015112285885415196,True,False,False,False
binary,rare:lo=0:hi=32,rare,-0.021320345084209394,-0.01022216819247905,True,False,False,False
binary,rare:lo=0:hi=64,rare,-0.02053704314085709,-0.010644201083454645,True,False,False,False
binary,rare:lo=1:hi=16:cap=0.8,rare,-0.020232581151364677,-0.01015644583724052,True,False,False,False
binary,rare:lo=1:hi=32:cap=0.5,rare,-0.020157535574791777,-0.012090507049817662,True,False,False,False
binary,rare:lo=0:hi=16,rare,-0.019407064717695887,-0.007523234236138256,False,False,False,False
binary,rare:lo=1:hi=32:cap=0.8,rare,-0.019401737605164546,-0.009744577416973547,True,False,False,False
binary,corridor:w=0.2,corridor,-0.019310191163938607,-0.011202747526663719,True,False,False,False
binary,corridor:w=0.3,corridor,-0.019242059787719562,-0.010736904233753106,True,False,False,False
binary,rare:lo=1:hi=4:cap=0.5,rare,-0.019179033388853076,-0.01216570142386515,True,False,False,False
binary,rare:lo=1:hi=16,rare,-0.01905784401676421,-0.007319003876351422,False,False,False,False
binary,rare:lo=1:hi=32,rare,-0.018990759930536578,-0.008430488254976505,True,False,False,False
binary,corridor:w=0.5,corridor,-0.018712146510058012,-0.008874781575191865,True,False,False,False
binary,corridor:w=0.1,corridor,-0.018669536125375835,-0.010913302269862287,True,False,False,False
binary,rare:lo=1:hi=8:cap=0.8,rare,-0.018619003019881092,-0.007227358207852875,False,False,False,False
binary,rare:lo=1:hi=64,rare,-0.018508207998530174,-0.008572587933186578,True,False,False,False
binary,corridor_ramp:w=0.2,corridor,-0.018440072773921755,-0.010209378867359753,True,False,False,False
binary,corridor:w=0.05,corridor,-0.017838141168054548,-0.00984654136518755,True,False,False,False
binary,slow_cap50,reference,-0.01771825782389309,-0.011016315764956541,True,False,False,False
binary,rare:lo=2:hi=32,rare,-0.017702829664248725,-0.006330031386559374,True,False,False,False
binary,rare:lo=2:hi=64,rare,-0.017612106696831015,-0.007214658067517001,True,False,False,False
binary,rare:lo=2:hi=16,rare,-0.017536903011333517,-0.005266609344504604,False,False,False,False
binary,corridor_ramp:w=0.5,corridor,-0.01703575578826813,-0.007012348046720163,False,False,False,False
binary,corridor:w=0.75,corridor,-0.017005036550422726,-0.005276907350788579,False,False,False,False
binary,pure_gmm,reference,-0.01662030697670439,-0.008197009211852416,True,False,False,False
binary,rare:lo=4:hi=64,rare,-0.016337277588768635,-0.005244349324535935,True,False,False,False
binary,rare:lo=2:hi=8,rare,-0.015989345378362118,-0.0014302463297562625,False,False,False,False
binary,rare:lo=1:hi=8,rare,-0.01593417840549461,-0.0013509544631216206,False,False,False,False
binary,rare:lo=4:hi=32,rare,-0.01533438067723115,-0.002497164184568882,False,False,False,False
binary,corridor,corridor,-0.015233218687958829,-0.0010400258686732494,False,False,False,False
binary,rare:lo=4:hi=16,rare,-0.013709548668908228,0.0009645749984679953,False,False,False,False
binary,corridor_ramp,corridor,-0.0129225649640495,0.0013992065242155642,False,False,False,False
binary,rare:lo=0:hi=8,rare,-0.011753909704675566,0.001467825021081468,False,False,False,False
binary,rare:lo=4:hi=8,rare,-0.011487351958774561,0.005646598967951096,False,False,False,False
binary,cap80,reference,-0.005363238844709631,0.008314679124911285,False,False,False,False
binary,rare:lo=2:hi=4,rare,-0.0034820768741757216,0.014201638886585486,False,False,False,False
binary,rare:lo=1:hi=4,rare,-0.000484232670237428,0.018413097729465956,False,False,False,False
binary,rare:lo=0:hi=4,rare,0.004272694756684851,0.0223717247492806,False,False,False,False
binary,prod,reference,0.004480226647497649,0.02536799066781449,False,False,False,False
binary,pure_xcal,reference,0.012071792849474433,0.03330562923539661,False,False,False,False
region,rare:lo=1:hi=16:cap=0.5,rare,-0.015690018710603056,-0.015405634693525428,True,False,False,False
region,rare:lo=1:hi=32:cap=0.5,rare,-0.015558467442831164,-0.01531974469928441,True,False,False,False
region,corridor_ramp:w=0.2,corridor,-0.014986467536315416,-0.014828335484887413,True,False,False,False
region,corridor:w=0.2,corridor,-0.014973430451637536,-0.014956690324387225,True,False,False,False
region,rare:lo=1:hi=8:cap=0.5,rare,-0.014863755043198899,-0.013954220595779361,True,False,False,False
region,rare:lo=1:hi=32:cap=0.8,rare,-0.014765041865497062,-0.014205700933689572,True,False,False,False
region,rare:lo=1:hi=64,rare,-0.01453422927123482,-0.01340126332542263,True,False,False,False
region,corridor:w=0.3,corridor,-0.014379025430175957,-0.013264676564936734,True,False,False,False
region,corridor:w=0.1,corridor,-0.014319813124317333,-0.0127700646984256,True,False,False,False
region,rare:lo=2:hi=64,rare,-0.014300581856999575,-0.013052289038535045,True,False,False,False
region,rare:lo=0:hi=64,rare,-0.014109643730995918,-0.013429862163553189,True,False,False,False
region,rare:lo=1:hi=16:cap=0.8,rare,-0.01408604943579002,-0.012096796303202047,True,False,False,False
region,rare:lo=1:hi=32,rare,-0.014070179535594337,-0.013211436836789936,True,False,False,False
region,cap50,reference,-0.014000774339462192,-0.013336470617881332,True,False,False,False
region,rare:lo=2:hi=32,rare,-0.013737708728994134,-0.012999610693248233,True,False,False,False
region,rare:lo=4:hi=64,rare,-0.013734581601975559,-0.012282951511561238,True,False,False,False
region,corridor:w=0.05,corridor,-0.013257285962879443,-0.010885334288000406,True,False,False,False
region,rare:lo=1:hi=4:cap=0.5,rare,-0.013217814954732546,-0.0122736495873398,True,False,False,False
region,rare:lo=4:hi=32,rare,-0.012975317155070266,-0.012411373432620958,True,False,False,False
region,corridor_ramp:w=0.5,corridor,-0.012667672830445433,-0.010507376830755684,True,False,False,False
region,rare:lo=1:hi=16,rare,-0.012427497314442563,-0.009555086282669685,True,False,False,False
region,rare:lo=2:hi=16,rare,-0.012307881231364544,-0.009824794424873832,True,False,False,False
region,rare:lo=0:hi=32,rare,-0.011973448687056357,-0.010424292787416729,True,False,False,False
region,corridor:w=0.5,corridor,-0.0118844976859247,-0.00944643783146127,True,False,False,False
region,pure_gmm,reference,-0.011785586611442548,-0.008496035845525978,True,False,False,False
region,rare:lo=4:hi=16,rare,-0.011674639499113869,-0.0095441189930628,True,False,False,False
region,rare:lo=1:hi=8:cap=0.8,rare,-0.011355330781315918,-0.007973537835118075,False,False,False,False
region,corridor:w=0.75,corridor,-0.008703087678214587,-0.0047467969166642195,False,False,False,False
region,rare:lo=2:hi=8,rare,-0.00824303271048803,-0.003535736890612991,False,False,False,False
region,cap80,reference,-0.00813791123389082,-0.004916452007666584,False,False,False,False
region,rare:lo=4:hi=8,rare,-0.00808063543639554,-0.004358964797213623,False,False,False,False
region,corridor_ramp,corridor,-0.00791733800431751,-0.0035042404064780817,False,False,False,False
region,rare:lo=1:hi=8,rare,-0.007791028935475233,-0.0028737712207462887,False,False,False,False
