env,mode,schedule,family,mean,se,n,improved,resolvable,weighting,question
caltech101_m / binary,binary,cap50,reference,-0.025870671829376732,0.005581015107672175,96,0.84375,True,1:1,q2
caltech101_m / binary,binary,cap80,reference,-0.02531647370012503,0.005596352478283213,96,0.8333333333333334,True,1:1,q2
caltech101_m / binary,binary,corridor,corridor,-0.02667478560605178,0.005867606331971348,96,0.8229166666666666,True,1:1,q2
caltech101_m / binary,binary,corridor:w=0.05,corridor,-0.026845302737105114,0.005734816357270828,96,0.90625,True,1:1,q2
caltech101_m / binary,binary,corridor:w=0.1,corridor,-0.026894344318349486,0.005735903031924596,96,0.8645833333333334,True,1:1,q2
caltech101_m / binary,binary,corridor:w=0.2,corridor,-0.0265000330157177,0.005761488945336462,96,0.8333333333333334,True,1:1,q2
caltech101_m / binary,binary,corridor:w=0.3,corridor,-0.026485150677651198,0.0057630558258789915,96,0.8333333333333334,True,1:1,q2
caltech101_m / binary,binary,corridor:w=0.5,corridor,-0.026533556356874943,0.005769390783009395,96,0.8229166666666666,True,1:1,q2
caltech101_m / binary,binary,corridor:w=0.75,corridor,-0.026515074161599577,0.0058088247037608185,96,0.8125,True,1:1,q2
caltech101_m / binary,binary,corridor_ramp,corridor,-0.02576061790655189,0.005763990924781913,96,0.8333333333333334,True,1:1,q2
caltech101_m / binary,binary,corridor_ramp:w=0.2,corridor,-0.026292879294897185,0.005762898679209029,96,0.8958333333333334,True,1:1,q2
caltech101_m / binary,binary,corridor_ramp:w=0.5,corridor,-0.0261024626821048,0.005758461894145985,96,0.84375,True,1:1,q2
caltech101_m / binary,binary,prod,reference,-0.02515424871429736,0.005593111235504784,96,0.8333333333333334,True,1:1,q2
caltech101_m / binary,binary,pure_gmm,reference,-0.026707263437024353,0.005736944463427118,96,0.9166666666666666,True,1:1,q2
caltech101_m / binary,binary,pure_xcal,reference,-0.021368893181844654,0.005617586980357187,96,0.7395833333333334,True,1:1,q2
caltech101_m / binary,binary,rare:lo=0:hi=16,rare,-0.026831976487998167,0.005856540014807447,96,0.8020833333333334,True,1:1,q2
caltech101_m / binary,binary,rare:lo=0:hi=32,rare,-0.029143756842520113,0.005878636202180126,96,0.875,True,1:1,q2
caltech101_m / binary,binary,rare:lo=0:hi=4,rare,-0.021559401963353837,0.005578903934826047,96,0.7395833333333334,True,1:1,q2
caltech101_m / binary,binary,rare:lo=0:hi=64,rare,-0.02867636160374538,0.005835346217040473,96,0.8645833333333334,True,1:1,q2
caltech101_m / binary,binary,rare:lo=0:hi=8,rare,-0.022615375293639144,0.005516992959628524,96,0.7708333333333334,True,1:1,q2
caltech101_m / binary,binary,rare:lo=1:hi=16,rare,-0.026830196094647905,0.005671116397921298,96,0.9166666666666666,True,1:1,q2
caltech101_m / binary,binary,rare:lo=1:hi=16:cap=0.5,rare,-0.02683354820632591,0.005671014987523596,96,0.9166666666666666,True,1:1,q2
caltech101_m / binary,binary,rare:lo=1:hi=16:cap=0.8,rare,-0.026833809402471032,0.005670943597633504,96,0.9166666666666666,True,1:1,q2
caltech101_m / binary,binary,rare:lo=1:hi=32,rare,-0.026798549975926445,0.005703223214998558,96,0.9166666666666666,True,1:1,q2
caltech101_m / binary,binary,rare:lo=1:hi=32:cap=0.5,rare,-0.026798549975926445,0.005703223214998558,96,0.9166666666666666,True,1:1,q2
caltech101_m / binary,binary,rare:lo=1:hi=32:cap=0.8,rare,-0.026798549975926445,0.005703223214998558,96,0.9166666666666666,True,1:1,q2
caltech101_m / binary,binary,rare:lo=1:hi=4,rare,-0.025504985848049267,0.005667055593410297,96,0.8229166666666666,True,1:1,q2
caltech101_m / binary,binary,rare:lo=1:hi=4:cap=0.5,rare,-0.027044500637755098,0.005620330916307539,96,0.8333333333333334,True,1:1,q2
caltech101_m / binary,binary,rare:lo=1:hi=64,rare,-0.02675431008390799,0.005719530071727951,96,0.9166666666666666,True,1:1,q2
caltech101_m / binary,binary,rare:lo=1:hi=8,rare,-0.026598862830720188,0.00561222549165396,96,0.84375,True,1:1,q2
caltech101_m / binary,binary,rare:lo=1:hi=8:cap=0.5,rare,-0.02667776900985851,0.005612172327060462,96,0.84375,True,1:1,q2
caltech101_m / binary,binary,rare:lo=1:hi=8:cap=0.8,rare,-0.026626093343758737,0.005614212368384042,96,0.84375,True,1:1,q2
caltech101_m / binary,binary,rare:lo=2:hi=16,rare,-0.026632289443260182,0.005688461037492679,96,0.9166666666666666,True,1:1,q2
caltech101_m / binary,binary,rare:lo=2:hi=32,rare,-0.026682731832715963,0.005712682407896841,96,0.9166666666666666,True,1:1,q2
caltech101_m / binary,binary,rare:lo=2:hi=4,rare,-0.024832196826561678,0.0056400645818356805,96,0.8125,True,1:1,q2
caltech101_m / binary,binary,rare:lo=2:hi=64,rare,-0.026697988918883767,0.005725985956685243,96,0.9166666666666666,True,1:1,q2
caltech101_m / binary,binary,rare:lo=2:hi=8,rare,-0.026328458731808935,0.005629717204813315,96,0.8645833333333334,True,1:1,q2
caltech101_m / binary,binary,rare:lo=4:hi=16,rare,-0.02671122510085655,0.005737126705390611,96,0.9166666666666666,True,1:1,q2
caltech101_m / binary,binary,rare:lo=4:hi=32,rare,-0.026713608745981266,0.005736703069119346,96,0.9166666666666666,True,1:1,q2
caltech101_m / binary,binary,rare:lo=4:hi=64,rare,-0.02671008429870236,0.005736860215003558,96,0.9166666666666666,True,1:1,q2
caltech101_m / binary,binary,rare:lo=4:hi=8,rare,-0.02666903604189964,0.005736447414945076,96,0.9166666666666666,True,1:1,q2
caltech101_m / binary,binary,slow_cap50,reference,-0.026243170150537388,0.005672820004455708,96,0.8958333333333334,True,1:1,q2
coco_val / binary,binary,cap50,reference,-0.015892663653583765,0.0038246415964624425,152,0.6776315789473685,True,1:1,q2
coco_val / binary,binary,cap80,reference,0.0009120780410848542,0.005109512357048354,152,0.5789473684210527,False,1:1,q2
coco_val / binary,binary,corridor,corridor,-0.01798484458915145,0.0038207378027809657,152,0.7039473684210527,True,1:1,q2
coco_val / binary,binary,corridor:w=0.05,corridor,-0.01682257940187099,0.0025699968506723526,152,0.6776315789473685,True,1:1,q2
coco_val / binary,binary,corridor:w=0.1,corridor,-0.018200961787915738,0.0025927294572106476,152,0.7236842105263158,True,1:1,q2
coco_val / binary,binary,corridor:w=0.2,corridor,-0.020227792949434397,0.002672247234107132,152,0.7763157894736842,True,1:1,q2
coco_val / binary,binary,corridor:w=0.3,corridor,-0.020504124451754386,0.002839050760949605,152,0.7828947368421053,True,1:1,q2
coco_val / binary,binary,corridor:w=0.5,corridor,-0.020728101598107236,0.003099851051879639,152,0.7697368421052632,True,1:1,q2
coco_val / binary,binary,corridor:w=0.75,corridor,-0.01922312813888002,0.003523006820726613,152,0.756578947368421,True,1:1,q2
coco_val / binary,binary,corridor_ramp,corridor,-0.014406283509812177,0.003731908456474032,152,0.6842105263157895,True,1:1,q2
coco_val / binary,binary,corridor_ramp:w=0.2,corridor,-0.01881796015950833,0.002649637754197955,152,0.756578947368421,True,1:1,q2
coco_val / binary,binary,corridor_ramp:w=0.5,corridor,-0.01799245663597943,0.003036666977883836,152,0.743421052631579,True,1:1,q2
coco_val / binary,binary,prod,reference,0.013226937988975817,0.00592361876566602,152,0.5263157894736842,True,1:1,q2
coco_val / binary,binary,pure_gmm,reference,-0.014956648281236393,0.002586724475543625,152,0.6513157894736842,True,1:1,q2
coco_val / binary,binary,pure_xcal,reference,0.02427864249487135,0.0062067760078186275,152,0.3881578947368421,True,1:1,q2
coco_val / binary,binary,rare:lo=0:hi=16,rare,-0.02386598342895124,0.0030340942546441996,152,0.8026315789473685,True,1:1,q2
coco_val / binary,binary,rare:lo=0:hi=32,rare,-0.024595110217629015,0.0026985071093921314,152,0.8157894736842105,True,1:1,q2
coco_val / binary,binary,rare:lo=0:hi=4,rare,0.01200576148412779,0.005496947220461211,152,0.47368421052631576,True,1:1,q2
coco_val / binary,binary,rare:lo=0:hi=64,rare,-0.022290566735371248,0.002530808262925823,152,0.7894736842105263,True,1:1,q2
coco_val / binary,binary,rare:lo=0:hi=8,rare,-0.014114178841469021,0.003667506928390074,152,0.6381578947368421,True,1:1,q2
coco_val / binary,binary,rare:lo=1:hi=16,rare,-0.023024332079293306,0.002888475361640992,152,0.7828947368421053,True,1:1,q2
coco_val / binary,binary,rare:lo=1:hi=16:cap=0.5,rare,-0.024633850766515707,0.0028058567871866603,152,0.7894736842105263,True,1:1,q2
coco_val / binary,binary,rare:lo=1:hi=16:cap=0.8,rare,-0.023707488214382483,0.002855086935060081,152,0.7894736842105263,True,1:1,q2
coco_val / binary,binary,rare:lo=1:hi=32,rare,-0.021743241560706787,0.002650438329683847,152,0.8092105263157895,True,1:1,q2
coco_val / binary,binary,rare:lo=1:hi=32:cap=0.5,rare,-0.02158354969863123,0.002640167080505775,152,0.7763157894736842,True,1:1,q2
coco_val / binary,binary,rare:lo=1:hi=32:cap=0.8,rare,-0.02166208542259365,0.002650415163150173,152,0.8026315789473685,True,1:1,q2
coco_val / binary,binary,rare:lo=1:hi=4,rare,0.005639190107871028,0.005299091053009994,152,0.5131578947368421,False,1:1,q2
coco_val / binary,binary,rare:lo=1:hi=4:cap=0.5,rare,-0.018326898104938986,0.0038606043392700813,152,0.6842105263157895,True,1:1,q2
coco_val / binary,binary,rare:lo=1:hi=64,rare,-0.020197725978495954,0.0025148309634621096,152,0.7697368421052632,True,1:1,q2
coco_val / binary,binary,rare:lo=1:hi=8,rare,-0.019852717922642028,0.0034389840901057384,152,0.7039473684210527,True,1:1,q2
