tier,class_id,source,kind,n_positive,pool,n_pool,method,budget,floor,pos_inliers_median,neg_inliers_max,neg_over_floor,pos_over_floor,stage1_recall_at_k,ap,first_hit,r@10,r@50,r@100
m,spods/logo_00003_0,spods,logo,30,own_verified,49968,siglip,8192,24,122.0,26,1,30,,0.08196060933400276,6,0.03333333333333333,0.2,0.43333333333333335
m,spods/logo_00003_0,spods,logo,30,own_verified,49968,sift,8192,24,122.0,26,1,30,,1.0,1,0.3333333333333333,1.0,1.0
m,spods/logo_00003_0,spods,logo,30,own_verified,49968,sift_siglip,8192,24,122.0,26,1,30,,1.0,1,0.3333333333333333,1.0,1.0
m,spods/logo_00003_0,spods,logo,30,own_verified,49968,vlad,8192,24,122.0,26,1,30,,0.0017235619171432006,844,0.0,0.0,0.0
m,spods/logo_00003_0,spods,logo,30,own_verified,49968,vlad100_sift,8192,24,122.0,26,1,30,0.0,0.0017235619171432006,844,0.0,0.0,0.0
m,spods/logo_00003_0,spods,logo,30,own_verified,49968,siglip100_sift,8192,24,122.0,26,1,30,0.43333333333333335,0.45106031499829263,1,0.3333333333333333,0.43333333333333335,0.43333333333333335
m,spods/logo_00003_0,spods,logo,30,own_verified,49968,vlad500_sift,8192,24,122.0,26,1,30,0.0,0.0017235619171432006,844,0.0,0.0,0.0
m,spods/logo_00003_0,spods,logo,30,own_verified,49968,siglip500_sift,8192,24,122.0,26,1,30,0.6,0.6053237299638515,1,0.3333333333333333,0.6,0.6
m,spods/logo_00003_0,spods,logo,30,own_verified,49968,vlad1000_sift,8192,24,122.0,26,1,30,0.03333333333333333,0.03501740077970244,1,0.03333333333333333,0.03333333333333333,0.03333333333333333
m,spods/logo_00003_0,spods,logo,30,own_verified,49968,siglip1000_sift,8192,24,122.0,26,1,30,0.7,0.7018097806112299,1,0.3333333333333333,0.7,0.7
m,spods/logo_00011_0,spods,logo,30,own_verified,49968,siglip,8192,24,87.5,66,14,30,,0.2697122913971527,1,0.23333333333333334,0.4,0.5
m,spods/logo_00011_0,spods,logo,30,own_verified,49968,sift,8192,24,87.5,66,14,30,,0.9978136200716846,1,0.3333333333333333,1.0,1.0
m,spods/logo_00011_0,spods,logo,30,own_verified,49968,sift_siglip,8192,24,87.5,66,14,30,,0.9968055555555555,1,0.3333333333333333,1.0,1.0
m,spods/logo_00011_0,spods,logo,30,own_verified,49968,vlad,8192,24,87.5,66,14,30,,0.001485665514830571,2051,0.0,0.0,0.0
m,spods/logo_00011_0,spods,logo,30,own_verified,49968,vlad100_sift,8192,24,87.5,66,14,30,0.0,0.001485665514830571,2051,0.0,0.0,0.0
m,spods/logo_00011_0,spods,logo,30,own_verified,49968,siglip100_sift,8192,24,87.5,66,14,30,0.5,0.5042852926500706,1,0.3333333333333333,0.5,0.5
m,spods/logo_00011_0,spods,logo,30,own_verified,49968,vlad500_sift,8192,24,87.5,66,14,30,0.0,0.001485665514830571,2051,0.0,0.0,0.0
m,spods/logo_00011_0,spods,logo,30,own_verified,49968,siglip500_sift,8192,24,87.5,66,14,30,0.5333333333333333,0.5350421364503928,1,0.3333333333333333,0.5333333333333333,0.5333333333333333
m,spods/logo_00011_0,spods,logo,30,own_verified,49968,vlad1000_sift,8192,24,87.5,66,14,30,0.0,0.001485665514830571,2051,0.0,0.0,0.0
m,spods/logo_00011_0,spods,logo,30,own_verified,49968,siglip1000_sift,8192,24,87.5,66,14,30,0.5666666666666667,0.5674745688828252,1,0.3333333333333333,0.5666666666666667,0.5666666666666667
m,spods/logo_00014_0,spods,logo,30,own_verified,49968,siglip,8192,24,156.5,35,17,30,,0.0018973802067460243,469,0.0,0.0,0.0
