arm,dataset,embedder,style,cut_rule,n_steps,n_violating_steps,max_threshold_rise,max_admitted_rise,violation_rate
hinge,caltech101_m,siglip,whole_image,cross_tilt,7095,0,0.0,0,0.0
hinge,caltech101_m,siglip,whole_image,hinge,7095,0,0.0,0,0.0
hinge,caltech101_m,siglip,whole_image,hinge_cont,7095,0,0.0,0,0.0
hinge,caltech101_m,siglip,whole_image,hinge_raw,7095,59,0.15660400000000002,210,0.008315715292459478
hinge,caltech101_m,siglip,whole_image,mid,7095,0,0.0,0,0.0
hinge,caltech101_m,siglip,whole_image,mid_tilt,7095,0,0.0,0,0.0
hinge,caltech101_m,siglip,whole_image,rate,7095,0,0.0,0,0.0
hinge,coco_val,siglip,whole_image,cross_tilt,22495,0,0.0,0,0.0
hinge,coco_val,siglip,whole_image,hinge,22495,0,0.0,0,0.0
hinge,coco_val,siglip,whole_image,hinge_cont,22495,0,0.0,0,0.0
hinge,coco_val,siglip,whole_image,hinge_raw,22495,478,0.22775099999999998,1195,0.02124916648144032
hinge,coco_val,siglip,whole_image,mid,22495,0,0.0,0,0.0
hinge,coco_val,siglip,whole_image,mid_tilt,22495,0,0.0,0,0.0
hinge,coco_val,siglip,whole_image,rate,22495,0,0.0,0,0.0
hinge,coco_val,siglip+dinov3_patch,max_patch,cross_tilt,22495,0,0.0,0,0.0
hinge,coco_val,siglip+dinov3_patch,max_patch,hinge,22495,0,0.0,0,0.0
hinge,coco_val,siglip+dinov3_patch,max_patch,hinge_cont,22495,0,0.0,0,0.0
hinge,coco_val,siglip+dinov3_patch,max_patch,hinge_raw,22495,859,0.16325899999999993,498,0.038186263614136476
hinge,coco_val,siglip+dinov3_patch,max_patch,mid,22495,0,0.0,0,0.0
hinge,coco_val,siglip+dinov3_patch,max_patch,mid_tilt,22495,0,0.0,0,0.0
hinge,coco_val,siglip+dinov3_patch,max_patch,rate,22495,0,0.0,0,0.0
hinge,visual_genome_m,siglip,whole_image,cross_tilt,20129,0,0.0,0,0.0
hinge,visual_genome_m,siglip,whole_image,hinge,20129,0,0.0,0,0.0
hinge,visual_genome_m,siglip,whole_image,hinge_cont,20129,0,0.0,0,0.0
hinge,visual_genome_m,siglip,whole_image,hinge_raw,20129,143,0.11668299999999998,946,0.00710417805156739
hinge,visual_genome_m,siglip,whole_image,mid,20129,0,0.0,0,0.0
hinge,visual_genome_m,siglip,whole_image,mid_tilt,20129,0,0.0,0,0.0
hinge,visual_genome_m,siglip,whole_image,rate,20129,0,0.0,0,0.0
hinge,visual_genome_m,siglip+dinov3_patch,max_patch,cross_tilt,20129,0,0.0,0,0.0
hinge,visual_genome_m,siglip+dinov3_patch,max_patch,hinge,20129,0,0.0,0,0.0
hinge,visual_genome_m,siglip+dinov3_patch,max_patch,hinge_cont,20129,0,0.0,0,0.0
hinge,visual_genome_m,siglip+dinov3_patch,max_patch,hinge_raw,20129,400,0.04447699999999999,914,0.019871826717671022
hinge,visual_genome_m,siglip+dinov3_patch,max_patch,mid,20129,0,0.0,0,0.0
hinge,visual_genome_m,siglip+dinov3_patch,max_patch,mid_tilt,20129,0,0.0,0,0.0
hinge,visual_genome_m,siglip+dinov3_patch,max_patch,rate,20129,0,0.0,0,0.0
incumbent,caltech101_m,siglip,whole_image,cross_tilt,7095,0,0.0,0,0.0
incumbent,caltech101_m,siglip,whole_image,hinge,7095,0,0.0,0,0.0
incumbent,caltech101_m,siglip,whole_image,hinge_cont,7095,0,0.0,0,0.0
incumbent,caltech101_m,siglip,whole_image,hinge_raw,7095,50,0.15660400000000002,200,0.007047216349541931
incumbent,caltech101_m,siglip,whole_image,mid,7095,0,0.0,0,0.0
incumbent,caltech101_m,siglip,whole_image,mid_tilt,7095,0,0.0,0,0.0
incumbent,caltech101_m,siglip,whole_image,rate,7095,0,0.0,0,0.0
incumbent,coco_val,siglip,whole_image,cross_tilt,22495,0,0.0,0,0.0
incumbent,coco_val,siglip,whole_image,hinge,22495,0,0.0,0,0.0
incumbent,coco_val,siglip,whole_image,hinge_cont,22495,0,0.0,0,0.0
incumbent,coco_val,siglip,whole_image,hinge_raw,22495,386,0.22775099999999998,1127,0.017159368748610803
incumbent,coco_val,siglip,whole_image,mid,22495,0,0.0,0,0.0
incumbent,coco_val,siglip,whole_image,mid_tilt,22495,0,0.0,0,0.0
incumbent,coco_val,siglip,whole_image,rate,22495,0,0.0,0,0.0
incumbent,coco_val,siglip+dinov3_patch,max_patch,cross_tilt,22495,0,0.0,0,0.0
incumbent,coco_val,siglip+dinov3_patch,max_patch,hinge,22495,0,0.0,0,0.0
incumbent,coco_val,siglip+dinov3_patch,max_patch,hinge_cont,22495,0,0.0,0,0.0
incumbent,coco_val,siglip+dinov3_patch,max_patch,hinge_raw,22495,746,0.128851,450,0.03316292509446544
incumbent,coco_val,siglip+dinov3_patch,max_patch,mid,22495,0,0.0,0,0.0
incumbent,coco_val,siglip+dinov3_patch,max_patch,mid_tilt,22495,0,0.0,0,0.0
incumbent,coco_val,siglip+dinov3_patch,max_patch,rate,22495,0,0.0,0,0.0
incumbent,visual_genome_m,siglip,whole_image,cross_tilt,20129,0,0.0,0,0.0
incumbent,visual_genome_m,siglip,whole_image,hinge,20129,0,0.0,0,0.0
incumbent,visual_genome_m,siglip,whole_image,hinge_cont,20129,0,0.0,0,0.0
incumbent,visual_genome_m,siglip,whole_image,hinge_raw,20129,185,0.11668299999999998,946,0.009190719856922847
incumbent,visual_genome_m,siglip,whole_image,mid,20129,0,0.0,0,0.0
incumbent,visual_genome_m,siglip,whole_image,mid_tilt,20129,0,0.0,0,0.0
incumbent,visual_genome_m,siglip,whole_image,rate,20129,0,0.0,0,0.0
incumbent,visual_genome_m,siglip+dinov3_patch,max_patch,cross_tilt,20129,0,0.0,0,0.0
incumbent,visual_genome_m,siglip+dinov3_patch,max_patch,hinge,20129,0,0.0,0,0.0
incumbent,visual_genome_m,siglip+dinov3_patch,max_patch,hinge_cont,20129,0,0.0,0,0.0
incumbent,visual_genome_m,siglip+dinov3_patch,max_patch,hinge_raw,20129,244,0.04447699999999999,914,0.012121814297779324
incumbent,visual_genome_m,siglip+dinov3_patch,max_patch,mid,20129,0,0.0,0,0.0
incumbent,visual_genome_m,siglip+dinov3_patch,max_patch,mid_tilt,20129,0,0.0,0,0.0
incumbent,visual_genome_m,siglip+dinov3_patch,max_patch,rate,20129,0,0.0,0,0.0
