arm,dataset,embedder,style,inclusion_k,guard_binds
hinge,caltech101_m,siglip,whole_image,-10.0,0.0
hinge,caltech101_m,siglip,whole_image,-9.0,0.0
hinge,caltech101_m,siglip,whole_image,-8.0,0.0
hinge,caltech101_m,siglip,whole_image,-7.0,0.0
hinge,caltech101_m,siglip,whole_image,-6.0,0.0
hinge,caltech101_m,siglip,whole_image,-5.0,0.0
hinge,caltech101_m,siglip,whole_image,-4.0,0.0
hinge,caltech101_m,siglip,whole_image,-3.0,0.0
hinge,caltech101_m,siglip,whole_image,-2.0,0.0
hinge,caltech101_m,siglip,whole_image,-1.0,0.0
hinge,caltech101_m,siglip,whole_image,-0.5,0.0
hinge,caltech101_m,siglip,whole_image,-0.25,0.0
hinge,coco_val,siglip,whole_image,-10.0,0.36236842105263156
hinge,coco_val,siglip,whole_image,-9.0,0.3640131578947368
hinge,coco_val,siglip,whole_image,-8.0,0.3663157894736842
hinge,coco_val,siglip,whole_image,-7.0,0.36953947368421053
hinge,coco_val,siglip,whole_image,-6.0,0.36664473684210525
hinge,coco_val,siglip,whole_image,-5.0,0.3623026315789474
hinge,coco_val,siglip,whole_image,-4.0,0.3430263157894737
hinge,coco_val,siglip,whole_image,-3.0,0.2930263157894737
hinge,coco_val,siglip,whole_image,-2.0,0.22421052631578947
hinge,coco_val,siglip,whole_image,-1.0,0.1624342105263158
hinge,coco_val,siglip,whole_image,-0.5,0.12526315789473683
hinge,coco_val,siglip,whole_image,-0.25,0.09513157894736843
hinge,coco_val,siglip+dinov3_patch,max_patch,-10.0,0.26092105263157894
hinge,coco_val,siglip+dinov3_patch,max_patch,-9.0,0.26223684210526316
hinge,coco_val,siglip+dinov3_patch,max_patch,-8.0,0.2629605263157895
hinge,coco_val,siglip+dinov3_patch,max_patch,-7.0,0.26335526315789476
hinge,coco_val,siglip+dinov3_patch,max_patch,-6.0,0.26111842105263156
hinge,coco_val,siglip+dinov3_patch,max_patch,-5.0,0.25835526315789475
hinge,coco_val,siglip+dinov3_patch,max_patch,-4.0,0.24914473684210525
hinge,coco_val,siglip+dinov3_patch,max_patch,-3.0,0.23
hinge,coco_val,siglip+dinov3_patch,max_patch,-2.0,0.19947368421052633
hinge,coco_val,siglip+dinov3_patch,max_patch,-1.0,0.1505921052631579
hinge,coco_val,siglip+dinov3_patch,max_patch,-0.5,0.10934210526315791
hinge,coco_val,siglip+dinov3_patch,max_patch,-0.25,0.08164473684210527
hinge,visual_genome_m,siglip,whole_image,-10.0,0.09352941176470587
hinge,visual_genome_m,siglip,whole_image,-9.0,0.09183823529411765
hinge,visual_genome_m,siglip,whole_image,-8.0,0.09095588235294116
hinge,visual_genome_m,siglip,whole_image,-7.0,0.08955882352941176
hinge,visual_genome_m,siglip,whole_image,-6.0,0.0875735294117647
hinge,visual_genome_m,siglip,whole_image,-5.0,0.08161764705882353
hinge,visual_genome_m,siglip,whole_image,-4.0,0.06772058823529413
hinge,visual_genome_m,siglip,whole_image,-3.0,0.05227941176470588
hinge,visual_genome_m,siglip,whole_image,-2.0,0.03823529411764706
hinge,visual_genome_m,siglip,whole_image,-1.0,0.02676470588235294
hinge,visual_genome_m,siglip,whole_image,-0.5,0.02095588235294118
hinge,visual_genome_m,siglip,whole_image,-0.25,0.01639705882352941
hinge,visual_genome_m,siglip+dinov3_patch,max_patch,-10.0,0.1648529411764706
hinge,visual_genome_m,siglip+dinov3_patch,max_patch,-9.0,0.16926470588235293
hinge,visual_genome_m,siglip+dinov3_patch,max_patch,-8.0,0.1711029411764706
hinge,visual_genome_m,siglip+dinov3_patch,max_patch,-7.0,0.17338235294117646
hinge,visual_genome_m,siglip+dinov3_patch,max_patch,-6.0,0.1726470588235294
hinge,visual_genome_m,siglip+dinov3_patch,max_patch,-5.0,0.17397058823529413
hinge,visual_genome_m,siglip+dinov3_patch,max_patch,-4.0,0.16058823529411764
hinge,visual_genome_m,siglip+dinov3_patch,max_patch,-3.0,0.14580882352941174
hinge,visual_genome_m,siglip+dinov3_patch,max_patch,-2.0,0.12382352941176471
hinge,visual_genome_m,siglip+dinov3_patch,max_patch,-1.0,0.10029411764705883
hinge,visual_genome_m,siglip+dinov3_patch,max_patch,-0.5,0.07470588235294118
hinge,visual_genome_m,siglip+dinov3_patch,max_patch,-0.25,0.055661764705882355
incumbent,caltech101_m,siglip,whole_image,-10.0,0.0
incumbent,caltech101_m,siglip,whole_image,-9.0,0.0
incumbent,caltech101_m,siglip,whole_image,-8.0,0.0
incumbent,caltech101_m,siglip,whole_image,-7.0,0.0
incumbent,caltech101_m,siglip,whole_image,-6.0,0.0
incumbent,caltech101_m,siglip,whole_image,-5.0,0.0
incumbent,caltech101_m,siglip,whole_image,-4.0,0.0
incumbent,caltech101_m,siglip,whole_image,-3.0,0.0
incumbent,caltech101_m,siglip,whole_image,-2.0,0.0
incumbent,caltech101_m,siglip,whole_image,-1.0,0.0
incumbent,caltech101_m,siglip,whole_image,-0.5,0.0
incumbent,caltech101_m,siglip,whole_image,-0.25,0.0
incumbent,coco_val,siglip,whole_image,-10.0,0.47940789473684214
incumbent,coco_val,siglip,whole_image,-9.0,0.46552631578947373
incumbent,coco_val,siglip,whole_image,-8.0,0.4513815789473684
incumbent,coco_val,siglip,whole_image,-7.0,0.43559210526315784
incumbent,coco_val,siglip,whole_image,-6.0,0.4170394736842105
incumbent,coco_val,siglip,whole_image,-5.0,0.3880921052631579
incumbent,coco_val,siglip,whole_image,-4.0,0.3481578947368421
incumbent,coco_val,siglip,whole_image,-3.0,0.27519736842105263
incumbent,coco_val,siglip,whole_image,-2.0,0.19335526315789475
incumbent,coco_val,siglip,whole_image,-1.0,0.12677631578947368
incumbent,coco_val,siglip,whole_image,-0.5,0.10032894736842106
incumbent,coco_val,siglip,whole_image,-0.25,0.07572368421052632
incumbent,coco_val,siglip+dinov3_patch,max_patch,-10.0,0.3254605263157895
incumbent,coco_val,siglip+dinov3_patch,max_patch,-9.0,0.3213815789473684
incumbent,coco_val,siglip+dinov3_patch,max_patch,-8.0,0.31842105263157894
incumbent,coco_val,siglip+dinov3_patch,max_patch,-7.0,0.31546052631578947
incumbent,coco_val,siglip+dinov3_patch,max_patch,-6.0,0.31625
incumbent,coco_val,siglip+dinov3_patch,max_patch,-5.0,0.30967105263157896
incumbent,coco_val,siglip+dinov3_patch,max_patch,-4.0,0.29230263157894737
incumbent,coco_val,siglip+dinov3_patch,max_patch,-3.0,0.261578947368421
incumbent,coco_val,siglip+dinov3_patch,max_patch,-2.0,0.2098684210526316
incumbent,coco_val,siglip+dinov3_patch,max_patch,-1.0,0.14355263157894738
incumbent,coco_val,siglip+dinov3_patch,max_patch,-0.5,0.10776315789473684
incumbent,coco_val,siglip+dinov3_patch,max_patch,-0.25,0.08144736842105264
incumbent,visual_genome_m,siglip,whole_image,-10.0,0.2702941176470588
incumbent,visual_genome_m,siglip,whole_image,-9.0,0.2525735294117647
incumbent,visual_genome_m,siglip,whole_image,-8.0,0.2377205882352941
incumbent,visual_genome_m,siglip,whole_image,-7.0,0.22830882352941176
incumbent,visual_genome_m,siglip,whole_image,-6.0,0.20875
incumbent,visual_genome_m,siglip,whole_image,-5.0,0.18330882352941177
incumbent,visual_genome_m,siglip,whole_image,-4.0,0.14823529411764705
incumbent,visual_genome_m,siglip,whole_image,-3.0,0.09875
incumbent,visual_genome_m,siglip,whole_image,-2.0,0.05448529411764706
incumbent,visual_genome_m,siglip,whole_image,-1.0,0.030808823529411767
incumbent,visual_genome_m,siglip,whole_image,-0.5,0.023529411764705882
incumbent,visual_genome_m,siglip,whole_image,-0.25,0.019338235294117646
incumbent,visual_genome_m,siglip+dinov3_patch,max_patch,-10.0,0.21838235294117647
incumbent,visual_genome_m,siglip+dinov3_patch,max_patch,-9.0,0.2126470588235294
incumbent,visual_genome_m,siglip+dinov3_patch,max_patch,-8.0,0.20720588235294118
incumbent,visual_genome_m,siglip+dinov3_patch,max_patch,-7.0,0.2022794117647059
incumbent,visual_genome_m,siglip+dinov3_patch,max_patch,-6.0,0.19691176470588237
incumbent,visual_genome_m,siglip+dinov3_patch,max_patch,-5.0,0.18551470588235294
incumbent,visual_genome_m,siglip+dinov3_patch,max_patch,-4.0,0.17183823529411765
incumbent,visual_genome_m,siglip+dinov3_patch,max_patch,-3.0,0.15257352941176472
incumbent,visual_genome_m,siglip+dinov3_patch,max_patch,-2.0,0.11801470588235295
