arm,dataset,embedder,style,cut_rule,distinct_sets,dead_step_rate
hinge,caltech101_m,siglip,whole_image,cross_tilt,1.0,1.0
hinge,caltech101_m,siglip,whole_image,hinge,1.0,1.0
hinge,caltech101_m,siglip,whole_image,hinge_cont,1.0,1.0
hinge,caltech101_m,siglip,whole_image,hinge_raw,1.0,1.0
hinge,caltech101_m,siglip,whole_image,mid,1.0,1.0
hinge,caltech101_m,siglip,whole_image,mid_tilt,1.0,1.0
hinge,caltech101_m,siglip,whole_image,rate,1.0,1.0
hinge,coco_val,siglip,whole_image,cross_tilt,14.494736842105262,0.3252631578947368
hinge,coco_val,siglip,whole_image,hinge,14.605526315789474,0.3197236842105263
hinge,coco_val,siglip,whole_image,hinge_cont,14.661184210526315,0.31694078947368426
hinge,coco_val,siglip,whole_image,hinge_raw,15.18013157894737,0.2907138157894737
hinge,coco_val,siglip,whole_image,mid,1.0,1.0
hinge,coco_val,siglip,whole_image,mid_tilt,15.03046052631579,0.2984769736842105
hinge,coco_val,siglip,whole_image,rate,17.381644736842105,0.18091776315789473
hinge,coco_val,siglip+dinov3_patch,max_patch,cross_tilt,12.015263157894736,0.4492368421052631
hinge,coco_val,siglip+dinov3_patch,max_patch,hinge,12.750592105263157,0.4124703947368421
hinge,coco_val,siglip+dinov3_patch,max_patch,hinge_cont,12.915723684210526,0.4042138157894737
hinge,coco_val,siglip+dinov3_patch,max_patch,hinge_raw,13.350855263157895,0.3819407894736842
hinge,coco_val,siglip+dinov3_patch,max_patch,mid,1.0,1.0
hinge,coco_val,siglip+dinov3_patch,max_patch,mid_tilt,12.984736842105264,0.4007631578947369
hinge,coco_val,siglip+dinov3_patch,max_patch,rate,15.681710526315788,0.2659144736842105
hinge,visual_genome_m,siglip,whole_image,cross_tilt,11.734485294117647,0.46327573529411764
hinge,visual_genome_m,siglip,whole_image,hinge,12.986544117647059,0.40067279411764706
hinge,visual_genome_m,siglip,whole_image,hinge_cont,12.58360294117647,0.42081985294117646
hinge,visual_genome_m,siglip,whole_image,hinge_raw,13.04639705882353,0.3976801470588236
hinge,visual_genome_m,siglip,whole_image,mid,1.0,1.0
hinge,visual_genome_m,siglip,whole_image,mid_tilt,13.997279411764707,0.35013602941176475
hinge,visual_genome_m,siglip,whole_image,rate,15.873382352941178,0.25633088235294116
hinge,visual_genome_m,siglip+dinov3_patch,max_patch,cross_tilt,12.886176470588236,0.4056911764705882
hinge,visual_genome_m,siglip+dinov3_patch,max_patch,hinge,14.64735294117647,0.3176323529411765
hinge,visual_genome_m,siglip+dinov3_patch,max_patch,hinge_cont,14.455735294117646,0.3272132352941176
hinge,visual_genome_m,siglip+dinov3_patch,max_patch,hinge_raw,14.825073529411766,0.3086066176470588
hinge,visual_genome_m,siglip+dinov3_patch,max_patch,mid,1.0,1.0
hinge,visual_genome_m,siglip+dinov3_patch,max_patch,mid_tilt,14.975294117647058,0.3012352941176471
hinge,visual_genome_m,siglip+dinov3_patch,max_patch,rate,16.834117647058825,0.20829411764705882
incumbent,caltech101_m,siglip,whole_image,cross_tilt,1.0004166666666667,0.9999791666666668
incumbent,caltech101_m,siglip,whole_image,hinge,1.00375,0.9998125
incumbent,caltech101_m,siglip,whole_image,hinge_cont,1.00375,0.9998125
incumbent,caltech101_m,siglip,whole_image,hinge_raw,1.00375,0.9998125
incumbent,caltech101_m,siglip,whole_image,mid,1.0,1.0
incumbent,caltech101_m,siglip,whole_image,mid_tilt,1.00375,0.9998125
incumbent,caltech101_m,siglip,whole_image,rate,1.00375,0.9998125
incumbent,coco_val,siglip,whole_image,cross_tilt,16.727434210526315,0.2136282894736842
incumbent,coco_val,siglip,whole_image,hinge,16.277434210526316,0.23612828947368422
incumbent,coco_val,siglip,whole_image,hinge_cont,16.464736842105264,0.22676315789473686
incumbent,coco_val,siglip,whole_image,hinge_raw,16.882368421052632,0.20566118421052632
incumbent,coco_val,siglip,whole_image,mid,1.0,1.0
incumbent,coco_val,siglip,whole_image,mid_tilt,16.598223684210524,0.22008881578947367
incumbent,coco_val,siglip,whole_image,rate,18.493157894736843,0.1253421052631579
incumbent,coco_val,siglip+dinov3_patch,max_patch,cross_tilt,13.22032894736842,0.3889835526315789
incumbent,coco_val,siglip+dinov3_patch,max_patch,hinge,13.545000000000002,0.37275
incumbent,coco_val,siglip+dinov3_patch,max_patch,hinge_cont,13.812302631578946,0.3593848684210526
incumbent,coco_val,siglip+dinov3_patch,max_patch,hinge_raw,14.211118421052632,0.3389013157894737
incumbent,coco_val,siglip+dinov3_patch,max_patch,mid,1.0,1.0
incumbent,coco_val,siglip+dinov3_patch,max_patch,mid_tilt,13.673026315789475,0.36634868421052635
incumbent,coco_val,siglip+dinov3_patch,max_patch,rate,16.024802631578947,0.24875986842105266
incumbent,visual_genome_m,siglip,whole_image,cross_tilt,15.91919117647059,0.2540404411764706
incumbent,visual_genome_m,siglip,whole_image,hinge,16.577867647058824,0.22110661764705886
incumbent,visual_genome_m,siglip,whole_image,hinge_cont,16.453676470588235,0.22731617647058822
incumbent,visual_genome_m,siglip,whole_image,hinge_raw,16.762720588235293,0.2118639705882353
incumbent,visual_genome_m,siglip,whole_image,mid,1.0,1.0
incumbent,visual_genome_m,siglip,whole_image,mid_tilt,17.015514705882353,0.19922426470588236
incumbent,visual_genome_m,siglip,whole_image,rate,18.26301470588235,0.13684926470588235
