dataset,embedder,style,inclusion_k,n_cells,d_mean,d_se,d_lo,d_hi,a_mean,b_mean,contrast,arm_b,harmed,sig_better,sig_worse
caltech101_m,siglip,whole_image,-10.0,24,0.0,0.0,0.0,0.0,0.059176825606485996,0.059176825606485996,recut,cross_tilt,False,False,False
caltech101_m,siglip,whole_image,-9.0,24,0.0,0.0,0.0,0.0,0.05917682557047527,0.05917682557047527,recut,cross_tilt,False,False,False
caltech101_m,siglip,whole_image,-8.0,24,0.0,0.0,0.0,0.0,0.0591768256274414,0.0591768256274414,recut,cross_tilt,False,False,False
caltech101_m,siglip,whole_image,-7.0,24,0.0,0.0,0.0,0.0,0.059176825390625,0.059176825390625,recut,cross_tilt,False,False,False
caltech101_m,siglip,whole_image,-6.0,24,0.0,0.0,0.0,0.0,0.05917682590494792,0.05917682590494792,recut,cross_tilt,False,False,False
caltech101_m,siglip,whole_image,-5.0,24,0.0,0.0,0.0,0.0,0.05917682645833333,0.05917682645833333,recut,cross_tilt,False,False,False
caltech101_m,siglip,whole_image,-4.0,24,0.0,0.0,0.0,0.0,0.059176823046875,0.059176823046875,recut,cross_tilt,False,False,False
caltech101_m,siglip,whole_image,-3.0,24,0.0,0.0,0.0,0.0,0.05917682440104167,0.05917682440104167,recut,cross_tilt,False,False,False
caltech101_m,siglip,whole_image,-2.0,24,0.0,0.0,0.0,0.0,0.059176832031249994,0.059176832031249994,recut,cross_tilt,False,False,False
caltech101_m,siglip,whole_image,-1.0,24,0.0,0.0,0.0,0.0,0.0591768309375,0.0591768309375,recut,cross_tilt,False,False,False
caltech101_m,siglip,whole_image,-0.5,24,0.0,0.0,0.0,0.0,0.05917680794587191,0.05917680794587191,recut,cross_tilt,False,False,False
caltech101_m,siglip,whole_image,-0.25,24,0.0,0.0,0.0,0.0,0.05917681984956196,0.05917681984956196,recut,cross_tilt,False,False,False
caltech101_m,siglip,whole_image,0.0,24,0.0,0.0,0.0,0.0,0.059176825833333335,0.059176825833333335,recut,cross_tilt,False,False,False
caltech101_m,siglip,whole_image,1.0,24,0.0,0.0,0.0,0.0,0.029588412916666668,0.029588412916666668,recut,cross_tilt,False,False,False
caltech101_m,siglip,whole_image,2.0,24,-3.810937500003479e-07,3.7965645710374275e-07,-1.1432812500010436e-06,0.0,0.014794587552083334,0.014794206458333334,recut,cross_tilt,False,False,False
caltech101_m,siglip,whole_image,3.0,24,-1.7149218749998307e-06,1.6972015434866008e-06,-5.144765624999492e-06,0.0,0.007398818151041667,0.007397103229166667,recut,cross_tilt,False,False,False
caltech101_m,siglip,whole_image,4.0,24,-2.350104166666678e-06,2.344062723364665e-06,-7.050312500000034e-06,0.0,0.00370090171875,0.0036985516145833335,recut,cross_tilt,False,False,False
caltech101_m,siglip,whole_image,5.0,24,-3.175820312499939e-06,3.1601743387368654e-06,-9.527460937499817e-06,0.0,0.0018524516276041665,0.0018492758072916667,recut,cross_tilt,False,False,False
caltech101_m,siglip,whole_image,6.0,24,-1.714941406249965e-06,1.700029549162648e-06,-5.144824218749895e-06,0.0,0.0009263528450520832,0.0009246379036458334,recut,cross_tilt,False,False,False
caltech101_m,siglip,whole_image,7.0,24,-8.852587890625018e-07,8.85964301425604e-07,-2.6557763671875055e-06,0.0,0.00046320421061197913,0.0004623189518229167,recut,cross_tilt,False,False,False
caltech101_m,siglip,whole_image,8.0,24,-4.664477539062546e-07,4.640657399908218e-07,-1.3993432617187638e-06,0.0,0.0002316259236653646,0.00023115947591145834,recut,cross_tilt,False,False,False
caltech101_m,siglip,whole_image,9.0,24,-2.441406250000002e-07,2.4115379871204144e-07,-7.324218750000007e-07,0.0,0.00011582387858072916,0.00011557973795572917,recut,cross_tilt,False,False,False
caltech101_m,siglip,whole_image,10.0,24,-1.1909301757812691e-07,1.1845233847787433e-07,-3.572790527343807e-07,0.0,5.7916405232747395e-05,5.779731221516927e-05,recut,cross_tilt,False,False,False
coco_val,siglip,whole_image,-10.0,76,0.00042707012117084743,0.001392335147293636,-0.0022694588757822126,0.003116489162189682,0.017541184119102077,0.017968254240272923,recut,cross_tilt,False,False,False
coco_val,siglip,whole_image,-9.0,76,0.0004320120967824836,0.00149587166840948,-0.002574095961856239,0.003321432284674393,0.018733859387335527,0.01916587148411801,recut,cross_tilt,False,False,False
coco_val,siglip,whole_image,-8.0,76,6.772182334498327e-05,0.0016292031063622843,-0.0030083283607113495,0.0033649219961451437,0.02029333227436267,0.020361054097707647,recut,cross_tilt,False,False,False
coco_val,siglip,whole_image,-7.0,76,-0.0008270358228824012,0.0017546462090697699,-0.004224076767642372,0.0025772306648977174,0.022328622623869244,0.02150158680098684,recut,cross_tilt,False,False,False
coco_val,siglip,whole_image,-6.0,76,-0.0026348499969161177,0.0017166629421547905,-0.006001495931486431,0.0006053480046258205,0.024982584679276314,0.0223477346823602,recut,cross_tilt,False,False,False
coco_val,siglip,whole_image,-5.0,76,-0.005680220727796052,0.0018377706217454172,-0.009159117350791529,-0.0019646446095805932,0.028410123659539474,0.02272990293174342,recut,cross_tilt,False,True,False
coco_val,siglip,whole_image,-4.0,76,-0.011021155505756575,0.0021268275289031222,-0.015196079463199012,-0.007082966612664474,0.03355747174342105,0.022536316237664472,recut,cross_tilt,False,True,False
coco_val,siglip,whole_image,-3.0,76,-0.016813876578947368,0.002394517223794317,-0.02172440795291941,-0.012323559960937503,0.03850186960526316,0.021687993026315796,recut,cross_tilt,False,True,False
coco_val,siglip,whole_image,-2.0,76,-0.021210294753289474,0.002492254083270621,-0.02606720635855263,-0.016611803387746715,0.042507514934210525,0.02129722018092105,recut,cross_tilt,False,True,False
coco_val,siglip,whole_image,-1.0,76,-0.025661795657894743,0.0027272377166409883,-0.031282551727796044,-0.020914902455592115,0.04788806388157895,0.02222626822368421,recut,cross_tilt,False,True,False
coco_val,siglip,whole_image,-0.5,76,-0.02699341520775759,0.003099203586396064,-0.0334351451087434,-0.02112006913144535,0.051593267076211646,0.024599851868454047,recut,cross_tilt,False,True,False
coco_val,siglip,whole_image,-0.25,76,-0.027202753513833267,0.0034605785256759357,-0.03371440363647172,-0.02033898954090754,0.0538505018396766,0.026647748325843334,recut,cross_tilt,False,True,False
coco_val,siglip,whole_image,0.0,76,-0.02728741013157894,0.0038927877334349894,-0.03455968965296053,-0.019275756070723685,0.05696752296052631,0.02968011282894737,recut,cross_tilt,False,True,False
coco_val,siglip,whole_image,1.0,76,-0.008917298190789473,0.004265576126448221,-0.017363563325657895,-0.000552745351973696,0.042478595032894736,0.03356129684210526,recut,cross_tilt,False,True,False
coco_val,siglip,whole_image,2.0,76,0.0038809420559210543,0.006245824030039532,-0.007865681900082234,0.016529499097039473,0.039801759720394736,0.04368270177631579,recut,cross_tilt,True,False,False
coco_val,siglip,whole_image,3.0,76,0.016863814407894737,0.0076139723362595516,0.002613037802425987,0.031938483521998344,0.03326160171052632,0.05012541611842106,recut,cross_tilt,True,False,True
coco_val,siglip,whole_image,4.0,76,0.027429068379934213,0.007833836130937114,0.013392881577302632,0.04367068872193667,0.02308784319078947,0.05051691157072368,recut,cross_tilt,True,False,True
coco_val,siglip,whole_image,5.0,76,0.028054663826069085,0.007159580573320621,0.01498646858490954,0.04335633536374383,0.01619304420024671,0.04424770802631579,recut,cross_tilt,True,False,True
coco_val,siglip,whole_image,6.0,76,0.024425495248766443,0.006313561415809809,0.013649595186754727,0.03800936843518709,0.011034479029605264,0.03545997427837171,recut,cross_tilt,True,False,True
coco_val,siglip,whole_image,7.0,76,0.017391304838096214,0.004750137834673603,0.009241045462055408,0.027541269439003386,0.0074833147250205605,0.024874619563116783,recut,cross_tilt,True,False,True
coco_val,siglip,whole_image,8.0,76,0.012334329777960527,0.003603614885244835,0.006341869950439454,0.02066999297448087,0.005196940049342106,0.017531269827302638,recut,cross_tilt,True,False,True
coco_val,siglip,whole_image,9.0,76,0.009096287514134459,0.0029698385350062266,0.004076735289415862,0.015493683361022949,0.003975014822162829,0.013071302336297287,recut,cross_tilt,True,False,True
coco_val,siglip,whole_image,10.0,76,0.006670124722257915,0.0023719495789564764,0.002789254589190032,0.011924058369508437,0.003342298580515008,0.010012423302772924,recut,cross_tilt,True,False,True
coco_val,siglip+dinov3_patch,max_patch,-10.0,76,0.0003515417206774259,0.0004853658031839022,-0.0006223878399176349,0.001271850489805522,0.021013865496376443,0.021365407217053864,recut,cross_tilt,False,False,False
coco_val,siglip+dinov3_patch,max_patch,-9.0,76,0.0002760254890522203,0.0005545033796761725,-0.0008370130383622019,0.0012974686447336297,0.021628775987613078,0.021904801476665296,recut,cross_tilt,False,False,False
