arm,dataset,embedder,style,deep,n_steps,cross_below_mid,q_mid,q_cross0,q_rate0,prior_odds_bits,var_ratio_bits
hinge,caltech101_m,siglip,whole_image,False,2295,0.026143790849673203,0.977723,0.979115,0.977833,5.425484,0.794233
hinge,caltech101_m,siglip,whole_image,True,4800,0.0,0.970486,0.970486,0.970486,5.060372,1.6730225
hinge,coco_val,siglip,whole_image,False,7295,0.028512679917751884,0.811713,0.947272,0.833402,3.161721,1.746736
hinge,coco_val,siglip,whole_image,True,15200,0.027894736842105264,0.92545,0.9877864999999999,0.9093389999999999,5.3445725,2.811985
hinge,coco_val,siglip+dinov3_patch,max_patch,False,7295,0.07676490747087046,0.899629,0.942292,0.881204,3.526314,2.873832
hinge,coco_val,siglip+dinov3_patch,max_patch,True,15200,0.0325,0.9794625,0.9941690000000001,0.9600775,6.389806,2.4274519999999997
hinge,visual_genome_m,siglip,whole_image,False,6529,0.03798437739316894,0.740894,0.92667,0.772991,2.638898,1.319088
hinge,visual_genome_m,siglip,whole_image,True,13600,0.006323529411764706,0.9053915,0.999499,0.9092065,6.9963035,1.6277754999999998
hinge,visual_genome_m,siglip+dinov3_patch,max_patch,False,6529,0.06463470669321489,0.865757,0.939621,0.860255,3.401551,2.356292
hinge,visual_genome_m,siglip+dinov3_patch,max_patch,True,13600,0.01735294117647059,0.9590274999999999,0.998175,0.9463165,6.8241815,1.7630469999999998
incumbent,caltech101_m,siglip,whole_image,False,2295,0.02309368191721133,0.975232,0.975871,0.975207,5.276624,0.804981
incumbent,caltech101_m,siglip,whole_image,True,4800,0.0,0.9662305,0.9662305,0.9662305,4.8749625000000005,1.311253
incumbent,coco_val,siglip,whole_image,False,7295,0.016038382453735435,0.856153,0.948361,0.855296,3.41756,2.132839
incumbent,coco_val,siglip,whole_image,True,15200,0.027828947368421054,0.9097955,0.974199,0.896731,4.4440585,2.8175705
incumbent,coco_val,siglip+dinov3_patch,max_patch,False,7295,0.0590815627141878,0.899046,0.941055,0.881557,3.506228,2.950476
incumbent,coco_val,siglip+dinov3_patch,max_patch,True,15200,0.03328947368421053,0.966415,0.9876225000000001,0.9452265,5.7294635,2.419498
incumbent,visual_genome_m,siglip,whole_image,False,6529,0.036759074896615104,0.78349,0.920347,0.802454,2.688388,1.773748
incumbent,visual_genome_m,siglip,whole_image,True,13600,0.008897058823529412,0.88035,0.96436,0.87391,4.2378065,1.7026205
incumbent,visual_genome_m,siglip+dinov3_patch,max_patch,False,6529,0.035840098024199726,0.849833,0.925779,0.843826,3.120638,2.420506
incumbent,visual_genome_m,siglip+dinov3_patch,max_patch,True,13600,0.010735294117647058,0.9331025,0.980704,0.9182680000000001,5.093401500000001,1.805644
