dataset,embedder,category,seed,style,first_divergence_t
coco_val,siglip+dinov3_patch,baseball bat,0,max_patch,4
coco_val,siglip+dinov3_patch,baseball bat,1,max_patch,5
coco_val,siglip+dinov3_patch,baseball bat,2,max_patch,4
coco_val,siglip+dinov3_patch,baseball bat,3,max_patch,5
coco_val,siglip+dinov3_patch,baseball bat,4,max_patch,8
coco_val,siglip+dinov3_patch,baseball bat,5,max_patch,6
coco_val,siglip+dinov3_patch,baseball bat,6,max_patch,5
coco_val,siglip+dinov3_patch,baseball bat,7,max_patch,6
coco_val,siglip+dinov3_patch,baseball bat,8,max_patch,5
coco_val,siglip+dinov3_patch,baseball bat,9,max_patch,5
coco_val,siglip+dinov3_patch,baseball bat,10,max_patch,6
coco_val,siglip+dinov3_patch,baseball bat,11,max_patch,6
coco_val,siglip+dinov3_patch,baseball bat,12,max_patch,6
coco_val,siglip+dinov3_patch,baseball bat,13,max_patch,5
coco_val,siglip+dinov3_patch,baseball bat,14,max_patch,5
coco_val,siglip+dinov3_patch,baseball bat,15,max_patch,5
coco_val,siglip+dinov3_patch,baseball bat,16,max_patch,6
coco_val,siglip+dinov3_patch,baseball bat,17,max_patch,5
coco_val,siglip+dinov3_patch,baseball bat,18,max_patch,5
coco_val,siglip+dinov3_patch,baseball bat,19,max_patch,6
coco_val,siglip+dinov3_patch,baseball bat,20,max_patch,5
coco_val,siglip+dinov3_patch,baseball bat,21,max_patch,6
coco_val,siglip+dinov3_patch,baseball bat,22,max_patch,6
coco_val,siglip+dinov3_patch,baseball bat,23,max_patch,8
coco_val,siglip+dinov3_patch,bear,0,max_patch,5
coco_val,siglip+dinov3_patch,bear,1,max_patch,4
coco_val,siglip+dinov3_patch,bear,2,max_patch,4
coco_val,siglip+dinov3_patch,bear,3,max_patch,5
coco_val,siglip+dinov3_patch,bear,4,max_patch,7
coco_val,siglip+dinov3_patch,bear,5,max_patch,5
coco_val,siglip+dinov3_patch,bear,6,max_patch,6
coco_val,siglip+dinov3_patch,bear,7,max_patch,7
coco_val,siglip+dinov3_patch,bear,8,max_patch,4
coco_val,siglip+dinov3_patch,bear,9,max_patch,5
coco_val,siglip+dinov3_patch,bear,10,max_patch,6
coco_val,siglip+dinov3_patch,bear,11,max_patch,6
coco_val,siglip+dinov3_patch,bear,12,max_patch,5
coco_val,siglip+dinov3_patch,bear,13,max_patch,4
coco_val,siglip+dinov3_patch,bear,14,max_patch,6
coco_val,siglip+dinov3_patch,bear,15,max_patch,5
coco_val,siglip+dinov3_patch,bear,16,max_patch,5
coco_val,siglip+dinov3_patch,bear,17,max_patch,8
coco_val,siglip+dinov3_patch,bear,18,max_patch,5
coco_val,siglip+dinov3_patch,bear,19,max_patch,7
coco_val,siglip+dinov3_patch,bear,20,max_patch,5
coco_val,siglip+dinov3_patch,bear,21,max_patch,7
coco_val,siglip+dinov3_patch,bear,22,max_patch,4
coco_val,siglip+dinov3_patch,bear,23,max_patch,6
coco_val,siglip+dinov3_patch,bed,0,max_patch,7
coco_val,siglip+dinov3_patch,bed,1,max_patch,5
coco_val,siglip+dinov3_patch,bed,2,max_patch,6
coco_val,siglip+dinov3_patch,bed,3,max_patch,6
coco_val,siglip+dinov3_patch,bed,4,max_patch,5
coco_val,siglip+dinov3_patch,bed,5,max_patch,6
coco_val,siglip+dinov3_patch,bed,6,max_patch,7
coco_val,siglip+dinov3_patch,bed,7,max_patch,6
coco_val,siglip+dinov3_patch,bed,8,max_patch,6
coco_val,siglip+dinov3_patch,bed,9,max_patch,6
coco_val,siglip+dinov3_patch,bed,10,max_patch,6
coco_val,siglip+dinov3_patch,bed,11,max_patch,6
coco_val,siglip+dinov3_patch,bed,12,max_patch,7
coco_val,siglip+dinov3_patch,bed,13,max_patch,5
coco_val,siglip+dinov3_patch,bed,14,max_patch,5
coco_val,siglip+dinov3_patch,bed,15,max_patch,8
coco_val,siglip+dinov3_patch,bed,16,max_patch,7
coco_val,siglip+dinov3_patch,bed,17,max_patch,5
coco_val,siglip+dinov3_patch,bed,18,max_patch,9
coco_val,siglip+dinov3_patch,bed,19,max_patch,5
coco_val,siglip+dinov3_patch,bed,20,max_patch,5
coco_val,siglip+dinov3_patch,bed,21,max_patch,7
coco_val,siglip+dinov3_patch,bed,22,max_patch,5
coco_val,siglip+dinov3_patch,bed,23,max_patch,6
coco_val,siglip+dinov3_patch,cat,0,max_patch,4
coco_val,siglip+dinov3_patch,cat,1,max_patch,5
coco_val,siglip+dinov3_patch,cat,2,max_patch,5
coco_val,siglip+dinov3_patch,cat,3,max_patch,7
coco_val,siglip+dinov3_patch,cat,4,max_patch,6
coco_val,siglip+dinov3_patch,cat,5,max_patch,5
coco_val,siglip+dinov3_patch,cat,6,max_patch,4
coco_val,siglip+dinov3_patch,cat,7,max_patch,5
coco_val,siglip+dinov3_patch,cat,8,max_patch,5
coco_val,siglip+dinov3_patch,cat,9,max_patch,5
coco_val,siglip+dinov3_patch,cat,10,max_patch,5
coco_val,siglip+dinov3_patch,cat,11,max_patch,5
coco_val,siglip+dinov3_patch,cat,12,max_patch,5
coco_val,siglip+dinov3_patch,cat,13,max_patch,4
coco_val,siglip+dinov3_patch,cat,14,max_patch,5
coco_val,siglip+dinov3_patch,cat,15,max_patch,5
coco_val,siglip+dinov3_patch,cat,16,max_patch,5
coco_val,siglip+dinov3_patch,cat,17,max_patch,4
coco_val,siglip+dinov3_patch,cat,18,max_patch,6
coco_val,siglip+dinov3_patch,cat,19,max_patch,8
coco_val,siglip+dinov3_patch,cat,20,max_patch,6
coco_val,siglip+dinov3_patch,cat,21,max_patch,6
coco_val,siglip+dinov3_patch,cat,22,max_patch,5
coco_val,siglip+dinov3_patch,cat,23,max_patch,5
coco_val,siglip+dinov3_patch,cell phone,0,max_patch,4
coco_val,siglip+dinov3_patch,cell phone,1,max_patch,6
coco_val,siglip+dinov3_patch,cell phone,2,max_patch,9
coco_val,siglip+dinov3_patch,cell phone,3,max_patch,5
coco_val,siglip+dinov3_patch,cell phone,4,max_patch,5
coco_val,siglip+dinov3_patch,cell phone,5,max_patch,5
coco_val,siglip+dinov3_patch,cell phone,6,max_patch,4
coco_val,siglip+dinov3_patch,cell phone,7,max_patch,7
coco_val,siglip+dinov3_patch,cell phone,8,max_patch,4
coco_val,siglip+dinov3_patch,cell phone,9,max_patch,5
coco_val,siglip+dinov3_patch,cell phone,10,max_patch,4
coco_val,siglip+dinov3_patch,cell phone,11,max_patch,4
coco_val,siglip+dinov3_patch,cell phone,12,max_patch,7
coco_val,siglip+dinov3_patch,cell phone,13,max_patch,5
coco_val,siglip+dinov3_patch,cell phone,14,max_patch,5
coco_val,siglip+dinov3_patch,cell phone,15,max_patch,5
coco_val,siglip+dinov3_patch,cell phone,16,max_patch,4
coco_val,siglip+dinov3_patch,cell phone,17,max_patch,5
coco_val,siglip+dinov3_patch,cell phone,18,max_patch,5
coco_val,siglip+dinov3_patch,cell phone,19,max_patch,4
coco_val,siglip+dinov3_patch,cell phone,20,max_patch,4
coco_val,siglip+dinov3_patch,cell phone,21,max_patch,6
coco_val,siglip+dinov3_patch,cell phone,22,max_patch,6
coco_val,siglip+dinov3_patch,cell phone,23,max_patch,6
coco_val,siglip+dinov3_patch,clock,0,max_patch,5
coco_val,siglip+dinov3_patch,clock,1,max_patch,6
coco_val,siglip+dinov3_patch,clock,2,max_patch,7
coco_val,siglip+dinov3_patch,clock,3,max_patch,5
coco_val,siglip+dinov3_patch,clock,4,max_patch,6
coco_val,siglip+dinov3_patch,clock,5,max_patch,6
coco_val,siglip+dinov3_patch,clock,6,max_patch,7
coco_val,siglip+dinov3_patch,clock,7,max_patch,6
coco_val,siglip+dinov3_patch,clock,8,max_patch,6
coco_val,siglip+dinov3_patch,clock,9,max_patch,5
coco_val,siglip+dinov3_patch,clock,10,max_patch,5
coco_val,siglip+dinov3_patch,clock,11,max_patch,6
coco_val,siglip+dinov3_patch,clock,12,max_patch,5
coco_val,siglip+dinov3_patch,clock,13,max_patch,11
coco_val,siglip+dinov3_patch,clock,14,max_patch,6
coco_val,siglip+dinov3_patch,clock,15,max_patch,6
coco_val,siglip+dinov3_patch,clock,16,max_patch,6
coco_val,siglip+dinov3_patch,clock,17,max_patch,9
coco_val,siglip+dinov3_patch,clock,18,max_patch,7
coco_val,siglip+dinov3_patch,clock,19,max_patch,6
coco_val,siglip+dinov3_patch,clock,20,max_patch,6
coco_val,siglip+dinov3_patch,clock,21,max_patch,5
coco_val,siglip+dinov3_patch,clock,22,max_patch,5
coco_val,siglip+dinov3_patch,clock,23,max_patch,6
coco_val,siglip+dinov3_patch,dining table,0,max_patch,4
coco_val,siglip+dinov3_patch,dining table,1,max_patch,5
coco_val,siglip+dinov3_patch,dining table,2,max_patch,4
coco_val,siglip+dinov3_patch,dining table,3,max_patch,5
coco_val,siglip+dinov3_patch,dining table,4,max_patch,5
coco_val,siglip+dinov3_patch,dining table,5,max_patch,5
coco_val,siglip+dinov3_patch,dining table,6,max_patch,6
coco_val,siglip+dinov3_patch,dining table,7,max_patch,5
coco_val,siglip+dinov3_patch,dining table,8,max_patch,6
coco_val,siglip+dinov3_patch,dining table,9,max_patch,6
coco_val,siglip+dinov3_patch,dining table,10,max_patch,6
coco_val,siglip+dinov3_patch,dining table,11,max_patch,5
coco_val,siglip+dinov3_patch,dining table,12,max_patch,5
coco_val,siglip+dinov3_patch,dining table,13,max_patch,6
coco_val,siglip+dinov3_patch,dining table,14,max_patch,5
coco_val,siglip+dinov3_patch,dining table,15,max_patch,6
coco_val,siglip+dinov3_patch,dining table,16,max_patch,3
coco_val,siglip+dinov3_patch,dining table,17,max_patch,4
coco_val,siglip+dinov3_patch,dining table,18,max_patch,6
coco_val,siglip+dinov3_patch,dining table,19,max_patch,6
