n_cells,fp16,fp32,diff_fp32_minus_fp16,se,resolved_below_margin,resolvable_from_zero,metric,window,split,dataset,band
624,0.19617243850645855,0.19608292579090517,-8.951271555337707e-05,0.0011775663673260274,True,False,cost,all,pooled,,
312,0.16563269421514581,0.1659500866057796,0.000317392390633762,0.001306933394323593,True,False,cost,all,dataset,coco_val,
312,0.22671218279777128,0.22621576497603074,-0.0004964178217405161,0.0019612312394217237,True,False,cost,all,dataset,visual_genome_m,
192,0.19745092034301726,0.1947935418153611,-0.002657378527656153,0.002479649914528276,False,False,cost,all,band,,above_4x
192,0.12505763577290469,0.12562613936840863,0.0005685035955039328,0.0018954577658693485,True,False,cost,all,band,,leaf_to_4x
192,0.24540200666158576,0.2462529374120704,0.0008509307504846174,0.0020741723740629256,True,False,cost,all,band,,patch_to_leaf
48,0.27859944947393006,0.2823875608984066,0.0037881114244765098,0.003109959414647493,False,False,cost,all,band,,sub_patch
96,0.14802057369418498,0.14819953313737821,0.0001789594431932792,0.0022151908334556536,True,False,cost,all,dataset+band,coco_val,above_4x
96,0.09078094706632651,0.09170267240646257,0.0009217253401360553,0.0021447587070279406,False,False,cost,all,dataset+band,coco_val,leaf_to_4x
96,0.25679379953703335,0.2554530373742427,-0.001340762162790701,0.002658907322081005,False,False,cost,all,dataset+band,coco_val,patch_to_leaf
24,0.1708437436067162,0.1759301542028006,0.005086410596084373,0.004983736224786226,False,False,cost,all,dataset+band,coco_val,sub_patch
96,0.2468812669918495,0.24138755049334393,-0.005493716498505584,0.004432568717054116,False,False,cost,all,dataset+band,visual_genome_m,above_4x
96,0.15933432447948284,0.15954960633035467,0.00021528185087181027,0.003137524672221973,False,False,cost,all,dataset+band,visual_genome_m,leaf_to_4x
96,0.23401021378613818,0.2370528374498981,0.003042623663759936,0.0031825181466415245,False,False,cost,all,dataset+band,visual_genome_m,patch_to_leaf
24,0.38635515534114395,0.3888449675940126,0.0024898122528686454,0.0038136886959048498,False,False,cost,all,dataset+band,visual_genome_m,sub_patch
624,0.16921090158371038,0.17115192565359477,0.0019410240698843639,0.0013363214096422684,True,False,cost,deep,pooled,,
312,0.14411304619155355,0.14402680517848163,-8.62410130718955e-05,0.0015223652775475265,True,False,cost,deep,dataset,coco_val,
312,0.19430875697586728,0.19827704612870792,0.003968289152840624,0.002193280180392093,False,False,cost,deep,dataset,visual_genome_m,
192,0.17122216064133988,0.1703506604370915,-0.0008715002042483664,0.002700689318118449,False,False,cost,deep,band,,above_4x
192,0.11014733823529411,0.11302098345588237,0.0028736452205882362,0.002162104957643163,False,False,cost,deep,band,,leaf_to_4x
192,0.20640674938725487,0.20972636723856208,0.0033196178513071896,0.0024434723216374787,False,False,cost,deep,band,,patch_to_leaf
48,0.24863672753267974,0.25258298897058823,0.003946261437908497,0.003888627027469698,False,False,cost,deep,band,,sub_patch
96,0.12696389971405228,0.12722467626633985,0.0002607765522875816,0.002649727845200312,False,False,cost,deep,dataset+band,coco_val,above_4x
96,0.08777135273692811,0.087838179125817,6.682638888888956e-05,0.002460567437830288,True,False,cost,deep,dataset+band,coco_val,leaf_to_4x
96,0.21496411172385618,0.214581208129085,-0.00038290359477124205,0.0031405253691994574,False,False,cost,deep,dataset+band,coco_val,patch_to_leaf
24,0.15467214379084968,0.1537722132352941,-0.0008999305555555549,0.005323771528554893,False,False,cost,deep,dataset+band,coco_val,sub_patch
96,0.21548042156862746,0.21347664460784313,-0.002003776960784314,0.004720211333944177,False,False,cost,deep,dataset+band,visual_genome_m,above_4x
96,0.13252332373366013,0.13820378778594772,0.005680464052287583,0.003546400492339127,False,False,cost,deep,dataset+band,visual_genome_m,leaf_to_4x
96,0.19784938705065355,0.20487152634803918,0.007022139297385621,0.0037224213643123746,False,False,cost,deep,dataset+band,visual_genome_m,patch_to_leaf
24,0.3426013112745099,0.3513937647058824,0.00879245343137255,0.005604981656950767,False,False,cost,deep,dataset+band,visual_genome_m,sub_patch
624,0.7356401507335133,0.7367141281508082,0.0010739774172949298,0.0014957245939362393,True,False,average_precision,all,pooled,,
312,0.8087216726494868,0.8102210041620856,0.0014993315125988302,0.0022504668572697678,False,False,average_precision,all,dataset,coco_val,
312,0.6625586288175398,0.6632072521395307,0.0006486233219910293,0.001974181031016009,True,False,average_precision,all,dataset,visual_genome_m,
192,0.8243229356565088,0.8267666301840763,0.0024436945275675462,0.0024201636849976718,False,False,average_precision,all,band,,above_4x
192,0.8419726142988182,0.8441603313686666,0.0021877170698484695,0.0020484302949476097,False,False,average_precision,all,band,,leaf_to_4x
192,0.5963567156184774,0.5961610908527994,-0.00019562476567798904,0.003408820946938254,False,False,average_precision,all,band,,patch_to_leaf
48,0.5127128972404549,0.5089314563383368,-0.0037814409021180253,0.005683334792586194,False,False,average_precision,all,band,,sub_patch
96,0.8582762461232859,0.8597280534729993,0.0014518073497133447,0.00374818576668592,False,False,average_precision,all,dataset+band,coco_val,above_4x
96,0.9262170556264172,0.928001112457483,0.0017840568310657588,0.002953563082313449,False,False,average_precision,all,dataset+band,coco_val,leaf_to_4x
96,0.6729467626897191,0.6747741400389001,0.0018273773491809507,0.005125199028031989,False,False,average_precision,all,dataset+band,coco_val,patch_to_leaf
24,0.6836214866856397,0.682859830229584,-0.0007616564560554258,0.00893228060839671,False,False,average_precision,all,dataset+band,coco_val,sub_patch
96,0.7903696251897316,0.7938052068951533,0.0034355817054217475,0.0030793618483729223,False,False,average_precision,all,dataset+band,visual_genome_m,above_4x
96,0.7577281729712192,0.7603195502798502,0.0025913773086311807,0.0028540567107812665,False,False,average_precision,all,dataset+band,visual_genome_m,leaf_to_4x
96,0.5197666685472356,0.5175480416666988,-0.002218626880536929,0.004513429968231216,False,False,average_precision,all,dataset+band,visual_genome_m,patch_to_leaf
24,0.34180430779527016,0.33500308244708954,-0.006801225348180622,0.007171561670111146,False,False,average_precision,all,dataset+band,visual_genome_m,sub_patch
624,0.7625095769230769,0.7627961732340373,0.0002865963109602813,0.0014623087755094594,True,False,average_precision,deep,pooled,,
312,0.8366987401332329,0.8376220844645551,0.0009233443313222728,0.0022342777964798853,False,False,average_precision,deep,dataset,coco_val,
312,0.6883204137129211,0.6879702620035194,-0.0003501517094017101,0.0018901149680230233,True,False,average_precision,deep,dataset,visual_genome_m,
192,0.8481922439746731,0.8487430118464053,0.0005507678717320267,0.0024150744082090665,False,False,average_precision,deep,band,,above_4x
192,0.8543529950980391,0.8554158502859478,0.0010628551879084958,0.0016879228912682386,True,False,average_precision,deep,band,,leaf_to_4x
192,0.6429077880923203,0.643382744995915,0.0004749569035947708,0.003394061284669991,False,False,average_precision,deep,band,,patch_to_leaf
48,0.5308123913398693,0.5261838235294117,-0.004628567810457516,0.006286888121110218,False,False,average_precision,deep,band,,sub_patch
96,0.8825215318627451,0.8832543607026144,0.0007328288398692831,0.004104595964966006,False,False,average_precision,deep,dataset+band,coco_val,above_4x
96,0.9382243247549019,0.9383283339460785,0.00010400919117646943,0.0020519095004840763,True,False,average_precision,deep,dataset+band,coco_val,leaf_to_4x
96,0.721025698120915,0.7225203596813725,0.0014946615604575152,0.005307408110685663,False,False,average_precision,deep,dataset+band,coco_val,patch_to_leaf
24,0.7099974027777778,0.7126748807189541,0.002677477941176471,0.007992702600592993,False,False,average_precision,deep,dataset+band,coco_val,sub_patch
96,0.8138629560866013,0.8142316629901961,0.00036870690359477035,0.002569965561820276,False,False,average_precision,deep,dataset+band,visual_genome_m,above_4x
96,0.7704816654411765,0.7725033666258171,0.002021701184640522,0.002688238711725041,False,False,average_precision,deep,dataset+band,visual_genome_m,leaf_to_4x
96,0.5647898780637255,0.5642451303104575,-0.0005447477532679737,0.00425801076525767,False,False,average_precision,deep,dataset+band,visual_genome_m,patch_to_leaf
24,0.35162737990196075,0.3396927663398693,-0.011934613562091504,0.009644268539862333,False,False,average_precision,deep,dataset+band,visual_genome_m,sub_patch
624,0.11699351760088106,0.1164165119250422,-0.0005770056758388658,0.0011606577231829953,True,False,fpr,all,pooled,,
312,0.10048224382979569,0.10211557492923462,0.0016333310994389315,0.0012746751559363357,True,False,fpr,all,dataset,coco_val,
312,0.13350479137196644,0.13071744892084977,-0.002787342451116663,0.0019341544053532356,False,False,fpr,all,dataset,visual_genome_m,
192,0.13194667995095694,0.12923035638843058,-0.002716323562526362,0.0019748528452047213,False,False,fpr,all,band,,above_4x
192,0.07906555394826283,0.07794025649440113,-0.001125297453861695,0.002177939307233585,False,False,fpr,all,band,,leaf_to_4x
192,0.1254386482689368,0.12609903118637328,0.0006603829174364655,0.0020716956464632294,True,False,fpr,all,band,,patch_to_leaf
48,0.17511220013882758,0.1803360787487287,0.005223878609901107,0.00453932515816267,False,False,fpr,all,band,,sub_patch
96,0.11352643654587702,0.11232234175813195,-0.0012040947877450456,0.002009864183683914,False,False,fpr,all,dataset+band,coco_val,above_4x
96,0.06119610232426304,0.0612915602324263,9.545790816326526e-05,0.002104117151052078,True,False,fpr,all,dataset+band,coco_val,leaf_to_4x
96,0.1259584699219587,0.1301892667365727,0.004230796814613973,0.00264858977529114,False,False,fpr,all,dataset+band,coco_val,patch_to_leaf
24,0.103545134618949,0.11228979917152633,0.008744664552577334,0.004963835416283401,False,False,fpr,all,dataset+band,coco_val,sub_patch
96,0.15036692335603685,0.14613837101872917,-0.0042285523373076775,0.0034050819777837315,False,False,fpr,all,dataset+band,visual_genome_m,above_4x
96,0.0969350055722626,0.09458895275637595,-0.002346052815886655,0.0038229383246166306,False,False,fpr,all,dataset+band,visual_genome_m,leaf_to_4x
96,0.12491882661591491,0.12200879563617388,-0.0029100309797410414,0.0031582659761304815,False,False,fpr,all,dataset+band,visual_genome_m,patch_to_leaf
24,0.2466792656587062,0.24838235832593103,0.0017030926672248828,0.007648274478817329,False,False,fpr,all,dataset+band,visual_genome_m,sub_patch
624,0.10563847567873304,0.106879077268728,0.0012406015899949724,0.0014486935755838946,True,False,fpr,deep,pooled,,
312,0.09385986324786326,0.09403197109100049,0.00017210784313725485,0.0016712914820941184,True,False,fpr,deep,dataset,coco_val,
312,0.11741708810960283,0.11972618344645551,0.00230909533685269,0.0023680776267538044,False,False,fpr,deep,dataset,visual_genome_m,
192,0.11425210968137256,0.11454172886029412,0.0002896191789215689,0.0026147953214852517,False,False,fpr,deep,band,,above_4x
192,0.06742403901143791,0.06778371762663399,0.00035967861519607854,0.002733608325968476,False,False,fpr,deep,band,,leaf_to_4x
192,0.1175742385620915,0.1188202637867647,0.001246025224673203,0.0024578906056797758,False,False,fpr,deep,band,,patch_to_leaf
48,0.17629863480392158,0.1848451633986928,0.008546528594771242,0.005436712374364437,False,False,fpr,deep,band,,sub_patch
96,0.10056919995915033,0.09875143852124184,-0.0018177614379084963,0.002515265442070166,False,False,fpr,deep,dataset+band,coco_val,above_4x
96,0.06115652879901961,0.059689688725490186,-0.0014668400735294116,0.0031056138013327147,False,False,fpr,deep,dataset+band,coco_val,leaf_to_4x
96,0.12076552062908497,0.12242993361928106,0.001664412990196079,0.0033448087730795066,False,False,fpr,deep,dataset+band,coco_val,patch_to_leaf
24,0.09021322467320263,0.09893138071895424,0.008718156045751636,0.0061289370918261804,False,False,fpr,deep,dataset+band,coco_val,sub_patch
96,0.12793501940359478,0.13033201919934642,0.002396999795751634,0.004590479527377115,False,False,fpr,deep,dataset+band,visual_genome_m,above_4x
96,0.07369154922385622,0.07587774652777778,0.002186197303921569,0.004509179955037903,False,False,fpr,deep,dataset+band,visual_genome_m,leaf_to_4x
