size,a,b,metric,mean,se,n,n_clusters
4,lrconv_best,svm_best,test_ap,0.003044769272629027,0.0006666965412570276,480,96
8,lrconv_best,svm_best,test_ap,0.0038941243160968996,0.001080691732948436,478,96
16,lrconv_best,svm_best,test_ap,0.0028882727806417417,0.000924871250656088,408,88
32,lrconv_best,svm_best,test_ap,0.0027087132318904705,0.0008360055909479048,338,74
4,lrconv_best,svm_best,test_auroc,0.0013488449193147312,0.00029497935267390024,480,96
8,lrconv_best,svm_best,test_auroc,0.0015624558139865794,0.0003887178892013741,478,96
16,lrconv_best,svm_best,test_auroc,0.0012294046012067063,0.00044419103972749037,408,88
32,lrconv_best,svm_best,test_auroc,0.0019423785160685495,0.00039182374552492334,338,74
4,lrconv_best,svm_best,test_oracle_cost,-0.0015364457878660786,0.0005391384331561987,480,96
8,lrconv_best,svm_best,test_oracle_cost,-0.0011919622785425004,0.0007730790779287897,478,96
16,lrconv_best,svm_best,test_oracle_cost,-0.0012492247856948397,0.0008058721409481583,408,88
32,lrconv_best,svm_best,test_oracle_cost,-0.0033498593973654966,0.0007855688547662753,338,74
4,svm_best,svm,test_ap,0.005727854680234722,0.0014810585945605696,480,96
8,svm_best,svm,test_ap,0.003531377843936801,0.0019508672764187252,478,96
16,svm_best,svm,test_ap,0.012751128698151775,0.0029897894670866034,408,88
32,svm_best,svm,test_ap,0.020619072243246613,0.0038695417320816906,338,74
4,svm_best,svm,test_auroc,0.007845025697260083,0.0013427371679406246,480,96
8,svm_best,svm,test_auroc,0.00975053793860577,0.0014573744205862358,478,96
16,svm_best,svm,test_auroc,0.015983097285472713,0.0023236157151476857,408,88
32,svm_best,svm,test_auroc,0.022559823785542835,0.003850261294902027,338,74
4,svm_best,svm,test_oracle_cost,-0.014779487296148974,0.002404080977054951,480,96
8,svm_best,svm,test_oracle_cost,-0.017378752477369024,0.0024354291964781383,478,96
16,svm_best,svm,test_oracle_cost,-0.026746588354909374,0.004274475801945304,408,88
32,svm_best,svm,test_oracle_cost,-0.036374428987449726,0.005862089715101027,338,74
4,lrconv_best,lr,test_ap,0.014506847404045963,0.001963710099806248,480,96
8,lrconv_best,lr,test_ap,0.006460399829184864,0.0019044553556385982,478,96
16,lrconv_best,lr,test_ap,0.011585776640178059,0.002150514403387663,408,88
32,lrconv_best,lr,test_ap,0.013841944868483525,0.0023836688334106424,338,74
4,lrconv_best,lr,test_auroc,0.019219033121439143,0.0020797013121335033,480,96
8,lrconv_best,lr,test_auroc,0.01315024294253591,0.0016954930480207841,478,96
16,lrconv_best,lr,test_auroc,0.013567067603115624,0.0018002313517659061,408,88
32,lrconv_best,lr,test_auroc,0.012169833756247219,0.001880984964254256,338,74
4,lrconv_best,lr,test_oracle_cost,-0.03136965383622385,0.003487854524963242,480,96
8,lrconv_best,lr,test_oracle_cost,-0.01893293832226027,0.002652350390628321,478,96
16,lrconv_best,lr,test_oracle_cost,-0.02126307109513931,0.003184853853289571,408,88
32,lrconv_best,lr,test_oracle_cost,-0.017390674624131203,0.003444327008717806,338,74
