arm,size,picked,n
lrconv_best,4,lrconv_C0.01,53
lrconv_best,4,lrconv_C0.1,115
lrconv_best,4,lrconv_C1,187
lrconv_best,4,lrconv_C10,107
lrconv_best,4,lrconv_C100,18
lrconv_best,8,lrconv_C0.01,29
lrconv_best,8,lrconv_C1,249
lrconv_best,8,lrconv_C10,176
lrconv_best,8,lrconv_C100,24
lrconv_best,16,lrconv_C0.01,11
lrconv_best,16,lrconv_C0.1,129
lrconv_best,16,lrconv_C1,85
lrconv_best,16,lrconv_C10,183
lrconv_best,32,lrconv_C0.01,5
lrconv_best,32,lrconv_C0.1,72
lrconv_best,32,lrconv_C1,111
lrconv_best,32,lrconv_C10,150
svm_best,4,svm,111
svm_best,4,svm_C0.01,363
svm_best,4,svm_C10,6
svm_best,8,svm,86
svm_best,8,svm_C0.01,23
svm_best,8,svm_C0.1,321
svm_best,8,svm_C10,48
svm_best,16,svm,123
svm_best,16,svm_C0.01,129
svm_best,16,svm_C0.1,156
svm_best,32,svm,145
svm_best,32,svm_C0.01,36
svm_best,32,svm_C0.1,157
