level,arm,test_auroc,test_auroc_se,train_auroc,n
NOISE,centroid,0.49962954974355883,0.0015933930867894311,0.9614181518554688,896
NOISE,lr,0.4982067978083641,0.0015418379287143115,0.9955989292689732,896
NOISE,lr_nosmooth,0.49827403994805103,0.0015406156952872331,0.9946986607142857,896
NOISE,lr_zeroinit,0.4981949133603994,0.0015436603258597535,0.9956479753766742,896
NOISE,lrconv_C0.1,0.4995737602500595,0.0015931568673229965,0.9651009695870536,896
NOISE,lrconv_C1,0.4991635315641548,0.0015858131445803296,0.984421866280692,896
NOISE,lrconv_C10,0.4981734569358838,0.0015684728396349159,0.9997852870396206,896
NOISE,lrconv_C100,0.4973192339337086,0.0015575305367378472,1.0,896
NOISE,ridge_a1,0.4985196885673166,0.0015773295216601002,0.9979564121791294,896
NOISE,svm,0.498041289729305,0.001573798493274868,0.9997024536132812,896
NOISE,svm_C0.1,0.49916183381366297,0.0015872108349253937,0.9816720145089286,896
NOISE,svm_C10,0.4967263334455092,0.001564119629243322,1.0,896
NOISE,svm_hinge,0.49919111693530843,0.0015953267131454995,0.9756600516183036,896
REAL,centroid,0.8731271208719539,0.005067311251506192,0.9769893270881007,874
REAL,lr,0.8600241472090627,0.005313089028244001,0.9963038114988558,874
REAL,lr_nosmooth,0.8604191833632419,0.005306678269988346,0.9956926219250573,874
REAL,lr_zeroinit,0.8607026899048096,0.005287593556944628,0.996350740131579,874
REAL,lrconv_C0.1,0.8732740779938614,0.00506247179436358,0.9794810140160183,874
REAL,lrconv_C1,0.8728688125874473,0.005058948664844665,0.9911271363701373,874
REAL,lrconv_C10,0.8643512873948728,0.005223183897427478,0.9998391018306636,874
REAL,lrconv_C100,0.8525194813863549,0.005460055280417506,1.0,874
REAL,ridge_a1,0.8675245045336041,0.005150379184389059,0.9987943810783753,874
REAL,svm,0.8604347591413549,0.005292470565952878,0.9998435712242563,874
REAL,svm_C0.1,0.8715744821997403,0.005097903055456233,0.9897472110983981,874
REAL,svm_C10,0.8388989266090469,0.0056715567611942165,1.0,874
REAL,svm_hinge,0.8694991798184883,0.005096283177676507,0.9920221324370709,874
