condition,size,level,arm,test_ap,test_auroc,test_oracle_cost
dilute,4,0.0,centroid,0.291022638074134,0.587290004923955,0.642666638660753
dilute,4,0.0,lr,0.29907576289149973,0.5992547308502911,0.6351827659673706
dilute,4,0.0,lr_nosmooth,0.2986769489202549,0.599048558339807,0.635160843327949
dilute,4,0.0,lr_zeroinit,0.29944915046897097,0.6003305349204844,0.634052909732495
dilute,4,0.0,lrconv_C0.1,0.2915720248507979,0.5879049806951643,0.6418925467719249
dilute,4,0.0,lrconv_C1,0.29558670587263336,0.5920768419845067,0.6364225282083622
dilute,4,0.0,lrconv_C10,0.306990150364957,0.6021647635014612,0.6256318920565797
dilute,4,0.0,lrconv_C100,0.3110891003011405,0.6071419677014663,0.620777520818228
dilute,4,0.0,ridge_a1,0.3041483585329591,0.5992108886911229,0.628194370492871
dilute,4,0.0,svm,0.2999259790054237,0.5947944329102832,0.63425463909953
dilute,4,0.0,svm_C0.1,0.2875501311603905,0.5842344494215763,0.6464457917776223
dilute,4,0.0,svm_C10,0.3065937128310867,0.6030424657764838,0.6261592651470596
dilute,4,0.0,svm_hinge,0.2914869490509134,0.5861645583326958,0.6429480560352415
dilute,4,1.0,centroid,0.5757313529645331,0.9041215773775738,0.26042608386167604
dilute,4,1.0,lr,0.5686434120648117,0.8849480162199584,0.29270304284420173
dilute,4,1.0,lr_nosmooth,0.5692399095980755,0.8858325543079655,0.2910469959351556
dilute,4,1.0,lr_zeroinit,0.5689448668797472,0.8855173546380237,0.2919137130513348
dilute,4,1.0,lrconv_C0.1,0.5762187217273491,0.9038399203669167,0.2608890802784583
dilute,4,1.0,lrconv_C1,0.5769402154627439,0.9009723058500296,0.2661605749452863
dilute,4,1.0,lrconv_C10,0.566668645572347,0.8875324281402611,0.28927792470942376
dilute,4,1.0,lrconv_C100,0.5504412838662381,0.8735621902177372,0.31280038966937795
dilute,4,1.0,ridge_a1,0.5708559646911106,0.8917634254254377,0.2818392524612857
dilute,4,1.0,svm,0.5607272338054752,0.8827581944452694,0.2968107560898224
dilute,4,1.0,svm_C0.1,0.5754432121750029,0.900556015036903,0.2668599023031382
dilute,4,1.0,svm_C10,0.5292999274380956,0.8569342070304793,0.3405868621066874
dilute,4,1.0,svm_hinge,0.5723869274846941,0.8959477609227011,0.2735966449796065
dilute,4,3.0,centroid,0.6049472455716839,0.929495860894097,0.21547392354770703
dilute,4,3.0,lr,0.6207800815365759,0.9253903804076212,0.21880358644341927
dilute,4,3.0,lr_nosmooth,0.6201250406706353,0.9254379884537829,0.21866662952623855
dilute,4,3.0,lr_zeroinit,0.6212170778348644,0.9256143484555597,0.2186581709610419
dilute,4,3.0,lrconv_C0.1,0.6078861973657184,0.9299840776573451,0.2140670351693531
dilute,4,3.0,lrconv_C1,0.6195864408128194,0.9311485631009832,0.21110597150188354
dilute,4,3.0,lrconv_C10,0.6248238017503435,0.9253538342387441,0.22186888181376452
dilute,4,3.0,lrconv_C100,0.612397950249004,0.9143342289913842,0.24171237112803068
dilute,4,3.0,ridge_a1,0.6284620764052068,0.928119868699882,0.21630681285317147
dilute,4,3.0,svm,0.6232023386087121,0.9228053704313186,0.22584761092257719
dilute,4,3.0,svm_C0.1,0.6187984155202388,0.931143150649533,0.210836237699093
dilute,4,3.0,svm_C10,0.5926205001800491,0.899470839271147,0.26806922172246367
dilute,4,3.0,svm_hinge,0.6286795061398458,0.9304281267390005,0.2100150153950281
dilute,4,9.0,centroid,0.5996769675249117,0.9314496716364296,0.21417860068521077
dilute,4,9.0,lr,0.6215084286825817,0.9314560443982557,0.20954236659016415
dilute,4,9.0,lr_nosmooth,0.6202261895576361,0.9311188193405239,0.21040292199120764
dilute,4,9.0,lr_zeroinit,0.6215502451132487,0.9316219016732048,0.20943225741628835
dilute,4,9.0,lrconv_C0.1,0.6055202532639338,0.9328912205740777,0.21049180001213086
dilute,4,9.0,lrconv_C1,0.6243356413337726,0.9364914667831372,0.20171751539520102
dilute,4,9.0,lrconv_C10,0.6393862841704261,0.9355854686816822,0.20154510073367374
dilute,4,9.0,lrconv_C100,0.6334165725870408,0.9285452779051041,0.21603353956345833
dilute,4,9.0,ridge_a1,0.6453991690385662,0.9383527196704385,0.1944052753011233
dilute,4,9.0,svm,0.6424687927549573,0.9348198432893019,0.2017302042757821
dilute,4,9.0,svm_C0.1,0.6267328046860972,0.9370815790540753,0.19999615648367647
dilute,4,9.0,svm_C10,0.6166252861777188,0.9170802792839737,0.23636470291353823
dilute,4,9.0,svm_hinge,0.6429880474975855,0.9383319842280392,0.1937277493981151
dilute,8,0.0,centroid,0.33604202659808724,0.5900300981358041,0.614768167956367
dilute,8,0.0,lr,0.34925110137663284,0.611596655203082,0.5966420051278142
dilute,8,0.0,lr_nosmooth,0.3488452766527355,0.6111006566554217,0.5971907368305761
dilute,8,0.0,lr_zeroinit,0.34995418442462795,0.6126663755331688,0.5952131192935665
dilute,8,0.0,lrconv_C0.1,0.3372591219350619,0.5908304432280843,0.6137442679145757
dilute,8,0.0,lrconv_C1,0.34414677166073426,0.5962930926974239,0.605690126111959
dilute,8,0.0,lrconv_C10,0.35667180891313016,0.6097852685245277,0.5876732507783187
dilute,8,0.0,lrconv_C100,0.35870995313705206,0.6163588540830519,0.5814313919671763
dilute,8,0.0,ridge_a1,0.35441169923842136,0.6056033373389464,0.5924062187565021
dilute,8,0.0,svm,0.35356994189999336,0.6064328104409751,0.5919983097239246
dilute,8,0.0,svm_C0.1,0.3385965259017257,0.5920384330053091,0.6119802820023272
dilute,8,0.0,svm_C10,0.3539152764340404,0.6160958447702686,0.5842055245926394
dilute,8,0.0,svm_hinge,0.3478200232933926,0.5944566901504847,0.6049138440626538
dilute,8,1.0,centroid,0.5899286867378585,0.9135637082177587,0.2421810044203583
dilute,8,1.0,lr,0.5932022085583321,0.9000868248178474,0.26583668952763256
dilute,8,1.0,lr_nosmooth,0.5932189897570583,0.9007854975483947,0.2645883450610271
dilute,8,1.0,lr_zeroinit,0.5936718254704337,0.9004142544021542,0.26515371963794065
dilute,8,1.0,lrconv_C0.1,0.5919529161869586,0.9136176519840282,0.24178708534514706
dilute,8,1.0,lrconv_C1,0.5981763996892925,0.9111624318285562,0.24603327928284469
dilute,8,1.0,lrconv_C10,0.5883671067854281,0.8943721456187281,0.2743391302624957
dilute,8,1.0,lrconv_C100,0.5667063876295916,0.8762734569105418,0.30562352225814776
dilute,8,1.0,ridge_a1,0.5932971348711225,0.8993481951514405,0.26592939875891325
dilute,8,1.0,svm,0.5816486735769605,0.8885694115113502,0.284468950023785
dilute,8,1.0,svm_C0.1,0.5971712694225747,0.9111635471746303,0.24590237872923576
dilute,8,1.0,svm_C10,0.540961551254475,0.8585802452819163,0.3363516899171286
dilute,8,1.0,svm_hinge,0.5931242589452472,0.9033435167609232,0.25855465088867374
dilute,8,3.0,centroid,0.5972123757507551,0.9294089581385482,0.21830812631611463
dilute,8,3.0,lr,0.6194881848546737,0.9284900554707434,0.21596912954849437
dilute,8,3.0,lr_nosmooth,0.6180526182497574,0.9282605471646549,0.21639599035304635
dilute,8,3.0,lr_zeroinit,0.6197216217569584,0.9286541296223922,0.21577657924685104
dilute,8,3.0,lrconv_C0.1,0.6032289226583332,0.9307619516112549,0.21528550615731745
dilute,8,3.0,lrconv_C1,0.6239312336210288,0.9337947410542635,0.20742156345297202
dilute,8,3.0,lrconv_C10,0.6301511893755177,0.9268221049994093,0.21802705779325807
dilute,8,3.0,lrconv_C100,0.6115153822657448,0.9117424394946352,0.24606510050305436
dilute,8,3.0,ridge_a1,0.6358931674269355,0.9302414266496921,0.21056361568850282
dilute,8,3.0,svm,0.6275212870151824,0.9229565690131073,0.22403096242685044
dilute,8,3.0,svm_C0.1,0.6244140477835305,0.9339481641738742,0.20699483250426964
dilute,8,3.0,svm_C10,0.5843668943601111,0.8945642230067701,0.2775552603239321
dilute,8,3.0,svm_hinge,0.6312080686468419,0.9308247773698677,0.20807392110981995
dilute,8,9.0,centroid,0.5907415107189389,0.9301821142450624,0.21826108200552743
dilute,8,9.0,lr,0.6135304906014711,0.9306498987669676,0.2143309469626975
dilute,8,9.0,lr_nosmooth,0.6120026804128686,0.9302188737185236,0.21527866302216578
dilute,8,9.0,lr_zeroinit,0.6136640808341729,0.9307868563086529,0.21416870089313042
dilute,8,9.0,lrconv_C0.1,0.6003587228291646,0.9328103188358995,0.2125338228286488
dilute,8,9.0,lrconv_C1,0.6262593931410267,0.9377607450210217,0.20043895831416644
dilute,8,9.0,lrconv_C10,0.6433717141904934,0.9357916826227706,0.20057101945046493
dilute,8,9.0,lrconv_C100,0.6312957843724404,0.9250929007785584,0.22087283612977945
dilute,8,9.0,ridge_a1,0.6523634531279779,0.9395386110635702,0.1911118101562478
dilute,8,9.0,svm,0.6440465664729477,0.9335300763639085,0.2028588919589897
dilute,8,9.0,svm_C0.1,0.6320576531473081,0.9389746821764642,0.19653165597843172
dilute,8,9.0,svm_C10,0.60625357756754,0.910680080213553,0.24829682009392728
dilute,8,9.0,svm_hinge,0.6446566161223468,0.9373833974505773,0.19481012458658237
misvote,4,0.0,centroid,0.5053576050739154,0.8509957097005726,0.3417717376039843
misvote,4,0.0,lr,0.4933801552879989,0.8307945522316192,0.3750021165520421
misvote,4,0.0,lr_nosmooth,0.494255033678033,0.8315311449489429,0.37375870653392973
misvote,4,0.0,lr_zeroinit,0.4938005935386409,0.8315025866454239,0.37377964479862097
misvote,4,0.0,lrconv_C0.1,0.5054665324505209,0.8510384556431152,0.3417534263551332
misvote,4,0.0,lrconv_C1,0.506116596732536,0.850844365945525,0.3430778347738521
misvote,4,0.0,lrconv_C10,0.5020903880104133,0.845675876969129,0.3525446391034883
misvote,4,0.0,lrconv_C100,0.49428975343444076,0.8378635262032262,0.36508043200590456
misvote,4,0.0,ridge_a1,0.5041778745013306,0.8479149333428097,0.34898907666761814
misvote,4,0.0,svm,0.49678555714486616,0.841129338291786,0.35962806886135795
misvote,4,0.0,svm_C0.1,0.5023551565066939,0.8480811951238242,0.34704068294377594
misvote,4,0.0,svm_C10,0.4793457356627112,0.8246288389611673,0.3868063409643991
misvote,4,0.0,svm_hinge,0.502851370391887,0.8488980311494403,0.34621536198413144
misvote,4,1.0,centroid,0.5202371280132717,0.8770184907216633,0.30482200816580274
misvote,4,1.0,lr,0.5130145495468285,0.859839713817204,0.3335164995671178
misvote,4,1.0,lr_nosmooth,0.5134163175230942,0.8604109457557289,0.3325395064084978
misvote,4,1.0,lr_zeroinit,0.5132820621764912,0.8605476581036025,0.3325291557857983
misvote,4,1.0,lrconv_C0.1,0.5204217651735246,0.877018970881936,0.3047879229424129
misvote,4,1.0,lrconv_C1,0.5211652581677211,0.8765968156030827,0.30592597036859004
misvote,4,1.0,lrconv_C10,0.5191631807837702,0.8714411924933656,0.31500109750014027
misvote,4,1.0,lrconv_C100,0.5131234359825068,0.8640305761388216,0.32741676221796995
misvote,4,1.0,ridge_a1,0.5202508612087154,0.8737024267198503,0.3114697133914567
misvote,4,1.0,svm,0.515038122923578,0.8681679753564207,0.32071088897355254
misvote,4,1.0,svm_C0.1,0.518464692385949,0.8747677643512841,0.30929725554195625
misvote,4,1.0,svm_C10,0.49949224362255223,0.853037433721657,0.345030597264275
misvote,4,1.0,svm_hinge,0.5178479580451694,0.875626244250572,0.3083677890761838
misvote,8,0.0,centroid,0.5516085668213497,0.8699553543014624,0.31065845303460066
misvote,8,0.0,lr,0.54566520005289,0.8557738572452572,0.33441651063021044
misvote,8,0.0,lr_nosmooth,0.5462319601910092,0.8562486988813401,0.33366088531683136
misvote,8,0.0,lr_zeroinit,0.5466187251851772,0.8565644147068985,0.33320029581840244
misvote,8,0.0,lrconv_C0.1,0.5520525306550361,0.8700557861560826,0.3104549919344068
misvote,8,0.0,lrconv_C1,0.5538073972008948,0.8698129396656749,0.3111272622246373
misvote,8,0.0,lrconv_C10,0.5483437444221257,0.8620725222606074,0.3235987152757722
misvote,8,0.0,lrconv_C100,0.5364783086165047,0.8509279406640811,0.342243531866038
misvote,8,0.0,ridge_a1,0.5513866476801834,0.8652848118610543,0.3179267658118716
misvote,8,0.0,svm,0.5444844253226495,0.8583191761969515,0.3300686468075672
misvote,8,0.0,svm_C0.1,0.5515129398062854,0.8680529309911915,0.31417155027733507
misvote,8,0.0,svm_C10,0.5199501764682962,0.8371962917896346,0.3650392327379139
misvote,8,0.0,svm_hinge,0.5521601316197396,0.866529718741655,0.3152776459834447
misvote,8,1.0,centroid,0.560789114568939,0.8878775651605434,0.2838354598634125
misvote,8,1.0,lr,0.558965231093601,0.8737130855494674,0.3079800731895969
misvote,8,1.0,lr_nosmooth,0.5593655525833624,0.8742592026612191,0.30694765705180377
misvote,8,1.0,lr_zeroinit,0.5594598130037822,0.8744095550756316,0.3066776553725546
misvote,8,1.0,lrconv_C0.1,0.5613054004927978,0.8879088380954543,0.2838385626882944
misvote,8,1.0,lrconv_C1,0.5638566303962391,0.8872056987536947,0.28516172350775076
misvote,8,1.0,lrconv_C10,0.560987663757861,0.8788347673279763,0.29871380404185904
misvote,8,1.0,lrconv_C100,0.5507127347771849,0.8678679563046403,0.3172430415671052
misvote,8,1.0,ridge_a1,0.5632029860714499,0.8822275622272991,0.29278199024750234
misvote,8,1.0,svm,0.5571784361377614,0.8754771533427304,0.30458995258881083
misvote,8,1.0,svm_C0.1,0.5616271069966349,0.8858664961845776,0.28764883121774776
misvote,8,1.0,svm_C10,0.5353712422492639,0.8549692907959002,0.33863961423158273
misvote,8,1.0,svm_hinge,0.5624507885375315,0.8852758980215718,0.2870417846677334
misvote,16,0.0,centroid,0.5492213250870344,0.8832474815892505,0.2927716939612766
misvote,16,0.0,lr,0.5483210793973522,0.8709818918663421,0.3159033977679288
misvote,16,0.0,lr_nosmooth,0.5481877393554394,0.8713421756403303,0.3152521206025486
misvote,16,0.0,lr_zeroinit,0.548764201293149,0.8716654470076096,0.3150310172961076
misvote,16,0.0,lrconv_C0.1,0.5510757426314064,0.883566562703059,0.2923949173955314
misvote,16,0.0,lrconv_C1,0.5577039985928549,0.8834451587129613,0.2939713361943298
misvote,16,0.0,lrconv_C10,0.5510589337544776,0.872430185490971,0.31384833177995203
misvote,16,0.0,lrconv_C100,0.5310097454765299,0.8569449567636757,0.34230234988757774
misvote,16,0.0,ridge_a1,0.5560525127166315,0.8765181205740501,0.30623493522960943
misvote,16,0.0,svm,0.5464104820834029,0.8680058153186262,0.3211647565668125
misvote,16,0.0,svm_C0.1,0.5556688151258811,0.882520535092823,0.2949697950878613
misvote,16,0.0,svm_C10,0.5081686508620474,0.8419442451004724,0.3699491105463137
misvote,16,0.0,svm_hinge,0.5573594975340628,0.8790689798580061,0.2991726161700159
misvote,16,1.0,centroid,0.554384553677547,0.8914787082170931,0.28266980341549625
