size,level,a,b,metric,mean,se,n,n_clusters,condition
4.0,0.0,svm,lr,test_ap,0.0008502161139240173,0.002070592623350865,480,96,dilute
4.0,1.0,svm,lr,test_ap,-0.007916178259336564,0.0021870325530004083,480,96,dilute
4.0,3.0,svm,lr,test_ap,0.0024222570721362663,0.002516824637139654,480,96,dilute
4.0,9.0,svm,lr,test_ap,0.020960364072375417,0.0034037352854357984,480,96,dilute
8.0,0.0,svm,lr,test_ap,0.004318840523360541,0.002453155294057712,468,94,dilute
8.0,1.0,svm,lr,test_ap,-0.011553534981371492,0.0029253518516546046,468,94,dilute
8.0,3.0,svm,lr,test_ap,0.008033102160508692,0.003882679180914286,468,94,dilute
8.0,9.0,svm,lr,test_ap,0.030516075871476447,0.004599110102008624,468,94,dilute
4.0,0.0,svm,lr,test_auroc,-0.004460297940008072,0.0019317793122806915,480,96,dilute
4.0,1.0,svm,lr,test_auroc,-0.002189821774689037,0.0008960509349165667,480,96,dilute
4.0,3.0,svm,lr,test_auroc,-0.002585009976302549,0.0009360674748004666,480,96,dilute
4.0,9.0,svm,lr,test_auroc,0.0033637988910462436,0.0009758403059207999,480,96,dilute
8.0,0.0,svm,lr,test_auroc,-0.005163844762107028,0.002307830311096748,468,94,dilute
8.0,1.0,svm,lr,test_auroc,-0.011517413306497233,0.0018006654360095615,468,94,dilute
8.0,3.0,svm,lr,test_auroc,-0.005533486457635982,0.001434774320652869,468,94,dilute
8.0,9.0,svm,lr,test_auroc,0.0028801775969408594,0.0013401347542669928,468,94,dilute
4.0,0.0,svm,lr,test_oracle_cost,-0.0009281268678405961,0.002258495461070482,480,96,dilute
4.0,1.0,svm,lr,test_oracle_cost,0.004107713245620615,0.0018026113098711374,480,96,dilute
4.0,3.0,svm,lr,test_oracle_cost,0.0070440244791579116,0.0021554838813607046,480,96,dilute
4.0,9.0,svm,lr,test_oracle_cost,-0.007812162314382045,0.0024026232371452943,480,96,dilute
8.0,0.0,svm,lr,test_oracle_cost,-0.004643695403889631,0.002792609552889894,468,94,dilute
8.0,1.0,svm,lr,test_oracle_cost,0.018632260496152474,0.003268403710798464,468,94,dilute
8.0,3.0,svm,lr,test_oracle_cost,0.008061832878356072,0.0031549939108151395,468,94,dilute
8.0,9.0,svm,lr,test_oracle_cost,-0.011472055003707791,0.002950920254473273,468,94,dilute
4.0,0.0,svm,lrconv_C1,test_ap,0.004339273132790387,0.002264155658161501,480,96,dilute
4.0,1.0,svm,lrconv_C1,test_ap,-0.016212981657268723,0.0026795656406853347,480,96,dilute
4.0,3.0,svm,lrconv_C1,test_ap,0.0036158977958926806,0.00298748755024787,480,96,dilute
4.0,9.0,svm,lrconv_C1,test_ap,0.018133151421184508,0.0032131981576993453,480,96,dilute
8.0,0.0,svm,lrconv_C1,test_ap,0.009423170239259097,0.003900558473702752,468,94,dilute
8.0,1.0,svm,lrconv_C1,test_ap,-0.016527726112331984,0.003732096315297168,468,94,dilute
8.0,3.0,svm,lrconv_C1,test_ap,0.003590053394153527,0.0036612874489286014,468,94,dilute
8.0,9.0,svm,lrconv_C1,test_ap,0.017787173331920817,0.0036518089916805383,468,94,dilute
4.0,0.0,svm,lrconv_C1,test_auroc,0.002717590925776441,0.001645757304470216,480,96,dilute
4.0,1.0,svm,lrconv_C1,test_auroc,-0.018214111404760272,0.0021061711690954867,480,96,dilute
4.0,3.0,svm,lrconv_C1,test_auroc,-0.008343192669664622,0.0011748776300834738,480,96,dilute
4.0,9.0,svm,lrconv_C1,test_auroc,-0.0016716234938354052,0.0007146656536806057,480,96,dilute
8.0,0.0,svm,lrconv_C1,test_auroc,0.010139717743551043,0.002459035314990435,468,94,dilute
8.0,1.0,svm,lrconv_C1,test_auroc,-0.022593020317206006,0.002812235108202982,468,94,dilute
8.0,3.0,svm,lrconv_C1,test_auroc,-0.01083817204115625,0.0016387471124326598,468,94,dilute
8.0,9.0,svm,lrconv_C1,test_auroc,-0.004230668657113143,0.0011571277745531384,468,94,dilute
4.0,0.0,svm,lrconv_C1,test_oracle_cost,-0.00216788910883212,0.0024205884856962124,480,96,dilute
4.0,1.0,svm,lrconv_C1,test_oracle_cost,0.030650181144536104,0.0036545632615730375,480,96,dilute
4.0,3.0,svm,lrconv_C1,test_oracle_cost,0.014741639420693654,0.0027977969851135593,480,96,dilute
4.0,9.0,svm,lrconv_C1,test_oracle_cost,1.2688880581088422e-05,0.002140868308489635,480,96,dilute
8.0,0.0,svm,lrconv_C1,test_oracle_cost,-0.013691816388034518,0.0032177258662827355,468,94,dilute
8.0,1.0,svm,lrconv_C1,test_oracle_cost,0.03843567074094032,0.0048341536807781785,468,94,dilute
8.0,3.0,svm,lrconv_C1,test_oracle_cost,0.016609398973878437,0.0034353699322344122,468,94,dilute
8.0,9.0,svm,lrconv_C1,test_oracle_cost,0.0024199336448232816,0.0028636677419496817,468,94,dilute
4.0,0.0,lrconv_C1,lr,test_ap,-0.00348905701886637,0.00262594302934635,480,96,dilute
4.0,1.0,lrconv_C1,lr,test_ap,0.008296803397932161,0.002223131147999323,480,96,dilute
4.0,3.0,lrconv_C1,lr,test_ap,-0.0011936407237564141,0.0017858857250847243,480,96,dilute
4.0,9.0,lrconv_C1,lr,test_ap,0.002827212651190908,0.0018965986219856561,480,96,dilute
8.0,0.0,lrconv_C1,lr,test_ap,-0.005104329715898555,0.0031034255422311657,468,94,dilute
8.0,1.0,lrconv_C1,lr,test_ap,0.00497419113096049,0.0019544250055027264,468,94,dilute
8.0,3.0,lrconv_C1,lr,test_ap,0.004443048766355163,0.00169761839156889,468,94,dilute
8.0,9.0,lrconv_C1,lr,test_ap,0.012728902539555635,0.002132768963439109,468,94,dilute
4.0,0.0,lrconv_C1,lr,test_auroc,-0.007177888865784513,0.0023647217993846793,480,96,dilute
4.0,1.0,lrconv_C1,lr,test_auroc,0.016024289630071235,0.001810003991397686,480,96,dilute
4.0,3.0,lrconv_C1,lr,test_auroc,0.005758182693362072,0.0008975633670232744,480,96,dilute
4.0,9.0,lrconv_C1,lr,test_auroc,0.0050354223848816495,0.0009187765440443973,480,96,dilute
