level,a,b,metric,mean,se,n,n_clusters,condition
10,svm,lr,test_ap,0.005569628138059173,0.0019217624730714293,480,96,replay_linear
20,svm,lr,test_ap,0.007988906039534184,0.0016326034609280685,480,96,replay_linear
40,svm,lr,test_ap,0.005904168890634026,0.001432536331135519,480,96,replay_linear
80,svm,lr,test_ap,0.005045670575116496,0.0015847863275071118,480,96,replay_linear
150,svm,lr,test_ap,0.0038244412873640584,0.0015600307196012703,480,96,replay_linear
10,svm,lr,test_auroc,0.010060023918509771,0.0013802659956908615,480,96,replay_linear
20,svm,lr,test_auroc,0.011739658441736306,0.001427603557186252,480,96,replay_linear
40,svm,lr,test_auroc,0.008186958930925043,0.0012229229852543874,480,96,replay_linear
80,svm,lr,test_auroc,0.003105418497791827,0.000835710036989718,480,96,replay_linear
150,svm,lr,test_auroc,0.0017869813923292828,0.0009612623877589262,480,96,replay_linear
10,svm,lr,test_oracle_cost,-0.01929178308372996,0.0024363610888886926,480,96,replay_linear
20,svm,lr,test_oracle_cost,-0.019939881211968925,0.0025289324914928137,480,96,replay_linear
40,svm,lr,test_oracle_cost,-0.01453909762580647,0.002315589136604136,480,96,replay_linear
80,svm,lr,test_oracle_cost,-0.005381465003959968,0.00175094107606684,480,96,replay_linear
150,svm,lr,test_oracle_cost,-0.0021446008240299914,0.0016909231002447322,480,96,replay_linear
10,lrconv_C1,lr,test_ap,0.008104752745120018,0.0024074766162341557,480,96,replay_linear
20,lrconv_C1,lr,test_ap,0.008855516362757039,0.002009435668052276,480,96,replay_linear
40,lrconv_C1,lr,test_ap,0.005812793106962133,0.001633326271044426,480,96,replay_linear
80,lrconv_C1,lr,test_ap,0.003686016799015815,0.0015361020218646766,480,96,replay_linear
150,lrconv_C1,lr,test_ap,0.004385358206561802,0.001451606182916818,480,96,replay_linear
10,lrconv_C1,lr,test_auroc,0.012794919574951106,0.001551733372891183,480,96,replay_linear
20,lrconv_C1,lr,test_auroc,0.01540016185609811,0.0017492552760025929,480,96,replay_linear
40,lrconv_C1,lr,test_auroc,0.012395065294120926,0.0014859649958295768,480,96,replay_linear
80,lrconv_C1,lr,test_auroc,0.00870080171741742,0.0011413837280213096,480,96,replay_linear
150,lrconv_C1,lr,test_auroc,0.008586796624813013,0.0011466117480113788,480,96,replay_linear
10,lrconv_C1,lr,test_oracle_cost,-0.024008041166537,0.0027657960647135154,480,96,replay_linear
20,lrconv_C1,lr,test_oracle_cost,-0.02565811596852321,0.003060448297170638,480,96,replay_linear
40,lrconv_C1,lr,test_oracle_cost,-0.02099303039243796,0.0027341093165514046,480,96,replay_linear
80,lrconv_C1,lr,test_oracle_cost,-0.013999267235107244,0.0021023906768865962,480,96,replay_linear
150,lrconv_C1,lr,test_oracle_cost,-0.01462933312879315,0.002241659432849913,480,96,replay_linear
10,lrconv_C1,svm,test_ap,0.002535124607060845,0.0014117628001217462,480,96,replay_linear
20,lrconv_C1,svm,test_ap,0.0008666103232228555,0.001240207541336118,480,96,replay_linear
40,lrconv_C1,svm,test_ap,-9.13757836718943e-05,0.0014551813849852592,480,96,replay_linear
80,lrconv_C1,svm,test_ap,-0.00135965377610068,0.0016340400925134804,480,96,replay_linear
