arm,cost,oracle_cost,regret,average_precision,auroc,f1,fnr,fpr,n_good,window
linconv,0.4085766979166667,0.3178704979166667,0.09070619583333334,0.5255572916666666,0.8710072854166667,0.2565751958333333,0.16528970625,0.24328700625,3.5375,t10
linear,0.42511824375,0.3171018333333333,0.10801640416666666,0.53190840625,0.87136575,0.26398629375,0.16012320416666667,0.26499504791666667,3.6770833333333335,t10
mlp,0.42926191874999997,0.31661177916666666,0.11265012291666668,0.5318928604166666,0.8699254833333333,0.2652805458333333,0.15906085625,0.27020104375000004,3.7125,t10
svm,0.41194074375,0.2980001479166667,0.113940575,0.5362619770833333,0.8811162895833333,0.2531094770833333,0.13780639791666666,0.27413433125,3.5875,t10
svmc01,0.41787126666666663,0.29555374166666665,0.12231752083333333,0.5352791979166667,0.8816217625,0.24024005416666666,0.13288212083333334,0.28498918125,3.6333333333333333,t10
svmc10,0.4150134583333333,0.30777410208333333,0.10723935416666668,0.5303336979166666,0.8764004750000001,0.2574794166666667,0.14981085208333333,0.26520261041666665,3.5833333333333335,t10
linconv,0.33614769166666664,0.28763320416666666,0.04851448541666667,0.5624411020833333,0.8869645291666667,0.33552288333333335,0.18582427708333332,0.15032342083333333,4.804166666666666,t20
linear,0.35321958541666665,0.2853445875,0.06787498541666667,0.5748502375,0.8862302625,0.3329377229166666,0.15838887083333333,0.1948307125,5.389583333333333,t20
mlp,0.36823195208333337,0.2862376208333333,0.0819943625,0.5729755458333333,0.8855066645833334,0.3164437395833334,0.1470303666666667,0.22120159375,5.2875,t20
svm,0.33870054583333337,0.26944181875,0.06925876458333334,0.5795131875,0.89583910625,0.32720262708333336,0.13895493125,0.19974562708333332,5.28125,t20
svmc01,0.33996071874999995,0.26617190416666664,0.07378880416666668,0.5790385729166666,0.8964623541666668,0.3197473125,0.13172424166666669,0.20823648125000002,5.1875,t20
svmc10,0.3383027395833333,0.27789821875,0.06040453125,0.5726068666666666,0.8921589041666667,0.3393843458333333,0.15080585,0.18749691875,5.239583333333333,t20
linconv,0.30155584166666666,0.26363629166666663,0.03791955833333334,0.5973299187500001,0.8993661104166667,0.39985258125,0.1921476875,0.10940814375,8.422916666666667,t40
linear,0.3137439875,0.2601681604166667,0.053575820833333336,0.6039864625,0.8991479854166666,0.3768263145833333,0.15322161875,0.16052237500000002,8.804166666666667,t40
mlp,0.325208975,0.26081721875,0.06439177083333333,0.6024853395833334,0.8980132937499999,0.3408837333333333,0.14715644375,0.17805251875,8.677083333333334,t40
svm,0.2936687645833333,0.24384190833333333,0.04982687708333333,0.6102863104166667,0.9088448854166666,0.37808692708333336,0.13174307500000002,0.16192567708333333,8.48125,t40
svmc01,0.30076743333333333,0.23895455208333333,0.06181290833333333,0.6103970416666668,0.9110355854166666,0.3616222604166667,0.12388773958333334,0.17687970833333333,8.2125,t40
svmc10,0.30337239791666665,0.25803957916666664,0.04533281458333334,0.59570874375,0.9017593854166667,0.374927175,0.14867536041666665,0.15469703125,8.90625,t40
linconv,0.27984828333333334,0.24187993958333334,0.037968372916666666,0.6268251604166667,0.9099698958333333,0.41982188750000005,0.18651386875,0.09333444166666666,15.754166666666666,t80
linear,0.2769726958333333,0.22817306874999999,0.04879963958333333,0.6290834895833334,0.9160102604166667,0.39211470625,0.13069755,0.14627516041666666,15.13125,t80
mlp,0.276617875,0.23440409166666668,0.042213791666666674,0.6271294624999999,0.9125936375,0.3940781020833333,0.1461339541666667,0.13048392708333334,14.55,t80
svm,0.26660793125,0.22023552291666668,0.046372427083333334,0.63322230625,0.9205480541666666,0.39664988749999996,0.12277555000000001,0.14383240833333336,14.379166666666666,t80
svmc01,0.26880605208333336,0.21696646875,0.0518395875,0.6336392104166666,0.9223488041666666,0.38162694375,0.11286295208333333,0.15594310208333334,13.345833333333333,t80
svmc10,0.2794524020833334,0.23712078749999999,0.042331610416666665,0.62077359375,0.91401070625,0.38382009791666666,0.13835880208333334,0.14109364583333334,15.097916666666666,t80
linconv,0.2634576229166667,0.22175245,0.04170516875,0.6517508916666667,0.9186558520833333,0.4277075125,0.17147502916666665,0.0919825875,29.15625,t150
linear,0.26048043541666666,0.21331855624999999,0.047161883333333335,0.6481084770833333,0.9234277166666666,0.42912874166666665,0.13321289166666667,0.1272675875,27.247916666666665,t150
mlp,0.257207975,0.21681526458333333,0.0403927125,0.6509937874999999,0.9217412145833334,0.4206037,0.14728665833333335,0.10992131666666666,27.310416666666665,t150
svm,0.25130589375,0.2086674875,0.0426384125,0.65355680625,0.9259313916666667,0.44059615416666664,0.12934461666666666,0.12196128958333333,26.3875,t150
svmc01,0.25403666041666667,0.20193551666666665,0.052101175,0.6539410958333334,0.9297830229166667,0.4262640520833333,0.12061644583333334,0.13342025625,24.945833333333333,t150
svmc10,0.26974845625000005,0.22450653125,0.045241925,0.6416992083333334,0.92000739375,0.39984638333333333,0.13797083958333334,0.13177761458333334,25.633333333333333,t150
