window,env,arm,metric,mean,se,n,n_clusters,frac_ref_better
t10,caltech/siglip,linear,cost,-0.021722700000000005,0.03006590675329783,30,6,0.26666666666666666
t10,caltech/siglip,linear,oracle_cost,0.0008317,0.001364422958616572,30,6,0.06666666666666667
t10,caltech/siglip,linear,regret,-0.022554500000000012,0.029940789407528992,30,6,0.3
t10,caltech/siglip,linear,average_precision,-0.0016311333333333307,0.0015280441823164385,30,6,0.1
t10,caltech/siglip,linear,auroc,-0.00019483333333333668,0.00012346180425990716,30,6,0.1
t10,caltech/siglip,linear,f1,0.09711066666666666,0.061662206364518336,30,6,0.26666666666666666
t10,caltech/siglip,linear,fnr,-0.004071766666666667,0.004071766666666668,30,6,0.03333333333333333
t10,caltech/siglip,linear,fpr,-0.01765093333333334,0.03037645150479416,30,6,0.3
t10,caltech/siglip,linear,n_good,-0.13333333333333333,0.12292725943057187,30,6,0.2
t10,caltech/siglip,mlp,cost,-0.0574515,0.02187418805495037,30,6,0.23333333333333334
t10,caltech/siglip,mlp,oracle_cost,-0.0034268666666666665,0.003426866666666668,30,6,0.0
t10,caltech/siglip,mlp,regret,-0.05402470000000001,0.023101828641891822,30,6,0.3333333333333333
t10,caltech/siglip,mlp,average_precision,0.0006704666666666692,0.0006704666666666693,30,6,0.0
t10,caltech/siglip,mlp,auroc,0.0003562000000000028,0.0003562000000000028,30,6,0.0
t10,caltech/siglip,mlp,f1,0.11655866666666666,0.03933517498960836,30,6,0.23333333333333334
t10,caltech/siglip,mlp,fnr,-0.003113533333333333,0.003113533333333333,30,6,0.03333333333333333
t10,caltech/siglip,mlp,fpr,-0.05433796666666666,0.02297110369482591,30,6,0.2
t10,caltech/siglip,mlp,n_good,-0.3333333333333333,0.1763834207376394,30,6,0.23333333333333334
t10,caltech/siglip,linconv,cost,-0.05513166666666667,0.02716419283118454,30,6,0.3333333333333333
t10,caltech/siglip,linconv,oracle_cost,-0.0024557333333333335,0.002864795693316444,30,6,0.03333333333333333
t10,caltech/siglip,linconv,regret,-0.05267596666666667,0.028044992897861665,30,6,0.36666666666666664
t10,caltech/siglip,linconv,average_precision,-0.00030679999999999596,0.0012528707270371812,30,6,0.03333333333333333
t10,caltech/siglip,linconv,auroc,0.0003146666666666705,0.0003552256397152589,30,6,0.03333333333333333
t10,caltech/siglip,linconv,f1,0.0982806,0.0544481927169672,30,6,0.3333333333333333
t10,caltech/siglip,linconv,fnr,-0.006874099999999999,0.006874100000000002,30,6,0.0
t10,caltech/siglip,linconv,fpr,-0.04825756666666667,0.029554780332411722,30,6,0.43333333333333335
t10,caltech/siglip,linconv,n_good,-0.16666666666666666,0.15846485765339619,30,6,0.23333333333333334
t10,caltech/siglip,svmc01,cost,0.027377966666666666,0.016899741736126555,30,6,0.43333333333333335
t10,caltech/siglip,svmc01,oracle_cost,0.0004677333333333332,0.00046773333333333323,30,6,0.1
t10,caltech/siglip,svmc01,regret,0.026910099999999996,0.017071317613490376,30,6,0.43333333333333335
t10,caltech/siglip,svmc01,average_precision,-7.566666666666277e-05,7.566666666666278e-05,30,6,0.06666666666666667
t10,caltech/siglip,svmc01,auroc,7.666666666665082e-07,7.666666666665085e-07,30,6,0.06666666666666667
t10,caltech/siglip,svmc01,f1,-0.00868203333333334,0.041280586978559845,30,6,0.4
t10,caltech/siglip,svmc01,fnr,9.376666666666688e-05,9.376666666666688e-05,30,6,0.06666666666666667
t10,caltech/siglip,svmc01,fpr,0.027284166666666665,0.01693324333779891,30,6,0.36666666666666664
t10,caltech/siglip,svmc01,n_good,-0.13333333333333333,0.06666666666666668,30,6,0.16666666666666666
t10,caltech/siglip,svmc10,cost,-0.01607363333333333,0.018179897960580282,30,6,0.3
t10,caltech/siglip,svmc10,oracle_cost,0.0006020000000000002,0.0006020000000000002,30,6,0.13333333333333333
t10,caltech/siglip,svmc10,regret,-0.016675666666666665,0.018084260009976753,30,6,0.3
t10,caltech/siglip,svmc10,average_precision,-0.00018843333333332657,0.0001884333333333266,30,6,0.16666666666666666
t10,caltech/siglip,svmc10,auroc,-0.00010323333333333388,0.0001032333333333339,30,6,0.16666666666666666
t10,caltech/siglip,svmc10,f1,0.06940833333333334,0.03905170764094418,30,6,0.26666666666666666
t10,caltech/siglip,svmc10,fnr,0.0009317666666666664,0.0009317666666666666,30,6,0.06666666666666667
t10,caltech/siglip,svmc10,fpr,-0.01700543333333333,0.018040177302041997,30,6,0.23333333333333334
t10,caltech/siglip,svmc10,n_good,-0.2,0.05163977794943224,30,6,0.23333333333333334
t10,caltech/siglip2_l,linear,cost,-0.02071293333333333,0.04932328483793881,30,6,0.36666666666666664
t10,caltech/siglip2_l,linear,oracle_cost,-0.0008724333333333333,0.0010052299245004157,30,6,0.03333333333333333
t10,caltech/siglip2_l,linear,regret,-0.019840499999999994,0.04883918979851461,30,6,0.3333333333333333
t10,caltech/siglip2_l,linear,average_precision,0.00188773333333333,0.0018913356174348778,30,6,0.03333333333333333
t10,caltech/siglip2_l,linear,auroc,9.63666666666659e-05,9.757158625565176e-05,30,6,0.03333333333333333
t10,caltech/siglip2_l,linear,f1,0.048741433333333334,0.09846161608572032,30,6,0.36666666666666664
t10,caltech/siglip2_l,linear,fnr,-0.0009180666666666666,0.0009180666666666667,30,6,0.0
t10,caltech/siglip2_l,linear,fpr,-0.019794866666666654,0.049417640825887725,30,6,0.36666666666666664
t10,caltech/siglip2_l,linear,n_good,0.1,0.0447213595499958,30,6,0.06666666666666667
t10,caltech/siglip2_l,mlp,cost,-0.030336699999999987,0.05427010850012494,30,6,0.36666666666666664
t10,caltech/siglip2_l,mlp,oracle_cost,-0.0012231,0.0012231,30,6,0.0
