rule,caltech101_m,coco_val,vg_scale,visual_genome_m
gmm_converged,0.01125,0.02421875,0.0033333333333333335,0.064375
gmm_guarded_fdr0.2,0.0325,0.158203125,0.06541666666666666,0.2390625
gmm_guarded_z3,0.05375,0.23828125,0.08458333333333333,0.27375
gmm_multistart,0.01125,0.028515625,0.00375,0.0771875
gmm_priorfree,0.01625,0.01875,0.004583333333333333,0.048125
gmm_shipped,0.01125,0.0171875,0.0033333333333333335,0.045625
oracle_cost,0.00375,0.014453125,0.013333333333333334,0.015625
oracle_f1,0.03,0.10078125,0.050416666666666665,0.0478125
otsu,0.00375,0.01953125,0.0025,0.0521875
quantile0.02,0.655,0.355078125,0.043333333333333335,0.2615625
quantile0.05,0.0825,0.099609375,0.023333333333333334,0.16625
tail_fdr0.2,0.03625,0.163671875,0.06541666666666666,0.2715625
tail_fdr0.3,0.02125,0.116015625,0.04541666666666667,0.2509375
tail_z2.5,0.0625,0.14921875,0.04791666666666667,0.2359375
tail_z3,0.11375,0.247265625,0.08458333333333333,0.3065625
