dataset,rule,cost,excess_cost,f1,median_adm_frac,sorts,boot_flip
caltech101_m,gmm_converged,0.07152127663283796,0.06575168194730621,0.7062337214514183,0.049522673031026254,100,0.02152565632458234
caltech101_m,gmm_guarded_fdr0.2,0.04260761758575397,0.036838022900222214,0.7772546506335971,0.045346062052505964,100,0.008899164677804295
caltech101_m,gmm_guarded_z3,0.04813347511298728,0.04236388042745553,0.8149553203212322,0.04057279236276849,100,0.009592482100238664
caltech101_m,gmm_multistart,0.05091060335859841,0.045141008673066654,0.7460421269675165,0.045346062052505964,100,0.01888782816229117
caltech101_m,gmm_priorfree,0.12167935608913959,0.11590976140360784,0.56594972777535,0.09725536992840095,100,0.02689021479713604
caltech101_m,gmm_shipped,0.13039425377787592,0.12462465909234417,0.5732337149563137,0.09486873508353222,100,0.028387828162291167
caltech101_m,oracle_cost,0.005769594685531751,0.0,0.9570274901024406,0.029832935560859187,100,
caltech101_m,oracle_f1,0.01686112793239078,0.01109153324685903,0.9777226986717861,0.028639618138424822,100,
caltech101_m,otsu,0.16134438390425943,0.15557478921872767,0.5260848243713864,0.13723150357995226,100,0.04294570405727924
caltech101_m,quantile0.02,0.30717486771515273,0.301405273029621,0.7879636254795064,0.02028639618138425,100,0.0038138424821002386
caltech101_m,quantile0.05,0.07174823764885879,0.06597864296332706,0.6944203057447623,0.050119331742243436,100,0.0060089498806682575
caltech101_m,tail_fdr0.2,0.040942941820700574,0.03517334713516883,0.7503234065780482,0.04594272076372315,100,0.006072195704057279
caltech101_m,tail_fdr0.3,0.04308410481811262,0.037314510132580865,0.7065544158599311,0.05369928400954654,100,0.008257159904534607
caltech101_m,tail_z2.5,0.04118649173462394,0.035416897049092184,0.7811776049311647,0.04355608591885442,100,0.004781026252983294
caltech101_m,tail_z3,0.06670894639628505,0.0609393517107533,0.8299438265949588,0.034606205250596656,100,0.003939737470167065
coco_val,gmm_converged,0.3434073247636472,0.07451092876614239,0.26134050687492777,0.23364297253634897,320,0.03135103241114701
coco_val,gmm_guarded_fdr0.2,0.3962150606381497,0.12731866464064492,0.47084043994507196,0.03412762520193861,320,0.004290343548061389
coco_val,gmm_guarded_z3,0.45314448211134983,0.18424808611384508,0.5175242034175261,0.021203554119547656,320,0.0029254278574313407
coco_val,gmm_multistart,0.3313517317358757,0.062455335738370844,0.28841064557395596,0.19981825525040386,320,0.03571072925080775
coco_val,gmm_priorfree,0.3991588380081976,0.1302624420106928,0.17699182912912004,0.33340064620355414,320,0.022131146506462036
coco_val,gmm_shipped,0.4370678680113631,0.16817147201385826,0.15638211679303482,0.3956987075928917,320,0.013555981169224556
coco_val,oracle_cost,0.2688963959975048,0.0,0.391547168372409,0.10147415185783522,320,
coco_val,oracle_f1,0.42502316379179633,0.15612676779429144,0.6145608067087229,0.024030694668820678,320,
coco_val,otsu,0.43483372824421734,0.1659373322467125,0.15285390520240563,0.3818659127625202,320,0.01215354907108239
coco_val,quantile0.02,0.49893058117787825,0.2300341851803735,0.5149529579892118,0.019991922455573505,320,0.001582472990710824
coco_val,quantile0.05,0.35456064083844185,0.08566424484093701,0.42972697550452715,0.050080775444264945,320,0.0025123056340872374
coco_val,tail_fdr0.2,0.40038071101865536,0.13148431502115054,0.46962347696626894,0.033723747980613894,320,0.0031270193861066236
coco_val,tail_fdr0.3,0.3750507035938969,0.10615430759639206,0.4401982408926021,0.04351777059773829,320,0.004222946536752827
coco_val,tail_z2.5,0.39594738275994085,0.12705098676243604,0.48428299430360866,0.03261308562197092,320,0.0019781464559773827
coco_val,tail_z3,0.46117183687980445,0.1922754408822996,0.5168756630713754,0.0210016155088853,320,0.001264703655088853
vg_scale,gmm_converged,0.4752221431892114,0.09791048015083276,0.06426022773413763,0.34212934997438693,300,0.02573010970425119
vg_scale,gmm_guarded_fdr0.2,0.5750072974160564,0.1976956343776778,0.23341280564825004,0.016905942400970125,300,0.0024430294164394174
vg_scale,gmm_guarded_z3,0.6081097589691747,0.23079809593079612,0.2828763736145924,0.011698149850235161,300,0.0013669982406459432
vg_scale,gmm_multistart,0.4732449659619993,0.09593330292362062,0.06818901876953866,0.33315055055598314,300,0.0338241327759931
