why,dataset,embedder,category,query,n,n_pos,n_adm|gmm_converged,n_adm|gmm_guarded_fdr0.2,n_adm|gmm_guarded_z3,n_adm|gmm_multistart,n_adm|gmm_priorfree,n_adm|gmm_shipped,n_adm|oracle_cost,n_adm|otsu,n_adm|quantile0.02,n_adm|quantile0.05,n_adm|tail_fdr0.2,n_adm|tail_fdr0.3,n_adm|tail_z2.5,n_adm|tail_z3,tp|gmm_converged,tp|gmm_guarded_fdr0.2,tp|gmm_guarded_z3,tp|gmm_multistart,tp|gmm_priorfree,tp|gmm_shipped,tp|oracle_cost,tp|otsu,tp|quantile0.02,tp|quantile0.05,tp|tail_fdr0.2,tp|tail_fdr0.3,tp|tail_z2.5,tp|tail_z3
shipped admits most negatives,visual_genome_m,siglip,rock,rock,4193,142,3028.0,0.0,1.0,1879.0,2577.0,2571.0,1040.0,2544.0,84.0,210.0,0.0,0.0,12.0,1.0,138.0,0.0,1.0,118.0,129.0,129.0,100.0,129.0,34.0,54.0,0.0,0.0,9.0,1.0
shipped admits most negatives,visual_genome_m,siglip,kite,a kite in the sky,4193,18,2029.0,21.0,21.0,109.0,2350.0,2349.0,90.0,2324.0,84.0,210.0,21.0,23.0,37.0,21.0,18.0,14.0,14.0,17.0,18.0,18.0,17.0,18.0,16.0,17.0,14.0,14.0,16.0,14.0
shipped admits most negatives,visual_genome_m,siglip,track,track,4193,84,3185.0,0.0,1.0,3185.0,2413.0,2405.0,768.0,2385.0,84.0,210.0,0.0,1.0,4.0,1.0,83.0,0.0,1.0,83.0,78.0,78.0,57.0,78.0,11.0,25.0,0.0,1.0,2.0,1.0
shipped admits most negatives,visual_genome_m,siglip,eye,eye,4193,155,1996.0,14.0,23.0,1996.0,2423.0,2394.0,161.0,2373.0,84.0,210.0,14.0,23.0,38.0,23.0,109.0,12.0,21.0,109.0,119.0,117.0,54.0,117.0,46.0,55.0,12.0,21.0,32.0,21.0
shipped admits most negatives,visual_genome_m,clip,boy,boy,4193,134,3091.0,0.0,5.0,1750.0,2366.0,2366.0,830.0,2321.0,84.0,210.0,0.0,0.0,17.0,5.0,109.0,0.0,1.0,75.0,93.0,93.0,54.0,93.0,12.0,28.0,0.0,0.0,4.0,1.0
shipped admits most negatives,visual_genome_m,clip,banana,a banana,4193,25,1314.0,5.0,11.0,1314.0,2318.0,2293.0,127.0,2273.0,84.0,210.0,5.0,8.0,19.0,11.0,17.0,4.0,4.0,17.0,23.0,23.0,14.0,23.0,10.0,14.0,4.0,4.0,7.0,4.0
tail_fdr0.2 misses most positives,coco_val,clip,person,a person,4952,2693,1488.0,0.0,6.0,1475.0,2285.0,2292.0,2081.0,2292.0,99.0,248.0,0.0,0.0,39.0,6.0,960.0,0.0,5.0,953.0,1390.0,1393.0,1291.0,1393.0,82.0,198.0,0.0,0.0,29.0,5.0
tail_fdr0.2 misses most positives,coco_val,clip_l,person,a person,4952,2693,2522.0,0.0,11.0,798.0,2501.0,2487.0,2118.0,2500.0,99.0,248.0,0.0,0.0,36.0,11.0,1546.0,0.0,10.0,577.0,1538.0,1532.0,1345.0,1537.0,85.0,205.0,0.0,0.0,30.0,10.0
tail_fdr0.2 misses most positives,coco_val,clip_l,potted plant,a potted plant,4952,172,2309.0,1.0,12.0,2308.0,2828.0,2748.0,1076.0,2744.0,99.0,248.0,1.0,2.0,36.0,12.0,128.0,0.0,6.0,128.0,144.0,142.0,96.0,142.0,28.0,43.0,0.0,1.0,17.0,6.0
tail_fdr0.2 misses most positives,coco_val,siglip2_l,person,a person,4952,2693,2432.0,2302.0,2302.0,2432.0,2318.0,2302.0,2345.0,2278.0,99.0,248.0,0.0,0.0,14.0,0.0,2242.0,2166.0,2166.0,2242.0,2178.0,2166.0,2197.0,2151.0,99.0,248.0,0.0,0.0,14.0,0.0
tail_fdr0.2 admits most negatives,coco_val,clip_l,potted plant,a potted plant,4952,172,2309.0,1.0,12.0,2308.0,2828.0,2748.0,1076.0,2744.0,99.0,248.0,1.0,2.0,36.0,12.0,128.0,0.0,6.0,128.0,144.0,142.0,96.0,142.0,28.0,43.0,0.0,1.0,17.0,6.0
tail_fdr0.2 admits most negatives,vg_scale,clip,bottle@small,a bottle,12099,100,4182.0,132.0,99.0,4182.0,5016.0,5393.0,5504.0,5310.0,242.0,605.0,132.0,223.0,231.0,99.0,45.0,0.0,0.0,45.0,53.0,58.0,60.0,58.0,1.0,7.0,0.0,0.0,0.0,0.0
tail_fdr0.2 admits most negatives,vg_scale,clip,bowl@small,a bowl,12146,100,5768.0,93.0,88.0,5783.0,5337.0,5460.0,6822.0,5408.0,243.0,607.0,93.0,149.0,197.0,88.0,59.0,0.0,0.0,59.0,54.0,56.0,70.0,56.0,0.0,5.0,0.0,0.0,0.0,0.0
