family,criterion,held_out,picked,held_out_value,held_out_best_member,held_out_best_value
quantile,cost,caltech101_m,quantile0.15,0.13664283285662182,quantile0.05,0.07174823764885879
quantile,cost,coco_val,quantile0.15,0.3225928691513558,quantile0.1,0.31825981247745516
quantile,cost,vg_scale,quantile0.15,0.4342125391936402,quantile0.15,0.4342125391936402
quantile,cost,visual_genome_m,quantile0.1,0.5919796015113324,quantile0.2,0.5609615171271779
quantile,f1,caltech101_m,quantile0.02,0.7879636254795064,quantile0.03,0.8481712670344244
quantile,f1,coco_val,quantile0.02,0.5149529579892118,quantile0.02,0.5149529579892118
quantile,f1,vg_scale,quantile0.03,0.21274541073058312,quantile0.01,0.33017303797319913
quantile,f1,visual_genome_m,quantile0.02,0.24367610438293924,quantile0.03,0.24829190971991852
tail_z,cost,caltech101_m,tail_z1.5,0.07184829497284827,tail_z2.5,0.04118649173462394
tail_z,cost,coco_val,tail_z1.5,0.3181098740284491,tail_z1.5,0.3181098740284491
tail_z,cost,vg_scale,tail_z1.5,0.4474719504085222,tail_z1.5,0.44747195040852233
tail_z,cost,visual_genome_m,tail_z1.5,0.5972462425681716,tail_z1.5,0.5972462425681716
tail_z,f1,caltech101_m,tail_z3,0.8299438265949588,tail_z3.5,0.8392978451274025
tail_z,f1,coco_val,tail_z3,0.5168756630713756,tail_z3,0.5168756630713754
tail_z,f1,vg_scale,tail_z3,0.28307505727052723,tail_z3.5,0.30353961224680326
tail_z,f1,visual_genome_m,tail_z3.5,0.20430666575089568,tail_z2,0.24491525363536332
tail_fdr,cost,caltech101_m,tail_fdr0.5,0.06253228694273706,tail_fdr0.2,0.040942941820700574
tail_fdr,cost,coco_val,tail_fdr0.5,0.34510115109988077,tail_fdr0.5,0.3451011510998808
tail_fdr,cost,vg_scale,tail_fdr0.5,0.4976404086869415,tail_fdr0.5,0.4976404086869415
tail_fdr,cost,visual_genome_m,tail_fdr0.5,0.668245207332522,tail_fdr0.5,0.668245207332522
tail_fdr,f1,caltech101_m,tail_fdr0.05,0.8180397074105952,tail_fdr0.05,0.8180397074105952
tail_fdr,f1,coco_val,tail_fdr0.05,0.5046472595546796,tail_fdr0.05,0.5046472595546796
tail_fdr,f1,vg_scale,tail_fdr0.1,0.2645797775986647,tail_fdr0.05,0.2789833924501465
tail_fdr,f1,visual_genome_m,tail_fdr0.05,0.20610332211073598,tail_fdr0.5,0.2362585161766409
