rule,dataset,pred_fp,actual_fp,median_ratio
tail_fdr0.05,caltech101_m,1.077825,3.5,4.696492734587906
tail_fdr0.05,coco_val,4.57268,26.0,7.30942545913174
tail_fdr0.05,vg_scale,4.16208,48.0,14.969737802159731
tail_fdr0.05,visual_genome_m,1.13843,7.0,9.021037053362956
tail_fdr0.1,caltech101_m,2.38438,7.0,3.0465244769290685
tail_fdr0.1,coco_val,12.117750000000001,49.0,4.4650917664918985
tail_fdr0.1,vg_scale,12.80365,83.0,8.095038524934456
tail_fdr0.1,visual_genome_m,3.02364,14.0,5.121972540543358
tail_fdr0.2,caltech101_m,6.770395000000001,13.0,1.8619748644327856
tail_fdr0.2,coco_val,33.2526,85.5,2.7489051824772375
tail_fdr0.2,vg_scale,40.522450000000006,156.0,4.324392876498414
tail_fdr0.2,visual_genome_m,8.85382,25.0,2.8304007603308783
tail_fdr0.3,caltech101_m,12.0343,19.0,1.621490051917558
tail_fdr0.3,coco_val,64.37729999999999,129.0,2.0532797172798993
tail_fdr0.3,vg_scale,88.43545,251.0,2.967364442950358
tail_fdr0.3,visual_genome_m,18.7787,36.0,2.143312414188088
tail_fdr0.5,caltech101_m,29.389650000000003,35.5,1.2512696889715138
tail_fdr0.5,coco_val,161.4405,236.5,1.4410539585290305
tail_fdr0.5,vg_scale,287.884,523.0,1.8503739835909847
tail_fdr0.5,visual_genome_m,55.94615,80.5,1.4117878735657023
tail_z1.5,caltech101_m,55.9844,57.0,1.0181407677853116
tail_z1.5,coco_val,330.829,388.0,1.1728113315338136
tail_z1.5,vg_scale,812.643,1065.0,1.314059341187999
tail_z1.5,visual_genome_m,280.123,267.0,0.953152722197035
tail_z2,caltech101_m,19.0646,23.0,1.2064244725826927
tail_z2,coco_val,112.659,183.5,1.6288090609716046
tail_z2,vg_scale,276.733,504.0,1.8289231126529546
tail_z2,visual_genome_m,95.3913,111.0,1.163628129609304
tail_z2.5,caltech101_m,5.2037,9.0,1.7295385975363682
tail_z2.5,coco_val,30.7503,80.5,2.617860638757996
tail_z2.5,vg_scale,75.5344,230.5,3.0695061778817836
tail_z2.5,visual_genome_m,26.0371,45.5,1.7475064427297973
tail_z3,caltech101_m,1.13121,3.0,2.652027475004641
tail_z3,coco_val,6.6847,34.0,5.086241716157793
tail_z3,vg_scale,16.4202,99.0,6.061570865273934
tail_z3,visual_genome_m,5.66012,19.0,3.3568192900503875
tail_z3.5,caltech101_m,0.194943,1.0,5.12970458031322
tail_z3.5,coco_val,1.15198,14.0,12.152988767166097
tail_z3.5,vg_scale,2.8297,44.0,15.589826167136373
tail_z3.5,visual_genome_m,0.975414,8.0,8.20164566020172
tail_z4,caltech101_m,0.0265405,0.0,0.0
tail_z4,coco_val,0.156836,5.0,31.880435614272233
tail_z4,vg_scale,0.385249,15.0,38.95189562621127
tail_z4,visual_genome_m,0.132798,3.0,22.590701667193784
tail_z5,caltech101_m,0.000240214,0.0,0.0
tail_z5,coco_val,0.0014195,1.0,704.4734061289187
tail_z5,vg_scale,0.00348683,2.0,578.2452569432799
tail_z5,visual_genome_m,0.00120193,0.0,0.0
