rule,sorts,d_cost,se_cost,d_f1,se_f1,wins_cost,wins_f1
quantile0.15,1120,-0.07926260793691574,0.007162912858100382,0.030741128173765286,0.0076594496990414415,0.6857142857142857,0.8785714285714286
gmm_multistart,1120,-0.07594541381943304,0.006276007788949225,0.08399796549708449,0.008213677215119676,0.7169642857142857,0.7705357142857143
quantile0.1,1120,-0.07419309522595094,0.008975817474075944,0.07023389625118776,0.008046494363924187,0.6214285714285714,0.8669642857142857
tail_z1.5,1120,-0.07303348025164674,0.008947044513733134,0.07667905661727364,0.008179899157815359,0.6071428571428571,0.8589285714285714
quantile0.2,1120,-0.07080437141624402,0.005870944919452519,0.006189621746530098,0.007849025207958918,0.7294642857142857,0.8660714285714286
gmm_converged,1120,-0.07074841283239157,0.005433623630668088,0.06723533291559498,0.006306941923681834,0.7303571428571428,0.7625
quantile0.07,1120,-0.058299305199998895,0.010323308690335703,0.10911714867231141,0.009261146594088984,0.56875,0.8482142857142857
quantile0.05,1120,-0.03585659818043274,0.011434777604616812,0.14773598991356077,0.011210844088220616,0.5044642857142857,0.8348214285714286
tail_z2,1120,-0.03561074451983779,0.01098580070899038,0.13976793227044393,0.011210331941409801,0.5116071428571428,0.8196428571428571
tail_fdr0.5,1120,-0.027358720207795915,0.010716959303288965,0.12250219170833915,0.011957518371208287,0.5160714285714286,0.7875
gmm_priorfree,1120,-0.02209444580452945,0.001494980997958215,0.00808996475093576,0.001064065819316635,0.5892857142857143,0.6294642857142857
otsu,1120,0.00020153355214762463,0.0014052272940262092,-0.00478340685424201,0.0019017881702468752,0.7205357142857143,0.7723214285714286
tail_fdr0.3,1120,0.006917361751068445,0.011796050290701358,0.1618441702994494,0.014255740805753227,0.4544642857142857,0.7642857142857142
quantile0.03,1120,0.012812904328011307,0.012630113052570181,0.1995162172838786,0.014817902626962342,0.42678571428571427,0.81875
tail_z2.5,1120,0.013864386642013405,0.012134817142775676,0.19012493627824953,0.014758487780999932,0.44285714285714284,0.7875
gmm_guarded_fdr0.2,1120,0.018406934127790556,0.011309569968025608,0.19117441395438592,0.014193488558563953,0.4089285714285714,0.7098214285714286
tail_fdr0.2,1120,0.030523336065597238,0.012164877010465133,0.17932006338489107,0.015524731437317562,0.4294642857142857,0.7357142857142858
gmm_guarded_z3,1120,0.052829616017360144,0.011428580709816819,0.2221159447675611,0.016209672305777675,0.33839285714285716,0.7053571428571429
tail_fdr0.1,1120,0.06462958884119187,0.012302937909162842,0.19564270230360586,0.0170726524495034,0.38125,0.70625
tail_z3,1120,0.06867821164622434,0.012405864170674036,0.2136086501918877,0.01757894260297249,0.36339285714285713,0.7383928571428572
quantile0.02,1120,0.07832657939347824,0.012967758444885683,0.20752489812029273,0.016691591928121922,0.3169642857142857,0.7776785714285714
tail_fdr0.05,1120,0.09553840442066217,0.012190297867334084,0.19916426156292896,0.018185897883411743,0.34017857142857144,0.6732142857142858
tail_z3.5,1120,0.12699941691721844,0.011943976435673955,0.20708488715749607,0.019096702222610715,0.27767857142857144,0.6919642857142857
tail_z4,1120,0.186505254221175,0.011103678577801432,0.17715947605989707,0.01931324438177684,0.1982142857142857,0.625
quantile0.01,1120,0.20320510145015558,0.013610080126344081,0.16497218643921063,0.018664118545391892,0.16875,0.725
tail_z5,1120,0.30043301245136017,0.009398906539107228,0.0757859452628516,0.01683854983671337,0.08928571428571429,0.4732142857142857
quantile0.005,1120,0.3089531405498787,0.012668781378196055,0.09009972453848462,0.01898794021580609,0.07678571428571429,0.6517857142857143
