rule,family,sorts,opt_mean_flip,opt_p90_flip,opt_share_sorts_moved_1pct,rinit_mean_flip,rinit_max_flip,tol_mean_flip,tol_max_flip,boot_mean_flip,boot_p90_flip,boot_mean_jaccard,boot_p90_jaccard
tail_z5,tail,1120,,,,,,,,0.0004430876590325513,0.0010751013024890334,0.10934678704553573,0.276030367
tail_z4,tail,1120,,,,,,,,0.0006972651824449963,0.0013126009693053312,0.09108601666294643,0.18549760650000002
quantile0.005,quantile,1120,,,,,,,,0.0008299376220206086,0.0011566897209635105,0.14184013380357144,0.192741867
tail_z3.5,tail,1120,,,,,,,,0.0009379753502491317,0.0016059686113178157,0.08809382498482143,0.16052229450000002
quantile0.01,quantile,1120,,,,,,,,0.0011908535735616753,0.0016932983544001908,0.10683996894642857,0.14776132250000001
tail_z3,tail,1120,,,,,,,,0.0012557412366244274,0.0021617528271405495,0.07683951208214285,0.1351665705
tail_fdr0.05,tail,1120,,,,,,,,0.0015870738724499689,0.0030288576198425946,0.15363230947544643,0.35
quantile0.02,quantile,1120,,,,,,,,0.0016818529759625909,0.0023249799554376925,0.07758096887410715,0.10817242300000002
tail_z2.5,tail,1120,,,,,,,,0.0019315214519270707,0.0031838778917243024,0.07074524003928571,0.11798452999999999
tail_fdr0.1,tail,1120,,,,,,,,0.0019583461764993496,0.003984020987359886,0.14386833964776788,0.3082621685000001
quantile0.03,quantile,1120,,,,,,,,0.0020454038985691218,0.002770132022483816,0.06401529380401787,0.08639393100000002
quantile0.05,quantile,1120,,,,,,,,0.002614718366118885,0.0035308848080133556,0.04977405845937499,0.06656226190000003
tail_fdr0.2,tail,1120,,,,,,,,0.0028463316434133045,0.005664766001827568,0.14301213733526785,0.3
quantile0.07,quantile,1120,,,,,,,,0.0030727318568529024,0.004137848795611734,0.04208408015357142,0.05692288640000001
tail_z2,tail,1120,,,,,,,,0.003148534266902234,0.004938346215165975,0.06436442133683035,0.10210364599999999
gmm_guarded_z3,guarded,1120,,,,,,,,0.0031910533102632106,0.0034486048175530653,0.07935674225566965,0.1402600695
quantile0.1,quantile,1120,,,,,,,,0.003610168056884631,0.0049737658001430965,0.03490552871285714,0.0474903508
tail_fdr0.3,tail,1120,,,,,,,,0.003987776982545154,0.007643376413570274,0.1437323144420089,0.2932639660000001
gmm_guarded_fdr0.2,guarded,1120,,,,,,,,0.004235432313079055,0.006161147011308562,0.13647172911058036,0.2824277945000001
quantile0.15,quantile,1120,,,,,,,,0.004315494328049295,0.005976627712854759,0.02798109129410714,0.03860631795
quantile0.2,quantile,1120,,,,,,,,0.004819413803762777,0.0065621273551156704,0.023543835480669646,0.03204404235
tail_z1.5,tail,1120,,,,,,,,0.00512970912450383,0.007705086165611045,0.05439396624397321,0.08587321280000001
tail_fdr0.5,tail,1120,,,,,,,,0.007052411963343472,0.01245375302402227,0.15126263964883926,0.3
gmm_shipped,mixture,1120,0.05952858217291246,0.08413341964498657,0.9875,0.06267635127621578,0.4916467780429594,0.051659159414654224,0.49761336515513127,0.012305567679616441,0.02223030684735953,0.03775473074526786,0.085687842
otsu,exact,1120,,,,,,,,0.012566092454272664,0.018743941841680135,0.03521542701151786,0.05802702895000001
gmm_priorfree,mixture,1120,0.07199118339351138,0.1283305598251709,0.96875,0.07105298666140532,0.47255369928400953,0.07668216705404171,0.4988066825775656,0.018392103965459292,0.04271393684863955,0.05406687426397322,0.13360767040000002
gmm_converged,mixture,1120,0.006200495871041494,0.0005743548144150029,0.06428571428571428,0.006200495871041495,0.7471977104698306,,,0.03630609347676731,0.07957721794382283,0.13030088166,0.3015980570000002
gmm_multistart,mixture,1120,0.026096196692753895,0.05223426132996999,0.10714285714285714,0.02609619669275389,0.7495826377295493,,,0.04347147904818707,0.10981255611615912,0.14942341016660712,0.3479587396
