rule,median_seconds
gmm_converged,0.143074
gmm_guarded_fdr0.2,0.004029
gmm_guarded_z3,0.0037975
gmm_multistart,1.0047845
gmm_priorfree,0.0033225
gmm_shipped,0.0033740000000000003
otsu,0.000274
quantile0.005,6.3e-05
quantile0.01,5.6e-05
quantile0.02,5.6e-05
quantile0.03,5.6e-05
quantile0.05,5.6e-05
quantile0.07,5.7e-05
quantile0.1,5.6e-05
quantile0.15,5.6e-05
quantile0.2,5.6e-05
tail_fdr0.05,0.000514
tail_fdr0.1,0.000646
tail_fdr0.2,0.000647
tail_fdr0.3,0.000647
tail_fdr0.5,0.000646
tail_z1.5,0.000457
tail_z2,0.000247
tail_z2.5,0.0002465
tail_z3,0.000247
tail_z3.5,0.000246
tail_z4,0.000245
tail_z5,0.000247
