class_id,readout,arm,v,found,ap,p10,left,n_positive
spods/logo_00023_0,shared,a6_stoplist,3,3,1.0,1.0,27,30
spods/logo_00023_0,shared,a6_stoplist,5,5,1.0,1.0,25,30
spods/logo_00023_0,shared,a6_stoplist,10,10,1.0,1.0,20,30
spods/logo_00023_0,shared,a6_stoplist,20,20,1.0,1.0,10,30
spods/stamp_00514_1,shared,a6_stoplist,3,3,0.9719795260770184,1.0,28,31
spods/stamp_00514_1,shared,a6_stoplist,5,5,0.9665886649582303,1.0,26,31
spods/stamp_00514_1,shared,a6_stoplist,10,9,0.9812970362970362,1.0,22,31
spods/stamp_00514_1,shared,a6_stoplist,20,19,0.973575036075036,0.9,12,31
spods/stamp_00514_1,shared,a6_stoplist,40,28,1.0,0.3,3,31
spods/stamp_00641_1,shared,a6_stoplist,3,3,0.9709085933223864,1.0,28,31
spods/stamp_00641_1,shared,a6_stoplist,5,5,0.9672285851863317,1.0,26,31
spods/stamp_00641_1,shared,a6_stoplist,10,10,0.95787332691803,1.0,21,31
spods/stamp_00641_1,shared,a6_stoplist,20,20,0.9061250805931658,0.9,11,31
spods/stamp_00641_1,shared,a6_stoplist,40,30,1.0,0.1,1,31
spods/stamp_00931_1,shared,a6_stoplist,3,2,0.9843660517781186,1.0,29,31
spods/stamp_00931_1,shared,a6_stoplist,5,4,0.9768305171530978,1.0,27,31
spods/stamp_00931_1,shared,a6_stoplist,10,8,0.9725838771945949,1.0,23,31
spods/stamp_00931_1,shared,a6_stoplist,20,14,0.9596808180285689,1.0,17,31
spods/stamp_00931_1,shared,a6_stoplist,40,26,0.8099999999999999,0.5,5,31
tobacco800/logo_aah97e00-page02_1_0,shared,a6_stoplist,3,3,1.0,1.0,73,76
tobacco800/logo_aah97e00-page02_1_0,shared,a6_stoplist,5,5,1.0,1.0,71,76
tobacco800/logo_aah97e00-page02_1_0,shared,a6_stoplist,10,10,1.0,1.0,66,76
tobacco800/logo_aah97e00-page02_1_0,shared,a6_stoplist,20,20,1.0,1.0,56,76
tobacco800/logo_aah97e00-page02_1_0,shared,a6_stoplist,40,40,1.0,1.0,36,76
tobacco800/logo_ald41a00-ernest_1,shared,a6_stoplist,3,3,0.9690091373611043,1.0,52,55
tobacco800/logo_ald41a00-ernest_1,shared,a6_stoplist,5,5,0.9705669132641613,1.0,50,55
tobacco800/logo_ald41a00-ernest_1,shared,a6_stoplist,10,10,0.9726270694606024,1.0,45,55
tobacco800/logo_ald41a00-ernest_1,shared,a6_stoplist,20,20,0.9588024928427897,1.0,35,55
tobacco800/logo_ald41a00-ernest_1,shared,a6_stoplist,40,40,0.9139433551198258,1.0,15,55
tobacco800/logo_bqz95d00_1,shared,a6_stoplist,3,3,1.0,0.6,6,9
tobacco800/logo_bqz95d00_1,shared,a6_stoplist,5,5,1.0,0.4,4,9
tobacco800/logo_kan00d00_1,shared,a6_stoplist,3,3,1.0,0.2,2,5
ucsf/logo_rjr_script,shared,a6_stoplist,3,1,0.8333333333333333,0.2,2,3
ucsf/logo_rjr_script,shared,a6_stoplist,5,1,0.75,0.2,2,3
ucsf/logo_rjr_script,shared,a6_stoplist,10,1,0.8333333333333333,0.2,2,3
ucsf/logo_rjr_script,shared,a6_stoplist,20,2,1.0,0.1,1,3
