class_id,readout,arm,v,found,ap,p10,left,n_positive
spods/logo_00003_0,shared,a6_stoplist,3,3,1.0,1.0,27,30
spods/logo_00003_0,shared,a6_stoplist,5,5,1.0,1.0,25,30
spods/logo_00003_0,shared,a6_stoplist,10,10,1.0,1.0,20,30
spods/logo_00003_0,shared,a6_stoplist,20,20,1.0,1.0,10,30
spods/logo_00011_0,shared,a6_stoplist,3,3,1.0,1.0,27,30
spods/logo_00011_0,shared,a6_stoplist,5,5,1.0,1.0,25,30
spods/logo_00011_0,shared,a6_stoplist,10,10,1.0,1.0,20,30
spods/logo_00011_0,shared,a6_stoplist,20,20,1.0,1.0,10,30
spods/logo_00014_0,shared,a6_stoplist,3,3,1.0,1.0,27,30
spods/logo_00014_0,shared,a6_stoplist,5,5,1.0,1.0,25,30
spods/logo_00014_0,shared,a6_stoplist,10,10,1.0,1.0,20,30
spods/logo_00014_0,shared,a6_stoplist,20,20,1.0,1.0,10,30
spods/logo_00023_0,shared,a6_stoplist,3,3,1.0,1.0,27,30
spods/logo_00023_0,shared,a6_stoplist,5,5,1.0,1.0,25,30
spods/logo_00023_0,shared,a6_stoplist,10,10,1.0,1.0,20,30
spods/logo_00023_0,shared,a6_stoplist,20,20,1.0,1.0,10,30
spods/logo_00029_0,shared,a6_stoplist,3,3,1.0,1.0,27,30
spods/logo_00029_0,shared,a6_stoplist,5,5,1.0,1.0,25,30
spods/logo_00029_0,shared,a6_stoplist,10,10,1.0,1.0,20,30
spods/logo_00029_0,shared,a6_stoplist,20,20,1.0,1.0,10,30
spods/stamp_00129_1,shared,a6_stoplist,3,3,0.9986772486772487,1.0,27,30
spods/stamp_00129_1,shared,a6_stoplist,5,5,1.0,1.0,25,30
spods/stamp_00129_1,shared,a6_stoplist,10,10,1.0,1.0,20,30
spods/stamp_00129_1,shared,a6_stoplist,20,20,1.0,1.0,10,30
spods/stamp_00293_1,shared,a6_stoplist,3,3,0.9899540053322032,1.0,30,33
spods/stamp_00293_1,shared,a6_stoplist,5,5,0.9938332421091041,1.0,28,33
spods/stamp_00293_1,shared,a6_stoplist,10,10,0.9868723274205314,1.0,23,33
spods/stamp_00293_1,shared,a6_stoplist,20,20,0.966256499910346,0.9,13,33
spods/stamp_00514_1,shared,a6_stoplist,3,3,0.9719795260770184,1.0,28,31
spods/stamp_00514_1,shared,a6_stoplist,5,5,0.9665886649582303,1.0,26,31
spods/stamp_00514_1,shared,a6_stoplist,10,9,0.9812970362970362,1.0,22,31
spods/stamp_00514_1,shared,a6_stoplist,20,19,0.973575036075036,0.9,12,31
spods/stamp_00546_1,shared,a6_stoplist,3,3,1.0,1.0,28,31
spods/stamp_00546_1,shared,a6_stoplist,5,5,1.0,1.0,26,31
spods/stamp_00546_1,shared,a6_stoplist,10,10,1.0,1.0,21,31
spods/stamp_00546_1,shared,a6_stoplist,20,19,1.0,1.0,12,31
spods/stamp_00577_1,shared,a6_stoplist,3,3,0.9821428571428571,1.0,28,31
spods/stamp_00577_1,shared,a6_stoplist,5,5,0.9804063860667634,1.0,26,31
spods/stamp_00577_1,shared,a6_stoplist,10,10,0.9746031746031745,1.0,21,31
spods/stamp_00577_1,shared,a6_stoplist,20,20,0.9354066985645932,1.0,11,31
spods/stamp_00612_1,shared,a6_stoplist,3,3,0.8129226625121532,1.0,28,31
spods/stamp_00612_1,shared,a6_stoplist,5,5,0.8515190572139214,1.0,26,31
spods/stamp_00612_1,shared,a6_stoplist,10,6,0.9284804520182859,1.0,25,31
spods/stamp_00612_1,shared,a6_stoplist,20,12,0.8481506357675113,1.0,19,31
spods/stamp_00641_1,shared,a6_stoplist,3,3,0.9707183345704838,1.0,28,31
spods/stamp_00641_1,shared,a6_stoplist,5,5,0.967032967032967,1.0,26,31
spods/stamp_00641_1,shared,a6_stoplist,10,10,0.9576777087646653,1.0,21,31
spods/stamp_00641_1,shared,a6_stoplist,20,20,0.9056818181818183,0.9,11,31
spods/stamp_00716_1,shared,a6_stoplist,3,3,0.9279997200816291,1.0,26,29
spods/stamp_00716_1,shared,a6_stoplist,5,4,0.9310153925784361,1.0,25,29
spods/stamp_00716_1,shared,a6_stoplist,10,9,0.9371127206959292,1.0,20,29
spods/stamp_00716_1,shared,a6_stoplist,20,17,1.0,1.0,12,29
spods/stamp_00737_1,shared,a6_stoplist,3,3,0.9456879327568981,1.0,26,29
spods/stamp_00737_1,shared,a6_stoplist,5,5,0.9703521184507004,1.0,24,29
spods/stamp_00737_1,shared,a6_stoplist,10,10,0.9524882987868947,1.0,19,29
spods/stamp_00737_1,shared,a6_stoplist,20,20,0.8327903091060986,0.7,9,29
spods/stamp_00769_1,shared,a6_stoplist,3,3,0.8858153009389461,1.0,28,31
spods/stamp_00769_1,shared,a6_stoplist,5,5,0.8816453252188357,1.0,26,31
spods/stamp_00769_1,shared,a6_stoplist,10,10,0.8655487488301048,1.0,21,31
spods/stamp_00769_1,shared,a6_stoplist,20,18,0.9626696832579186,1.0,13,31
spods/stamp_00931_1,shared,a6_stoplist,3,2,0.9843660517781186,1.0,29,31
spods/stamp_00931_1,shared,a6_stoplist,5,4,0.9768305171530978,1.0,27,31
spods/stamp_00931_1,shared,a6_stoplist,10,8,0.9706046589857875,1.0,23,31
spods/stamp_00931_1,shared,a6_stoplist,20,14,0.9584300362899822,1.0,17,31
spods/stamp_00996_1,shared,a6_stoplist,3,3,1.0,1.0,60,63
spods/stamp_00996_1,shared,a6_stoplist,5,5,1.0,1.0,58,63
spods/stamp_00996_1,shared,a6_stoplist,10,10,1.0,1.0,53,63
spods/stamp_00996_1,shared,a6_stoplist,20,20,1.0,1.0,43,63
staver/stamp_stampds-00213_1,shared,a6_stoplist,3,0,0.3606838055716435,0.4,19,19
staver/stamp_stampds-00213_1,shared,a6_stoplist,5,0,0.46098241363439546,0.5,19,19
staver/stamp_stampds-00213_1,shared,a6_stoplist,10,0,0.6889472791877486,0.9,19,19
staver/stamp_stampds-00213_1,shared,a6_stoplist,20,1,0.6509852279842466,0.8,18,19
