class_id,readout,arm,v,found,ap,p10,left,n_positive
spods/logo_00003_0,shared,a0_exemplar,0,0,1.0,1.0,30,30
spods/logo_00003_0,shared,a0_exemplar,3,3,1.0,1.0,27,30
spods/logo_00003_0,shared,a0_exemplar,5,5,1.0,1.0,25,30
spods/logo_00003_0,shared,a0_exemplar,10,10,1.0,1.0,20,30
spods/logo_00003_0,shared,a0_exemplar,20,20,1.0,1.0,10,30
spods/logo_00003_0,shared,a1_max,0,0,1.0,1.0,30,30
spods/logo_00003_0,shared,a1_max,3,3,1.0,1.0,27,30
spods/logo_00003_0,shared,a1_max,5,5,1.0,1.0,25,30
spods/logo_00003_0,shared,a1_max,10,10,1.0,1.0,20,30
spods/logo_00003_0,shared,a1_max,20,20,1.0,1.0,10,30
spods/logo_00003_0,shared,a1p_goods_only,0,0,1.0,1.0,30,30
spods/logo_00003_0,shared,a1p_goods_only,3,3,1.0,1.0,27,30
spods/logo_00003_0,shared,a1p_goods_only,5,5,1.0,1.0,25,30
spods/logo_00003_0,shared,a1p_goods_only,10,10,1.0,1.0,20,30
spods/logo_00003_0,shared,a1p_goods_only,20,20,1.0,1.0,10,30
spods/logo_00011_0,shared,a0_exemplar,0,0,0.9978136200716846,1.0,30,30
spods/logo_00011_0,shared,a0_exemplar,3,3,0.9973055065647658,1.0,27,30
spods/logo_00011_0,shared,a0_exemplar,5,5,0.9968615384615385,1.0,25,30
spods/logo_00011_0,shared,a0_exemplar,10,10,0.9951190476190476,1.0,20,30
spods/logo_00011_0,shared,a0_exemplar,20,20,0.9809090909090908,0.9,10,30
spods/logo_00011_0,shared,a1_max,0,0,0.9978136200716846,1.0,30,30
spods/logo_00011_0,shared,a1_max,3,3,1.0,1.0,27,30
spods/logo_00011_0,shared,a1_max,5,5,1.0,1.0,25,30
spods/logo_00011_0,shared,a1_max,10,10,1.0,1.0,20,30
spods/logo_00011_0,shared,a1_max,20,20,1.0,1.0,10,30
spods/logo_00011_0,shared,a1p_goods_only,0,0,0.9978136200716846,1.0,30,30
spods/logo_00011_0,shared,a1p_goods_only,3,3,1.0,1.0,27,30
spods/logo_00011_0,shared,a1p_goods_only,5,5,1.0,1.0,25,30
spods/logo_00011_0,shared,a1p_goods_only,10,10,1.0,1.0,20,30
spods/logo_00011_0,shared,a1p_goods_only,20,20,1.0,1.0,10,30
spods/logo_00014_0,shared,a0_exemplar,0,0,1.0,1.0,30,30
spods/logo_00014_0,shared,a0_exemplar,3,3,1.0,1.0,27,30
spods/logo_00014_0,shared,a0_exemplar,5,5,1.0,1.0,25,30
spods/logo_00014_0,shared,a0_exemplar,10,10,1.0,1.0,20,30
spods/logo_00014_0,shared,a0_exemplar,20,20,1.0,1.0,10,30
spods/logo_00014_0,shared,a1_max,0,0,1.0,1.0,30,30
spods/logo_00014_0,shared,a1_max,3,3,1.0,1.0,27,30
spods/logo_00014_0,shared,a1_max,5,5,1.0,1.0,25,30
spods/logo_00014_0,shared,a1_max,10,10,1.0,1.0,20,30
spods/logo_00014_0,shared,a1_max,20,20,1.0,1.0,10,30
spods/logo_00014_0,shared,a1p_goods_only,0,0,1.0,1.0,30,30
spods/logo_00014_0,shared,a1p_goods_only,3,3,1.0,1.0,27,30
spods/logo_00014_0,shared,a1p_goods_only,5,5,1.0,1.0,25,30
spods/logo_00014_0,shared,a1p_goods_only,10,10,1.0,1.0,20,30
spods/logo_00014_0,shared,a1p_goods_only,20,20,1.0,1.0,10,30
spods/logo_00023_0,shared,a0_exemplar,0,0,1.0,1.0,30,30
spods/logo_00023_0,shared,a0_exemplar,3,3,1.0,1.0,27,30
spods/logo_00023_0,shared,a0_exemplar,5,5,1.0,1.0,25,30
spods/logo_00023_0,shared,a0_exemplar,10,10,1.0,1.0,20,30
spods/logo_00023_0,shared,a0_exemplar,20,20,1.0,1.0,10,30
spods/logo_00023_0,shared,a1_max,0,0,1.0,1.0,30,30
spods/logo_00023_0,shared,a1_max,3,3,1.0,1.0,27,30
spods/logo_00023_0,shared,a1_max,5,5,1.0,1.0,25,30
spods/logo_00023_0,shared,a1_max,10,10,1.0,1.0,20,30
spods/logo_00023_0,shared,a1_max,20,20,1.0,1.0,10,30
spods/logo_00023_0,shared,a1p_goods_only,0,0,1.0,1.0,30,30
spods/logo_00023_0,shared,a1p_goods_only,3,3,1.0,1.0,27,30
spods/logo_00023_0,shared,a1p_goods_only,5,5,1.0,1.0,25,30
spods/logo_00023_0,shared,a1p_goods_only,10,10,1.0,1.0,20,30
spods/logo_00023_0,shared,a1p_goods_only,20,20,1.0,1.0,10,30
spods/logo_00029_0,shared,a0_exemplar,0,0,1.0,1.0,30,30
spods/logo_00029_0,shared,a0_exemplar,3,3,1.0,1.0,27,30
spods/logo_00029_0,shared,a0_exemplar,5,5,1.0,1.0,25,30
spods/logo_00029_0,shared,a0_exemplar,10,10,1.0,1.0,20,30
spods/logo_00029_0,shared,a0_exemplar,20,20,1.0,1.0,10,30
spods/logo_00029_0,shared,a1_max,0,0,1.0,1.0,30,30
spods/logo_00029_0,shared,a1_max,3,3,1.0,1.0,27,30
spods/logo_00029_0,shared,a1_max,5,5,1.0,1.0,25,30
spods/logo_00029_0,shared,a1_max,10,10,1.0,1.0,20,30
spods/logo_00029_0,shared,a1_max,20,20,1.0,1.0,10,30
spods/logo_00029_0,shared,a1p_goods_only,0,0,1.0,1.0,30,30
spods/logo_00029_0,shared,a1p_goods_only,3,3,1.0,1.0,27,30
spods/logo_00029_0,shared,a1p_goods_only,5,5,1.0,1.0,25,30
spods/logo_00029_0,shared,a1p_goods_only,10,10,1.0,1.0,20,30
spods/logo_00029_0,shared,a1p_goods_only,20,20,1.0,1.0,10,30
spods/stamp_00129_1,shared,a0_exemplar,0,0,1.0,1.0,30,30
spods/stamp_00129_1,shared,a0_exemplar,3,3,1.0,1.0,27,30
spods/stamp_00129_1,shared,a0_exemplar,5,5,1.0,1.0,25,30
spods/stamp_00129_1,shared,a0_exemplar,10,10,1.0,1.0,20,30
spods/stamp_00129_1,shared,a0_exemplar,20,20,1.0,1.0,10,30
spods/stamp_00129_1,shared,a1_max,0,0,1.0,1.0,30,30
spods/stamp_00129_1,shared,a1_max,3,3,0.9986772486772487,1.0,27,30
spods/stamp_00129_1,shared,a1_max,5,5,1.0,1.0,25,30
spods/stamp_00129_1,shared,a1_max,10,10,1.0,1.0,20,30
spods/stamp_00129_1,shared,a1_max,20,20,1.0,1.0,10,30
spods/stamp_00129_1,shared,a1p_goods_only,0,0,1.0,1.0,30,30
spods/stamp_00129_1,shared,a1p_goods_only,3,3,0.9986772486772487,1.0,27,30
spods/stamp_00129_1,shared,a1p_goods_only,5,5,1.0,1.0,25,30
spods/stamp_00129_1,shared,a1p_goods_only,10,10,1.0,1.0,20,30
spods/stamp_00129_1,shared,a1p_goods_only,20,20,1.0,1.0,10,30
spods/stamp_00293_1,shared,a0_exemplar,0,0,0.9698176843275829,1.0,33,33
spods/stamp_00293_1,shared,a0_exemplar,3,3,0.9667874250291832,1.0,30,33
spods/stamp_00293_1,shared,a0_exemplar,5,5,0.9644065018204407,1.0,28,33
spods/stamp_00293_1,shared,a0_exemplar,10,10,0.9566425996573867,1.0,23,33
spods/stamp_00293_1,shared,a0_exemplar,20,20,0.9231979298533025,1.0,13,33
spods/stamp_00293_1,shared,a1_max,0,0,0.9698176843275829,1.0,33,33
spods/stamp_00293_1,shared,a1_max,3,3,0.9899540053322032,1.0,30,33
spods/stamp_00293_1,shared,a1_max,5,5,0.9938332421091041,1.0,28,33
spods/stamp_00293_1,shared,a1_max,10,10,0.9868723274205314,1.0,23,33
spods/stamp_00293_1,shared,a1_max,20,20,0.966256499910346,0.9,13,33
spods/stamp_00293_1,shared,a1p_goods_only,0,0,0.9698176843275829,1.0,33,33
spods/stamp_00293_1,shared,a1p_goods_only,3,3,0.9899540053322032,1.0,30,33
spods/stamp_00293_1,shared,a1p_goods_only,5,5,0.9938332421091041,1.0,28,33
spods/stamp_00293_1,shared,a1p_goods_only,10,10,0.9868723274205314,1.0,23,33
spods/stamp_00293_1,shared,a1p_goods_only,20,20,0.966256499910346,0.9,13,33
spods/stamp_00514_1,shared,a0_exemplar,0,0,0.8937665275684764,0.9,31,31
spods/stamp_00514_1,shared,a0_exemplar,3,3,0.8662766928464107,0.9,28,31
spods/stamp_00514_1,shared,a0_exemplar,5,5,0.8395909543474439,0.9,26,31
spods/stamp_00514_1,shared,a0_exemplar,10,9,0.8665219687451441,1.0,22,31
spods/stamp_00514_1,shared,a0_exemplar,20,19,0.5475165873621252,0.6,12,31
spods/stamp_00514_1,shared,a1_max,0,0,0.8937665275684764,0.9,31,31
spods/stamp_00514_1,shared,a1_max,3,3,0.9709426597175714,1.0,28,31
spods/stamp_00514_1,shared,a1_max,5,5,0.9665886649582303,1.0,26,31
spods/stamp_00514_1,shared,a1_max,10,9,0.9695197108383606,1.0,22,31
spods/stamp_00514_1,shared,a1_max,20,19,0.9129120879120881,0.9,12,31
spods/stamp_00514_1,shared,a1p_goods_only,0,0,0.8937665275684764,0.9,31,31
spods/stamp_00514_1,shared,a1p_goods_only,3,3,0.9709426597175714,1.0,28,31
spods/stamp_00514_1,shared,a1p_goods_only,5,5,0.9665886649582303,1.0,26,31
spods/stamp_00514_1,shared,a1p_goods_only,10,9,0.9695197108383606,1.0,22,31
spods/stamp_00514_1,shared,a1p_goods_only,20,19,0.9129120879120881,0.9,12,31
spods/stamp_00546_1,shared,a0_exemplar,0,0,0.9387249138825602,1.0,31,31
spods/stamp_00546_1,shared,a0_exemplar,3,3,0.9267841044835299,1.0,28,31
spods/stamp_00546_1,shared,a0_exemplar,5,5,0.916559582098306,1.0,26,31
spods/stamp_00546_1,shared,a0_exemplar,10,10,0.8771806272845991,0.9,21,31
spods/stamp_00546_1,shared,a0_exemplar,20,19,0.8140698969646337,0.9,12,31
spods/stamp_00546_1,shared,a1_max,0,0,0.9387249138825602,1.0,31,31
spods/stamp_00546_1,shared,a1_max,3,3,1.0,1.0,28,31
spods/stamp_00546_1,shared,a1_max,5,5,1.0,1.0,26,31
spods/stamp_00546_1,shared,a1_max,10,10,1.0,1.0,21,31
spods/stamp_00546_1,shared,a1_max,20,19,1.0,1.0,12,31
spods/stamp_00546_1,shared,a1p_goods_only,0,0,0.9387249138825602,1.0,31,31
spods/stamp_00546_1,shared,a1p_goods_only,3,3,1.0,1.0,28,31
spods/stamp_00546_1,shared,a1p_goods_only,5,5,1.0,1.0,26,31
spods/stamp_00546_1,shared,a1p_goods_only,10,10,1.0,1.0,21,31
spods/stamp_00546_1,shared,a1p_goods_only,20,19,1.0,1.0,12,31
spods/stamp_00577_1,shared,a0_exemplar,0,0,0.9844172273014778,1.0,31,31
spods/stamp_00577_1,shared,a0_exemplar,3,3,0.981547619047619,1.0,28,31
spods/stamp_00577_1,shared,a0_exemplar,5,5,0.979156712852365,1.0,26,31
spods/stamp_00577_1,shared,a0_exemplar,10,10,0.9705600161591678,1.0,21,31
spods/stamp_00577_1,shared,a0_exemplar,20,20,0.9203699526280172,0.9,11,31
spods/stamp_00577_1,shared,a1_max,0,0,0.9844172273014778,1.0,31,31
spods/stamp_00577_1,shared,a1_max,3,3,0.9821428571428571,1.0,28,31
spods/stamp_00577_1,shared,a1_max,5,5,0.9804063860667634,1.0,26,31
spods/stamp_00577_1,shared,a1_max,10,10,0.9746031746031745,1.0,21,31
spods/stamp_00577_1,shared,a1_max,20,20,0.9354066985645932,1.0,11,31
spods/stamp_00577_1,shared,a1p_goods_only,0,0,0.9844172273014778,1.0,31,31
spods/stamp_00577_1,shared,a1p_goods_only,3,3,0.9828042328042328,1.0,28,31
spods/stamp_00577_1,shared,a1p_goods_only,5,5,0.9807692307692307,1.0,26,31
spods/stamp_00577_1,shared,a1p_goods_only,10,10,0.9746031746031745,1.0,21,31
spods/stamp_00577_1,shared,a1p_goods_only,20,20,0.9354066985645932,1.0,11,31
spods/stamp_00612_1,shared,a0_exemplar,0,0,0.5354203722587377,0.6,31,31
spods/stamp_00612_1,shared,a0_exemplar,3,3,0.4340513536003591,0.4,28,31
spods/stamp_00612_1,shared,a0_exemplar,5,5,0.3385929520119125,0.4,26,31
spods/stamp_00612_1,shared,a0_exemplar,10,6,0.40930930454954206,0.6,25,31
spods/stamp_00612_1,shared,a0_exemplar,20,12,0.2960434019585736,0.3,19,31
spods/stamp_00612_1,shared,a1_max,0,0,0.5354203722587377,0.6,31,31
spods/stamp_00612_1,shared,a1_max,3,3,0.8129355554236305,1.0,28,31
spods/stamp_00612_1,shared,a1_max,5,5,0.8510492522637526,1.0,26,31
spods/stamp_00612_1,shared,a1_max,10,6,0.8509125908802596,1.0,25,31
spods/stamp_00612_1,shared,a1_max,20,12,0.822935264384501,1.0,19,31
spods/stamp_00612_1,shared,a1p_goods_only,0,0,0.5354203722587377,0.6,31,31
spods/stamp_00612_1,shared,a1p_goods_only,3,3,0.9096735275306704,1.0,28,31
spods/stamp_00612_1,shared,a1p_goods_only,5,5,0.868715806194712,1.0,26,31
spods/stamp_00612_1,shared,a1p_goods_only,10,6,0.866079688954991,1.0,25,31
spods/stamp_00612_1,shared,a1p_goods_only,20,12,0.8301115190303215,1.0,19,31
spods/stamp_00641_1,shared,a0_exemplar,0,0,0.9842443249701314,1.0,31,31
spods/stamp_00641_1,shared,a0_exemplar,3,3,0.9814305032357771,1.0,28,31
spods/stamp_00641_1,shared,a0_exemplar,5,5,0.9790976219547649,1.0,26,31
spods/stamp_00641_1,shared,a0_exemplar,10,10,0.9707792207792207,1.0,21,31
spods/stamp_00641_1,shared,a0_exemplar,20,20,0.9233511586452764,0.9,11,31
spods/stamp_00641_1,shared,a1_max,0,0,0.9842443249701314,1.0,31,31
spods/stamp_00641_1,shared,a1_max,3,3,0.9707183345704838,1.0,28,31
spods/stamp_00641_1,shared,a1_max,5,5,0.967032967032967,1.0,26,31
spods/stamp_00641_1,shared,a1_max,10,10,0.9576777087646653,1.0,21,31
spods/stamp_00641_1,shared,a1_max,20,20,0.9056818181818183,0.9,11,31
spods/stamp_00641_1,shared,a1p_goods_only,0,0,0.9842443249701314,1.0,31,31
spods/stamp_00641_1,shared,a1p_goods_only,3,3,0.9696779322815987,1.0,28,31
spods/stamp_00641_1,shared,a1p_goods_only,5,5,0.9659645909645909,1.0,26,31
spods/stamp_00641_1,shared,a1p_goods_only,10,10,0.9573023333892898,1.0,21,31
spods/stamp_00641_1,shared,a1p_goods_only,20,20,0.9061250805931658,0.9,11,31
spods/stamp_00716_1,shared,a0_exemplar,0,0,0.8357914773367977,0.9,29,29
spods/stamp_00716_1,shared,a0_exemplar,3,3,0.780005486681396,0.9,26,29
spods/stamp_00716_1,shared,a0_exemplar,5,4,0.8504801428401285,1.0,25,29
