class_id,readout,arm,v,found,ap,p10,left,n_positive
spods/logo_00003_0,shared,a6_stoplist,3,3,1.0,1.0,27,30
spods/logo_00003_0,shared,a6_stoplist,5,5,1.0,1.0,25,30
spods/logo_00003_0,shared,a6_stoplist,10,10,1.0,1.0,20,30
spods/logo_00003_0,shared,a6_stoplist,20,20,1.0,1.0,10,30
spods/logo_00029_0,shared,a6_stoplist,3,3,1.0,1.0,27,30
spods/logo_00029_0,shared,a6_stoplist,5,5,1.0,1.0,25,30
spods/logo_00029_0,shared,a6_stoplist,10,10,1.0,1.0,20,30
spods/logo_00029_0,shared,a6_stoplist,20,20,1.0,1.0,10,30
spods/stamp_00546_1,shared,a6_stoplist,3,3,1.0,1.0,28,31
spods/stamp_00546_1,shared,a6_stoplist,5,5,1.0,1.0,26,31
spods/stamp_00546_1,shared,a6_stoplist,10,10,1.0,1.0,21,31
spods/stamp_00546_1,shared,a6_stoplist,20,19,1.0,1.0,12,31
spods/stamp_00546_1,shared,a6_stoplist,40,28,1.0,0.3,3,31
spods/stamp_00716_1,shared,a6_stoplist,3,3,0.9279997200816291,1.0,26,29
spods/stamp_00716_1,shared,a6_stoplist,5,4,0.9310153925784361,1.0,25,29
spods/stamp_00716_1,shared,a6_stoplist,10,9,0.9371127206959292,1.0,20,29
spods/stamp_00716_1,shared,a6_stoplist,20,17,1.0,1.0,12,29
spods/stamp_00716_1,shared,a6_stoplist,40,26,1.0,0.3,3,29
spods/stamp_00996_1,shared,a6_stoplist,3,3,1.0,1.0,60,63
spods/stamp_00996_1,shared,a6_stoplist,5,5,1.0,1.0,58,63
spods/stamp_00996_1,shared,a6_stoplist,10,10,1.0,1.0,53,63
spods/stamp_00996_1,shared,a6_stoplist,20,20,1.0,1.0,43,63
spods/stamp_00996_1,shared,a6_stoplist,40,40,1.0,1.0,23,63
tobacco800/logo_aeq93a00_1,shared,a6_stoplist,3,2,0.12429476581056217,0.2,25,27
tobacco800/logo_aeq93a00_1,shared,a6_stoplist,5,4,0.0646537209766557,0.1,23,27
tobacco800/logo_aeq93a00_1,shared,a6_stoplist,10,7,0.700670045016756,1.0,20,27
tobacco800/logo_aeq93a00_1,shared,a6_stoplist,20,9,0.7580654886427165,1.0,18,27
tobacco800/logo_aeq93a00_1,shared,a6_stoplist,40,10,0.7845465773314197,1.0,17,27
tobacco800/logo_asg54f00_1,shared,a6_stoplist,3,3,0.25401701007711763,0.2,6,9
tobacco800/logo_asg54f00_1,shared,a6_stoplist,5,3,0.337547665428211,0.2,6,9
tobacco800/logo_asg54f00_1,shared,a6_stoplist,10,3,0.33815933403879145,0.2,6,9
tobacco800/logo_asg54f00_1,shared,a6_stoplist,20,4,0.20518513460385185,0.1,5,9
tobacco800/logo_asg54f00_1,shared,a6_stoplist,40,4,0.20654060601367705,0.1,5,9
tobacco800/logo_cgr96c00_1,shared,a6_stoplist,3,3,0.7515290519877675,0.5,6,9
tobacco800/logo_cgr96c00_1,shared,a6_stoplist,5,5,0.6508445945945946,0.3,4,9
tobacco800/logo_cgr96c00_1,shared,a6_stoplist,10,7,0.500542888165038,0.1,2,9
tobacco800/logo_cgr96c00_1,shared,a6_stoplist,20,7,0.25054585152838427,0.1,2,9
tobacco800/logo_cgr96c00_1,shared,a6_stoplist,40,7,0.25055187637969095,0.1,2,9
ucsf/logo_bat_leaf,shared,a6_stoplist,3,1,0.8928571428571428,0.4,4,5
ucsf/logo_bat_leaf,shared,a6_stoplist,5,2,1.0,0.3,3,5
ucsf/logo_bat_leaf,shared,a6_stoplist,10,2,1.0,0.3,3,5
ucsf/logo_bat_leaf,shared,a6_stoplist,20,3,1.0,0.2,2,5
ucsf/logo_bat_leaf,shared,a6_stoplist,40,4,1.0,0.1,1,5
