class_id,readout,arm,v,found,ap,p10,left,n_positive
spods/logo_00003_0,shared,a0_exemplar,0,0,1.0,1.0,30,30
spods/logo_00003_0,shared,a0_exemplar,3,3,1.0,1.0,27,30
spods/logo_00003_0,shared,a0_exemplar,5,5,1.0,1.0,25,30
spods/logo_00003_0,shared,a0_exemplar,10,10,1.0,1.0,20,30
spods/logo_00003_0,shared,a0_exemplar,20,20,1.0,1.0,10,30
spods/logo_00003_0,shared,a0_exemplar,40,30,nan,0.0,0,30
spods/logo_00003_0,shared,a1_max,0,0,1.0,1.0,30,30
spods/logo_00003_0,shared,a1_max,3,3,1.0,1.0,27,30
spods/logo_00003_0,shared,a1_max,5,5,1.0,1.0,25,30
spods/logo_00003_0,shared,a1_max,10,10,1.0,1.0,20,30
spods/logo_00003_0,shared,a1_max,20,20,1.0,1.0,10,30
spods/logo_00003_0,shared,a1_max,40,30,nan,0.0,0,30
spods/logo_00003_0,shared,a1p_goods_only,0,0,1.0,1.0,30,30
spods/logo_00003_0,shared,a1p_goods_only,3,3,1.0,1.0,27,30
spods/logo_00003_0,shared,a1p_goods_only,5,5,1.0,1.0,25,30
spods/logo_00003_0,shared,a1p_goods_only,10,10,1.0,1.0,20,30
spods/logo_00003_0,shared,a1p_goods_only,20,20,1.0,1.0,10,30
spods/logo_00003_0,shared,a1p_goods_only,40,30,nan,0.0,0,30
spods/logo_00003_0,shared,a2_repick,0,0,1.0,1.0,30,30
spods/logo_00003_0,shared,a2_repick,3,3,1.0,1.0,27,30
spods/logo_00003_0,shared,a2_repick,5,5,1.0,1.0,25,30
spods/logo_00003_0,shared,a2_repick,10,10,1.0,1.0,20,30
spods/logo_00003_0,shared,a2_repick,20,20,1.0,1.0,10,30
spods/logo_00003_0,shared,a2_repick,40,30,nan,0.0,0,30
spods/logo_00003_0,shared,a3_vlad_svm,0,0,0.018985311740914057,0.0,30,30
spods/logo_00003_0,shared,a3_vlad_svm,3,3,0.018030107496671374,0.0,27,30
spods/logo_00003_0,shared,a3_vlad_svm,5,5,0.015938582684477367,0.0,25,30
spods/logo_00003_0,shared,a3_vlad_svm,10,10,0.01616215402920577,0.0,20,30
spods/logo_00003_0,shared,a3_vlad_svm,20,20,0.005474060835263401,0.0,10,30
spods/logo_00003_0,shared,a3_vlad_svm,40,30,nan,0.0,0,30
spods/logo_00003_0,shared,a3s_production,0,0,0.018985311740914057,0.0,30,30
spods/logo_00003_0,shared,a3s_production,3,3,0.05403833794934628,0.1,27,30
spods/logo_00003_0,shared,a3s_production,5,5,0.05482747157336625,0.1,25,30
spods/logo_00003_0,shared,a3s_production,10,10,0.0647732651403169,0.1,20,30
spods/logo_00003_0,shared,a3s_production,20,20,0.005474060835263401,0.0,10,30
spods/logo_00003_0,shared,a3s_production,40,30,nan,0.0,0,30
spods/logo_00003_0,shared,a4_siglip_svm,0,0,0.16344479424414085,0.2,30,30
spods/logo_00003_0,shared,a4_siglip_svm,3,3,0.13536566452086282,0.1,27,30
spods/logo_00003_0,shared,a4_siglip_svm,5,5,0.12813307967429308,0.1,25,30
spods/logo_00003_0,shared,a4_siglip_svm,10,10,0.10241561414769736,0.1,20,30
spods/logo_00003_0,shared,a4_siglip_svm,20,20,0.054842463123389404,0.1,10,30
spods/logo_00003_0,shared,a4_siglip_svm,40,30,nan,0.0,0,30
spods/logo_00003_0,shared,a4r_siglip_sift,0,0,0.9018320221262063,1.0,30,30
spods/logo_00003_0,shared,a4r_siglip_sift,3,3,0.8907158803353906,1.0,27,30
spods/logo_00003_0,shared,a4r_siglip_sift,5,5,0.881822441937376,1.0,25,30
spods/logo_00003_0,shared,a4r_siglip_sift,10,10,0.9012938478947055,1.0,20,30
spods/logo_00003_0,shared,a4r_siglip_sift,20,20,0.9004336513443192,0.9,10,30
spods/logo_00003_0,shared,a4r_siglip_sift,40,30,nan,0.0,0,30
spods/logo_00003_0,shared,a5_mlp,0,0,1.0,1.0,30,30
spods/logo_00003_0,shared,a5_mlp,3,3,1.0,1.0,27,30
spods/logo_00003_0,shared,a5_mlp,5,5,1.0,1.0,25,30
spods/logo_00003_0,shared,a5_mlp,10,10,1.0,1.0,20,30
spods/logo_00003_0,shared,a5_mlp,20,20,1.0,1.0,10,30
spods/logo_00003_0,shared,a5_mlp,40,30,nan,0.0,0,30
spods/logo_00003_0,closed,a0_exemplar,0,0,1.0,1.0,30,30
spods/logo_00003_0,closed,a0_exemplar,3,3,1.0,1.0,27,30
spods/logo_00003_0,closed,a0_exemplar,5,5,1.0,1.0,25,30
spods/logo_00003_0,closed,a0_exemplar,10,10,1.0,1.0,20,30
spods/logo_00003_0,closed,a0_exemplar,20,20,1.0,1.0,10,30
spods/logo_00003_0,closed,a0_exemplar,40,30,nan,0.0,0,30
spods/logo_00003_0,closed,a1_max,0,0,1.0,1.0,30,30
spods/logo_00003_0,closed,a1_max,3,3,1.0,1.0,27,30
spods/logo_00003_0,closed,a1_max,5,5,1.0,1.0,25,30
spods/logo_00003_0,closed,a1_max,10,10,1.0,1.0,20,30
spods/logo_00003_0,closed,a1_max,20,20,1.0,1.0,10,30
spods/logo_00003_0,closed,a1_max,40,30,nan,0.0,0,30
spods/logo_00003_0,closed,a1p_goods_only,0,0,1.0,1.0,30,30
spods/logo_00003_0,closed,a1p_goods_only,3,3,1.0,1.0,27,30
spods/logo_00003_0,closed,a1p_goods_only,5,5,1.0,1.0,25,30
spods/logo_00003_0,closed,a1p_goods_only,10,10,1.0,1.0,20,30
spods/logo_00003_0,closed,a1p_goods_only,20,20,1.0,1.0,10,30
spods/logo_00003_0,closed,a1p_goods_only,40,30,nan,0.0,0,30
spods/logo_00003_0,closed,a2_repick,0,0,1.0,1.0,30,30
spods/logo_00003_0,closed,a2_repick,3,3,1.0,1.0,27,30
spods/logo_00003_0,closed,a2_repick,5,5,1.0,1.0,25,30
spods/logo_00003_0,closed,a2_repick,10,10,1.0,1.0,20,30
spods/logo_00003_0,closed,a2_repick,20,20,1.0,1.0,10,30
spods/logo_00003_0,closed,a2_repick,40,30,nan,0.0,0,30
spods/logo_00003_0,closed,a3_vlad_svm,0,0,0.018985311740914057,0.0,30,30
spods/logo_00003_0,closed,a3_vlad_svm,3,0,0.06947633676857935,0.0,30,30
spods/logo_00003_0,closed,a3_vlad_svm,5,0,0.05829233243584841,0.0,30,30
spods/logo_00003_0,closed,a3_vlad_svm,10,0,0.09954723324529167,0.0,30,30
spods/logo_00003_0,closed,a3_vlad_svm,20,0,0.09738904070782632,0.0,30,30
spods/logo_00003_0,closed,a3_vlad_svm,40,0,0.13190735299301928,0.1,30,30
spods/logo_00003_0,closed,a3s_production,0,0,0.018985311740914057,0.0,30,30
spods/logo_00003_0,closed,a3s_production,3,0,0.06947633676857935,0.0,30,30
spods/logo_00003_0,closed,a3s_production,5,0,0.05829233243584841,0.0,30,30
spods/logo_00003_0,closed,a3s_production,10,0,0.09954723324529167,0.0,30,30
spods/logo_00003_0,closed,a3s_production,20,0,0.09738904070782632,0.0,30,30
spods/logo_00003_0,closed,a3s_production,40,0,0.13190735299301928,0.1,30,30
spods/logo_00003_0,closed,a4_siglip_svm,0,0,0.16344479424414085,0.2,30,30
spods/logo_00003_0,closed,a4_siglip_svm,3,0,0.16700418991692084,0.3,30,30
spods/logo_00003_0,closed,a4_siglip_svm,5,1,0.11718970922528381,0.0,29,30
spods/logo_00003_0,closed,a4_siglip_svm,10,2,0.3543419379209133,0.4,28,30
spods/logo_00003_0,closed,a4_siglip_svm,20,9,0.637126032751584,0.6,21,30
spods/logo_00003_0,closed,a4_siglip_svm,40,24,0.47202476865706,0.3,6,30
spods/logo_00003_0,closed,a4r_siglip_sift,0,0,0.9018320221262063,1.0,30,30
spods/logo_00003_0,closed,a4r_siglip_sift,3,3,0.8907158803353906,1.0,27,30
spods/logo_00003_0,closed,a4r_siglip_sift,5,5,0.881822441937376,1.0,25,30
spods/logo_00003_0,closed,a4r_siglip_sift,10,10,0.8518047731768419,1.0,20,30
spods/logo_00003_0,closed,a4r_siglip_sift,20,20,0.7016963353363395,0.7,10,30
spods/logo_00003_0,closed,a4r_siglip_sift,40,30,nan,0.0,0,30
spods/logo_00003_0,closed,a5_mlp,0,0,1.0,1.0,30,30
spods/logo_00003_0,closed,a5_mlp,3,3,1.0,1.0,27,30
spods/logo_00003_0,closed,a5_mlp,5,5,1.0,1.0,25,30
spods/logo_00003_0,closed,a5_mlp,10,10,1.0,1.0,20,30
spods/logo_00003_0,closed,a5_mlp,20,20,1.0,1.0,10,30
spods/logo_00003_0,closed,a5_mlp,40,30,nan,0.0,0,30
spods/logo_00011_0,shared,a0_exemplar,0,0,1.0,1.0,30,30
spods/logo_00011_0,shared,a0_exemplar,3,3,1.0,1.0,27,30
spods/logo_00011_0,shared,a0_exemplar,5,5,1.0,1.0,25,30
spods/logo_00011_0,shared,a0_exemplar,10,10,1.0,1.0,20,30
spods/logo_00011_0,shared,a0_exemplar,20,20,1.0,1.0,10,30
spods/logo_00011_0,shared,a0_exemplar,40,30,nan,0.0,0,30
spods/logo_00011_0,shared,a1_max,0,0,1.0,1.0,30,30
spods/logo_00011_0,shared,a1_max,3,3,1.0,1.0,27,30
spods/logo_00011_0,shared,a1_max,5,5,1.0,1.0,25,30
spods/logo_00011_0,shared,a1_max,10,10,1.0,1.0,20,30
spods/logo_00011_0,shared,a1_max,20,20,1.0,1.0,10,30
spods/logo_00011_0,shared,a1_max,40,30,nan,0.0,0,30
spods/logo_00011_0,shared,a1p_goods_only,0,0,1.0,1.0,30,30
spods/logo_00011_0,shared,a1p_goods_only,3,3,1.0,1.0,27,30
spods/logo_00011_0,shared,a1p_goods_only,5,5,1.0,1.0,25,30
spods/logo_00011_0,shared,a1p_goods_only,10,10,1.0,1.0,20,30
spods/logo_00011_0,shared,a1p_goods_only,20,20,1.0,1.0,10,30
spods/logo_00011_0,shared,a1p_goods_only,40,30,nan,0.0,0,30
spods/logo_00011_0,shared,a2_repick,0,0,1.0,1.0,30,30
spods/logo_00011_0,shared,a2_repick,3,3,1.0,1.0,27,30
spods/logo_00011_0,shared,a2_repick,5,5,1.0,1.0,25,30
spods/logo_00011_0,shared,a2_repick,10,10,1.0,1.0,20,30
spods/logo_00011_0,shared,a2_repick,20,20,1.0,1.0,10,30
spods/logo_00011_0,shared,a2_repick,40,30,nan,0.0,0,30
spods/logo_00011_0,shared,a3_vlad_svm,0,0,0.020224394781223266,0.0,30,30
spods/logo_00011_0,shared,a3_vlad_svm,3,3,0.018416823661385348,0.0,27,30
spods/logo_00011_0,shared,a3_vlad_svm,5,5,0.016674285094219678,0.0,25,30
spods/logo_00011_0,shared,a3_vlad_svm,10,10,0.011400100299349377,0.0,20,30
spods/logo_00011_0,shared,a3_vlad_svm,20,20,0.004596697509867138,0.0,10,30
spods/logo_00011_0,shared,a3_vlad_svm,40,30,nan,0.0,0,30
spods/logo_00011_0,shared,a3s_production,0,0,0.020224394781223266,0.0,30,30
spods/logo_00011_0,shared,a3s_production,3,3,0.018416823661385348,0.0,27,30
spods/logo_00011_0,shared,a3s_production,5,5,0.016674285094219678,0.0,25,30
spods/logo_00011_0,shared,a3s_production,10,10,0.011400100299349377,0.0,20,30
spods/logo_00011_0,shared,a3s_production,20,20,0.004596697509867138,0.0,10,30
spods/logo_00011_0,shared,a3s_production,40,30,nan,0.0,0,30
spods/logo_00011_0,shared,a4_siglip_svm,0,0,0.46619173880285897,0.8,30,30
spods/logo_00011_0,shared,a4_siglip_svm,3,3,0.5152669460500375,0.8,27,30
spods/logo_00011_0,shared,a4_siglip_svm,5,5,0.49127451203644845,0.8,25,30
spods/logo_00011_0,shared,a4_siglip_svm,10,10,0.5003070473601433,0.7,20,30
spods/logo_00011_0,shared,a4_siglip_svm,20,20,0.4994307966604879,0.5,10,30
spods/logo_00011_0,shared,a4_siglip_svm,40,30,nan,0.0,0,30
spods/logo_00011_0,shared,a4r_siglip_sift,0,0,0.7045357933114974,1.0,30,30
spods/logo_00011_0,shared,a4r_siglip_sift,3,3,0.7441661623186836,1.0,27,30
spods/logo_00011_0,shared,a4r_siglip_sift,5,5,0.7233857944300598,1.0,25,30
spods/logo_00011_0,shared,a4r_siglip_sift,10,10,0.7523134900507292,1.0,20,30
spods/logo_00011_0,shared,a4r_siglip_sift,20,20,0.7014603750116521,0.7,10,30
spods/logo_00011_0,shared,a4r_siglip_sift,40,30,nan,0.0,0,30
spods/logo_00011_0,shared,a5_mlp,0,0,1.0,1.0,30,30
spods/logo_00011_0,shared,a5_mlp,3,3,1.0,1.0,27,30
spods/logo_00011_0,shared,a5_mlp,5,5,1.0,1.0,25,30
spods/logo_00011_0,shared,a5_mlp,10,10,1.0,1.0,20,30
spods/logo_00011_0,shared,a5_mlp,20,20,1.0,1.0,10,30
spods/logo_00011_0,shared,a5_mlp,40,30,nan,0.0,0,30
spods/logo_00011_0,closed,a0_exemplar,0,0,1.0,1.0,30,30
spods/logo_00011_0,closed,a0_exemplar,3,3,1.0,1.0,27,30
spods/logo_00011_0,closed,a0_exemplar,5,5,1.0,1.0,25,30
spods/logo_00011_0,closed,a0_exemplar,10,10,1.0,1.0,20,30
spods/logo_00011_0,closed,a0_exemplar,20,20,1.0,1.0,10,30
spods/logo_00011_0,closed,a0_exemplar,40,30,nan,0.0,0,30
spods/logo_00011_0,closed,a1_max,0,0,1.0,1.0,30,30
spods/logo_00011_0,closed,a1_max,3,3,1.0,1.0,27,30
spods/logo_00011_0,closed,a1_max,5,5,1.0,1.0,25,30
spods/logo_00011_0,closed,a1_max,10,10,1.0,1.0,20,30
spods/logo_00011_0,closed,a1_max,20,20,1.0,1.0,10,30
spods/logo_00011_0,closed,a1_max,40,30,nan,0.0,0,30
spods/logo_00011_0,closed,a1p_goods_only,0,0,1.0,1.0,30,30
spods/logo_00011_0,closed,a1p_goods_only,3,3,1.0,1.0,27,30
spods/logo_00011_0,closed,a1p_goods_only,5,5,1.0,1.0,25,30
spods/logo_00011_0,closed,a1p_goods_only,10,10,1.0,1.0,20,30
spods/logo_00011_0,closed,a1p_goods_only,20,20,1.0,1.0,10,30
spods/logo_00011_0,closed,a1p_goods_only,40,30,nan,0.0,0,30
spods/logo_00011_0,closed,a2_repick,0,0,1.0,1.0,30,30
spods/logo_00011_0,closed,a2_repick,3,3,1.0,1.0,27,30
spods/logo_00011_0,closed,a2_repick,5,5,1.0,1.0,25,30
spods/logo_00011_0,closed,a2_repick,10,10,1.0,1.0,20,30
spods/logo_00011_0,closed,a2_repick,20,20,1.0,1.0,10,30
spods/logo_00011_0,closed,a2_repick,40,30,nan,0.0,0,30
spods/logo_00011_0,closed,a3_vlad_svm,0,0,0.020224394781223266,0.0,30,30
