scope,window,metric,dataset,n_cells,mean,se,sd
all_steps,all_steps,cost,all,84,0.024070759299545892,0.00514905149323315,0.04719183644993261
all_steps,all_steps,cost,caltech101_m,12,0.040225486254295534,0.01881222918746063,0.06516747351262397
all_steps,all_steps,cost,coco_val,38,0.013122269095511252,0.007083806562604106,0.04366751636884028
all_steps,all_steps,cost,visual_genome_m,34,0.030605638837672977,0.007217016938374709,0.04208207859194664
all_steps,all_steps,fnr,all,84,0.005651698529875748,0.00414407274279686,0.03798105405853975
all_steps,all_steps,fnr,caltech101_m,12,-3.905068728521667e-05,3.905068728521667e-05,0.00013527554889695843
all_steps,all_steps,fnr,coco_val,38,0.0014474777401668742,0.007711689393805848,0.0475380460857241
all_steps,all_steps,fnr,visual_genome_m,34,0.012359033253842473,0.005466426042638101,0.031874467291352335
all_steps,all_steps,fpr,all,84,0.01841907239936127,0.004751488914490274,0.04354811522879047
all_steps,all_steps,fpr,caltech101_m,12,0.040264536941580754,0.01880670649266792,0.06514834233667263
all_steps,all_steps,fpr,coco_val,38,0.011674804692661802,0.006996110854214008,0.04312692371604008
all_steps,all_steps,fpr,visual_genome_m,34,0.018246619409594978,0.005540597590319155,0.03230695801784678
all_steps,all_steps,average_precision,all,84,-0.00940160729400312,0.0050321909619410405,0.04612079198913492
all_steps,all_steps,average_precision,caltech101_m,12,6.238230240551701e-05,5.878329604765871e-05,0.0002036313107818153
all_steps,all_steps,average_precision,coco_val,38,-0.009606827122805165,0.008230705443693564,0.05073747589141759
all_steps,all_steps,average_precision,visual_genome_m,34,-0.012512475578192114,0.008438563646817363,0.04920485868618237
all_steps,all_steps,auroc,all,84,-0.009667143824561642,0.002171564156217604,0.019902714244640157
all_steps,all_steps,auroc,caltech101_m,12,5.207903780094873e-06,5.330599136862817e-06,1.8465737079658403e-05
all_steps,all_steps,auroc,coco_val,38,-0.006524573446975753,0.002785377109750929,0.017170217658897882
all_steps,all_steps,auroc,visual_genome_m,34,-0.01659319956245472,0.0040978090430151244,0.023894127404083247
all_steps,post_ramp_21_plus,cost,all,84,0.010210572470238103,0.004458334672360006,0.04086131221907174
