arm,dataset,category,seed,bad_clicks,positives_hit,median_seed_percentile
gmm_midpoint,caltech101_m,airplanes,0,4,0,0.2980885
gmm_midpoint,caltech101_m,airplanes,1,4,0,0.2998805
gmm_midpoint,caltech101_m,car_side,0,4,0,0.1666665
gmm_midpoint,caltech101_m,car_side,1,4,0,0.1630825
gmm_midpoint,caltech101_m,cougar_face,0,5,1,0.026284
gmm_midpoint,caltech101_m,cougar_face,1,9,5,0.0227
gmm_midpoint,caltech101_m,grand_piano,0,4,0,0.035245
gmm_midpoint,caltech101_m,grand_piano,1,4,0,0.038232
gmm_midpoint,caltech101_m,ibis,0,4,0,0.053166
gmm_midpoint,caltech101_m,ibis,1,4,0,0.0507765
gmm_midpoint,caltech101_m,starfish,0,4,0,0.2108725
gmm_midpoint,caltech101_m,starfish,1,4,0,0.210872
gmm_midpoint,coco_val,baseball bat,0,4,0,0.257019
gmm_midpoint,coco_val,baseball bat,1,4,0,0.25712
gmm_midpoint,coco_val,bear,0,4,0,0.35427200000000003
gmm_midpoint,coco_val,bear,1,4,0,0.353767
gmm_midpoint,coco_val,bed,0,4,0,0.29892949999999996
gmm_midpoint,coco_val,bed,1,4,0,0.299434
gmm_midpoint,coco_val,cat,0,4,0,0.069582
gmm_midpoint,coco_val,cat,1,4,0,0.06897600000000001
gmm_midpoint,coco_val,cell phone,0,4,0,0.38164
gmm_midpoint,coco_val,cell phone,1,4,0,0.38164
gmm_midpoint,coco_val,clock,0,4,0,0.235205
gmm_midpoint,coco_val,clock,1,4,0,0.235205
gmm_midpoint,coco_val,dining table,0,4,0,0.372753
gmm_midpoint,coco_val,dining table,1,3,0,0.373056
gmm_midpoint,coco_val,elephant,0,4,0,0.27943850000000003
gmm_midpoint,coco_val,elephant,1,4,0,0.27923699999999996
gmm_midpoint,coco_val,giraffe,0,4,0,0.126641
gmm_midpoint,coco_val,giraffe,1,4,0,0.12744899999999998
gmm_midpoint,coco_val,microwave,0,4,0,0.413755
gmm_midpoint,coco_val,microwave,1,4,0,0.413957
gmm_midpoint,coco_val,oven,0,4,0,0.33013499999999996
gmm_midpoint,coco_val,oven,1,3,0,0.329832
gmm_midpoint,coco_val,refrigerator,0,4,0,0.368006
gmm_midpoint,coco_val,refrigerator,1,4,0,0.3678045
gmm_midpoint,coco_val,scissors,0,4,0,0.45475699999999997
gmm_midpoint,coco_val,scissors,1,4,0,0.454252
gmm_midpoint,coco_val,sink,0,3,0,0.277722
gmm_midpoint,coco_val,sink,1,4,0,0.277015
gmm_midpoint,coco_val,sports ball,0,3,0,0.236922
gmm_midpoint,coco_val,sports ball,1,4,0,0.237124
gmm_midpoint,coco_val,toilet,0,4,0,0.18814399999999998
gmm_midpoint,coco_val,toilet,1,4,0,0.18774
gmm_midpoint,coco_val,toothbrush,0,4,0,0.42849899999999996
gmm_midpoint,coco_val,toothbrush,1,4,0,0.428701
gmm_midpoint,coco_val,train,0,4,0,0.24601099999999998
gmm_midpoint,coco_val,train,1,4,0,0.246819
gmm_midpoint,coco_val,zebra,0,4,0,0.25661500000000004
