arm,metric,scope,n,share_worse_0.02,share_worse_0.05,median,share_best_before_150,mean_dfpr,mean_dfnr
svm,cost,all,480,0.5541666666666667,0.3541666666666667,0.026083909999999988,0.23125,0.04352324841666667,0.0015816343749999982
svm,cost,caltech101_m,60,0.3333333333333333,0.3333333333333333,0.0,1.0,0.016555457333333332,0.012216732333333336
svm,cost,coco_val,190,0.5526315789473685,0.3105263157894737,0.024989280000000003,0.11052631578947368,0.043846328315789475,-0.004731985157894737
svm,cost,visual_genome_m,230,0.6130434782608696,0.39565217391304347,0.032608120000000074,0.13043478260869565,0.050291432260869566,0.0040228597391304315
svm,cost,harvest>=0.8,218,0.7522935779816514,0.5091743119266054,0.05094271999999998,0.13761467889908258,0.06702950009174312,-0.005381585779816515
svm,cost,harvest<0.8,262,0.3893129770992366,0.22519083969465647,0.00800475000000006,0.30916030534351147,0.023964611526717555,0.0073754587786259524
svm,oracle_cost,all,480,0.125,0.03125,0.0008382999999999967,0.29375,0.016265713041666668,0.0019645415833333337
svm,oracle_cost,caltech101_m,60,0.0,0.0,0.0,1.0,-0.039629457666666666,0.011861173666666665
svm,oracle_cost,coco_val,190,0.06842105263157895,0.005263157894736842,0.00107034,0.24736842105263157,0.016638986210526317,-0.0017541248421052641
svm,oracle_cost,visual_genome_m,230,0.20434782608695654,0.06086956521739131,0.0036608899999999167,0.14782608695652175,0.030538705826086955,0.002454753304347827
svm,oracle_cost,harvest>=0.8,218,0.0871559633027523,0.01834862385321101,0.0006066599999999915,0.26146788990825687,0.027558877614678897,4.1287981651376336e-05
svm,oracle_cost,harvest<0.8,262,0.15648854961832062,0.04198473282442748,0.0009903099999999635,0.32061068702290074,0.006869110458015272,0.003564806030534352
svmc01,cost,all,480,0.5479166666666667,0.3854166666666667,0.026626940000000043,0.23125,0.053477735250000005,-4.076995833333282e-05
svmc01,cost,caltech101_m,60,0.5,0.4,0.02007306,0.9833333333333333,0.025425771,0.013722942333333332
svmc01,cost,coco_val,190,0.48947368421052634,0.3105263157894737,0.018481279999999996,0.07894736842105263,0.04209767852631579,-0.0008285584210526313
svmc01,cost,visual_genome_m,230,0.6086956521739131,0.4434782608695652,0.035107330000000006,0.1608695652173913,0.07019655539130436,-0.0029805218260869557
svmc01,cost,harvest>=0.8,209,0.7464114832535885,0.5645933014354066,0.061659039999999984,0.19138755980861244,0.08176043846889952,-0.006799276842105263
svmc01,cost,harvest<0.8,271,0.3948339483394834,0.24723247232472326,0.00868524000000001,0.26199261992619927,0.0316656135793358,0.005171510258302584
svmc01,oracle_cost,all,480,0.10416666666666667,0.014583333333333334,0.0005725199999999991,0.27291666666666664,0.016653394458333335,0.0014997238749999994
svmc01,oracle_cost,caltech101_m,60,0.0,0.0,0.0,1.0,-0.041994176333333334,0.012376628666666667
svmc01,oracle_cost,coco_val,190,0.05263157894736842,0.010526315789473684,0.0010418800000000028,0.21578947368421053,0.01259446747368421,8.186315789473537e-05
svmc01,oracle_cost,visual_genome_m,230,0.17391304347826086,0.021739130434782608,0.0016424699999999966,0.13043478260869565,0.03530578739130435,-0.00016645330434782616
svmc01,oracle_cost,harvest>=0.8,209,0.0861244019138756,0.014354066985645933,0.00017135999999999996,0.2966507177033493,0.027664644593301434,-0.0005280861244019135
svmc01,oracle_cost,harvest<0.8,271,0.11808118081180811,0.014760147601476014,0.0010077200000000001,0.25461254612546125,0.008161323321033209,0.003063606863468633
