arm,dataset,n_remainder,side,threshold,fpr,fnr,cost,oracle_cost,n
svm,caltech101_m,64,exclusion on (>=60),0.43602064999999995,0.14148855,0.06745355,0.2089421,0.0,60
svm,caltech101_m,63,exclusion on (>=60),0.43608036666666666,0.1421055833333333,0.07086393333333334,0.21296951666666666,0.0,60
svm,caltech101_m,62,exclusion on (>=60),0.43602915000000003,0.14243370000000002,0.07235605,0.21478975,0.0,60
svm,caltech101_m,61,exclusion on (>=60),0.4359365,0.1429258,0.07307356666666666,0.21599936666666666,0.0,60
svm,caltech101_m,60,exclusion on (>=60),0.4358575833333333,0.1433344166666667,0.07467756666666665,0.21801198333333333,0.0,60
svm,caltech101_m,59,exclusion off (<60),0.49126965000000006,4.095e-05,0.0,4.095e-05,0.0,60
svm,caltech101_m,58,exclusion off (<60),0.4897697666666667,0.00024825,0.0,0.00024825,0.0,60
svm,caltech101_m,57,exclusion off (<60),0.49486145000000004,0.0,0.0,0.0,0.0,60
svm,caltech101_m,56,exclusion off (<60),0.49496233333333334,0.0,0.0,0.0,0.0,60
svm,caltech101_m,55,exclusion off (<60),0.49492255,0.0,0.0,0.0,0.0,60
svmc01,caltech101_m,64,exclusion on (>=60),0.44515166666666667,0.16181706666666665,0.06674228333333333,0.22855935,0.0,60
svmc01,caltech101_m,63,exclusion on (>=60),0.44517923333333337,0.1626369,0.06911726666666666,0.23175416666666668,0.0,60
svmc01,caltech101_m,62,exclusion on (>=60),0.44519739999999997,0.16300518333333333,0.07127986666666668,0.23428505,0.0,60
svmc01,caltech101_m,61,exclusion on (>=60),0.44527666666666665,0.16357901666666666,0.07499613333333333,0.23857515,0.0,60
svmc01,caltech101_m,60,exclusion on (>=60),0.44530400000000003,0.16402896666666666,0.07678301666666668,0.24081198333333334,0.0,60
svmc01,caltech101_m,59,exclusion off (<60),0.5011797833333334,0.005493466666666667,0.0013888833333333334,0.00688235,0.0,60
svmc01,caltech101_m,58,exclusion off (<60),0.5023472666666666,0.0058326666666666666,0.0013888833333333334,0.007221549999999999,0.0,60
svmc01,caltech101_m,57,exclusion off (<60),0.50213905,0.0082489,0.0032407333333333336,0.011489633333333334,0.0,60
svmc01,caltech101_m,56,exclusion off (<60),0.5038766166666667,0.00511365,0.0032407333333333336,0.008354383333333333,0.0,60
svmc01,caltech101_m,55,exclusion off (<60),0.5006730833333334,0.0066642333333333335,0.0013888833333333334,0.008053116666666667,0.0,60
