window,scope,metric,mean,se,n
1-150,all,cost,0.0032098241325700756,0.00203888038826247,480
1-150,caltech101_m,cost,0.007856741819634168,0.00527596268101133,60
1-150,coco_val,cost,0.010040926148272424,0.002815820955078568,190
1-150,visual_genome_m,cost,-0.003645499537896411,0.0030213181680941886,230
151-400,all,cost,0.001401621824999999,0.0035003514117159995,480
151-400,caltech101_m,cost,0.0153887352,0.015087696574734112,60
151-400,coco_val,cost,0.002684079621052631,0.0032312945557242535,190
151-400,visual_genome_m,cost,-0.0033066120173913045,0.005542277113821336,230
1-400,all,cost,0.00206433443484108,0.002595888839921595,480
1-400,caltech101_m,cost,0.012597345709865452,0.011393996087133136,60
1-400,coco_val,cost,0.005409212745484674,0.0026485632264037387,190
1-400,visual_genome_m,cost,-0.003446567980479552,0.0038887484002685254,230
t20,all,cost,0.0051907833333333315,0.004230607254542787,480
t40,all,cost,0.010158039583333332,0.003638473143188938,480
t80,all,cost,0.004376789583333333,0.0031131986571189857,480
t150,all,cost,9.251458333333235e-05,0.0031587999093659037,480
t200,all,cost,0.00028003958333333356,0.003636264801432511,480
t300,all,cost,0.0032985229166666674,0.00498256381330547,480
t400,all,cost,0.0016900500000000007,0.005575681032890519,480
1-150,all,oracle_cost,-0.003552461849498351,0.0015649549273615288,480
1-150,caltech101_m,oracle_cost,0.00014081549948746617,0.00010149715534044224,60
1-150,coco_val,oracle_cost,0.0011021803013308133,0.0023202896866121947,190
1-150,visual_genome_m,oracle_cost,-0.008361064673831785,0.002478323304134615,230
151-400,all,oracle_cost,-0.007986862574999998,0.0014609663100283922,480
151-400,caltech101_m,oracle_cost,0.0,0.0,60
151-400,coco_val,oracle_cost,-0.0003759436631578954,0.0012709755733484236,190
151-400,visual_genome_m,oracle_cost,-0.016357672782608697,0.002305716346482512,230
1-400,all,oracle_cost,-0.006345353596928299,0.00126433688813656,480
1-400,caltech101_m,oracle_cost,5.2140308945881985e-05,3.7582124627229e-05,60
1-400,coco_val,oracle_cost,0.00017120029224292651,0.0013763951163443802,190
1-400,visual_genome_m,oracle_cost,-0.013397505219949965,0.0019063103396767909,230
t20,all,oracle_cost,0.0013511520833333346,0.003169395900069121,480
t40,all,oracle_cost,0.0017849645833333335,0.0029658431121748568,480
t80,all,oracle_cost,-0.004621614583333332,0.002318995962200862,480
t150,all,oracle_cost,-0.0069927104166666665,0.0020003435506398834,480
t200,all,oracle_cost,-0.006051481250000002,0.001782359252912742,480
t300,all,oracle_cost,-0.007827554166666667,0.001579475497692579,480
t400,all,oracle_cost,-0.010972533333333336,0.00205857981802109,480
1-150,all,regret,0.006762282628077935,0.0012724479137251102,480
1-150,caltech101_m,regret,0.007715924732845113,0.005256886279537354,60
1-150,coco_val,regret,0.00893874147960435,0.0020743362747910657,190
1-150,visual_genome_m,regret,0.004715562158182071,0.0015044468201502376,230
151-400,all,regret,0.009388475941666667,0.003058764878562764,480
151-400,caltech101_m,regret,0.0153887352,0.015087696574734112,60
151-400,coco_val,regret,0.0030600158947368416,0.0028586870485047817,190
151-400,visual_genome_m,regret,0.013051049217391303,0.004462288289664731,230
1-400,all,regret,0.008409681476271396,0.0021229117324503225,480
1-400,caltech101_m,regret,0.012545204813178175,0.01138920989979132,60
1-400,coco_val,regret,0.0052380061961718235,0.0020622979817065145,190
1-400,visual_genome_m,regret,0.009950928880638843,0.0028911620693821494,230
t20,all,regret,0.003839608333333333,0.00318901011008822,480
t40,all,regret,0.008373041666666666,0.002235835012657202,480
t80,all,regret,0.008998356249999999,0.002067411120112104,480
t150,all,regret,0.007085210416666666,0.002452990093569961,480
t200,all,regret,0.006331466666666666,0.0031188155625491596,480
t300,all,regret,0.011126081250000001,0.004717224150522953,480
t400,all,regret,0.012662574999999997,0.004965031620408002,480
1-150,all,average_precision,-0.001043246458247427,0.00197109864481119,480
1-150,caltech101_m,average_precision,-0.00013822755335011946,0.0001083828278617437,60
1-150,coco_val,average_precision,-0.00761739216353191,0.0037099754557896702,190
1-150,visual_genome_m,average_precision,0.004151477670927414,0.0025239140646426722,230
151-400,all,average_precision,-0.0017942108416666676,0.002355100461029234,480
151-400,caltech101_m,average_precision,0.0,0.0,60
151-400,coco_val,average_precision,-0.014494384736842107,0.004607140210890692,190
151-400,visual_genome_m,average_precision,0.00822918215652174,0.0021925771560966038,230
1-400,all,average_precision,-0.0015141163191048676,0.00194488928928749,480
1-400,caltech101_m,average_precision,-5.1182016957999436e-05,4.013173048205711e-05,60
1-400,coco_val,average_precision,-0.011945589235501677,0.003641579147720778,190
1-400,visual_genome_m,average_precision,0.006721552359097662,0.0020348723292086712,230
t20,all,average_precision,-0.0033772437500000016,0.003220167401843656,480
t40,all,average_precision,-0.004952314583333334,0.003175824022754808,480
t80,all,average_precision,0.0006855500000000012,0.0027913097002768518,480
t150,all,average_precision,-0.0016632124999999998,0.0024907020077712828,480
t200,all,average_precision,-0.0009658729166666667,0.002708688512156209,480
t300,all,average_precision,-0.0024281624999999986,0.0025194037366069485,480
t400,all,average_precision,-0.0007411791666666681,0.002576872281938951,480
1-150,all,auroc,0.0022642709230425257,0.0008216791345323461,480
1-150,caltech101_m,auroc,-1.4579915664895509e-05,9.785254203491819e-06,60
1-150,coco_val,auroc,9.756677958375467e-05,0.0010281707373964966,190
1-150,visual_genome_m,auroc,0.004648639782084316,0.0014191326831826396,230
151-400,all,auroc,0.004652698616666667,0.0008802781729202715,480
151-400,caltech101_m,auroc,0.0,0.0,60
151-400,coco_val,auroc,1.4243894736842844e-05,0.0009039780140562648,190
151-400,visual_genome_m,auroc,0.009698213026086956,0.0013314589670384467,230
1-400,all,auroc,0.0037685735892919727,0.0007394453032476706,480
1-400,caltech101_m,auroc,-5.3985593762980365e-06,3.623261858913425e-06,60
1-400,coco_val,auroc,4.526486945657791e-05,0.0007802810391896434,190
1-400,visual_genome_m,auroc,0.007828864831417282,0.0011366820161059117,230
t20,all,auroc,0.00025867708333333325,0.0016214361589570586,480
t40,all,auroc,-2.338333333333567e-05,0.001571107803644459,480
t80,all,auroc,0.002697066666666669,0.0012812624427112266,480
t150,all,auroc,0.003591122916666664,0.0009882314660515886,480
t200,all,auroc,0.003748585416666667,0.0009651773109725398,480
t300,all,auroc,0.004678868749999999,0.0009522227443780014,480
t400,all,auroc,0.006439129166666667,0.0013168009404806386,480
1-150,all,n_good,-0.7872173440919868,0.27468733698904196,480
1-150,caltech101_m,n_good,-0.07337874371918503,0.19358744418646884,60
1-150,coco_val,n_good,-1.9949878774288938,0.5692435295473752,190
1-150,visual_genome_m,n_good,0.024287374654292097,0.2560848250886946,230
151-400,all,n_good,-1.6964666666666666,0.7798122043533813,480
151-400,caltech101_m,n_good,-0.019600000000000107,0.19695533411503133,60
151-400,coco_val,n_good,-4.784105263157896,1.7315518097031652,190
151-400,visual_genome_m,n_good,0.4167478260869566,0.5913257716437192,230
1-400,all,n_good,-1.3593448399011876,0.5614043688719449,480
1-400,caltech101_m,n_good,-0.03950770310852252,0.19419945179382123,60
1-400,coco_val,n_good,-3.7505247836201976,1.2384548867437117,190
1-400,visual_genome_m,n_good,0.2716723822686033,0.412596034144559,230
t20,all,n_good,-0.06666666666666667,0.08152422235390752,480
t40,all,n_good,-0.035416666666666666,0.15551258739787363,480
t80,all,n_good,-0.88125,0.35198158500724225,480
t150,all,n_good,-1.78125,0.6338830356231955,480
t200,all,n_good,-2.09375,0.8347967140136994,480
t300,all,n_good,-1.5145833333333334,0.8195299508119137,480
t400,all,n_good,-1.425,0.8487826680274873,480
