t,C,test_oracle_cost,test_ap,test_auroc,train_auroc,active_frac,wnorm,app_auroc,cv_auroc,ds
5,0.001,0.3598,0.4679,0.8448,1.0,1.0,0.0035,0.8416,0.8416,all
5,0.003,0.3598,0.4679,0.8448,1.0,1.0,0.0104,0.8416,0.8416,all
5,0.01,0.3597,0.4679,0.8448,1.0,1.0,0.0344,0.8416,0.8427,all
5,0.03,0.3597,0.4677,0.8449,1.0,1.0,0.1006,0.8416,0.8427,all
5,0.1,0.3594,0.4675,0.845,1.0,1.0,0.3085,0.8416,0.8427,all
5,0.3,0.3592,0.4672,0.8449,1.0,1.0,0.7563,0.8416,0.8427,all
5,1.0,0.3598,0.4665,0.8445,1.0,1.0,1.5535,0.8416,0.8427,all
5,3.0,0.361,0.4661,0.8437,1.0,1.0,2.2546,0.8427,0.8438,all
5,10.0,0.3627,0.4658,0.8428,1.0,1.0,2.7089,0.8427,0.8449,all
5,30.0,0.3635,0.4658,0.8424,1.0,0.9996,2.8876,0.8449,0.8449,all
10,0.001,0.2935,0.5379,0.8834,0.9997,1.0,0.0053,0.8316,0.8345,all
10,0.003,0.2936,0.5378,0.8833,0.9997,1.0,0.0158,0.8321,0.8345,all
10,0.01,0.2939,0.5376,0.8831,0.9998,1.0,0.0519,0.8316,0.8345,all
10,0.03,0.2947,0.5371,0.8828,0.9999,1.0,0.1506,0.8321,0.8338,all
10,0.1,0.2956,0.5368,0.8824,0.9999,1.0,0.4539,0.8326,0.8345,all
10,0.3,0.296,0.537,0.8821,1.0,1.0,1.0836,0.8316,0.8333,all
10,1.0,0.298,0.5363,0.8811,1.0,1.0,2.1543,0.8342,0.8326,all
10,3.0,0.3022,0.5332,0.879,1.0,0.9998,3.083,0.8332,0.8329,all
10,10.0,0.3074,0.5285,0.8764,1.0,0.994,3.7079,0.8316,0.8318,all
10,30.0,0.3102,0.5262,0.8749,1.0,0.9896,3.9659,0.8311,0.8303,all
15,0.001,0.2738,0.5653,0.8947,0.9994,1.0,0.0069,0.8103,0.8085,all
15,0.003,0.274,0.5654,0.8947,0.9994,1.0,0.0207,0.8102,0.8085,all
15,0.01,0.2742,0.5653,0.8945,0.9994,1.0,0.0678,0.8093,0.8073,all
15,0.03,0.2746,0.5653,0.8943,0.9995,1.0,0.1951,0.8087,0.8065,all
15,0.1,0.2747,0.5656,0.8941,0.9996,1.0,0.5796,0.8097,0.8071,all
15,0.3,0.2749,0.5663,0.8939,0.9998,1.0,1.3492,0.8108,0.8078,all
15,1.0,0.2776,0.5655,0.8926,1.0,1.0,2.5935,0.8103,0.8107,all
15,3.0,0.2833,0.5611,0.8898,1.0,0.9961,3.6389,0.812,0.813,all
15,10.0,0.2893,0.5555,0.8864,1.0,0.9747,4.3465,0.8112,0.8118,all
15,30.0,0.2927,0.552,0.8845,1.0,0.9608,4.6444,0.8115,0.8121,all
20,0.001,0.2653,0.5788,0.8982,0.9986,1.0,0.0085,0.7963,0.7969,all
20,0.003,0.2654,0.5788,0.8982,0.9987,1.0,0.0253,0.7952,0.797,all
20,0.01,0.2657,0.5788,0.898,0.9988,1.0,0.0824,0.7938,0.796,all
20,0.03,0.266,0.5788,0.8978,0.999,1.0,0.236,0.7931,0.7957,all
20,0.1,0.2661,0.5793,0.8977,0.9993,1.0,0.6918,0.794,0.7965,all
20,0.3,0.2663,0.5801,0.8975,0.9997,1.0,1.5745,0.7952,0.7984,all
20,1.0,0.2694,0.5795,0.8958,1.0,0.9998,2.9462,0.8004,0.8026,all
20,3.0,0.2756,0.5751,0.8926,1.0,0.9859,4.0793,0.8044,0.8069,all
20,10.0,0.2827,0.5691,0.8891,1.0,0.9508,4.8568,0.806,0.8098,all
20,30.0,0.2863,0.5652,0.8873,1.0,0.9288,5.1904,0.8074,0.8094,all
30,0.001,0.25,0.5963,0.9057,0.9977,1.0,0.0115,0.7692,0.7786,all
30,0.003,0.2501,0.5965,0.9056,0.9977,1.0,0.0341,0.7696,0.7783,all
30,0.01,0.2504,0.5966,0.9054,0.9978,1.0,0.1107,0.7687,0.7766,all
30,0.03,0.2505,0.5969,0.9053,0.9982,1.0,0.3137,0.768,0.7762,all
30,0.1,0.2504,0.5979,0.9053,0.999,1.0,0.8953,0.7695,0.7775,all
30,0.3,0.2506,0.5991,0.9051,0.9996,1.0,1.9524,0.7744,0.7826,all
30,1.0,0.2545,0.5973,0.903,1.0,0.9965,3.488,0.782,0.7931,all
30,3.0,0.2605,0.5924,0.8995,1.0,0.957,4.7313,0.7908,0.8044,all
30,10.0,0.2673,0.5862,0.8961,1.0,0.8997,5.6101,0.7955,0.8106,all
30,30.0,0.2712,0.5822,0.8943,1.0,0.8715,6.0034,0.7974,0.8124,all
40,0.001,0.2392,0.6077,0.9117,0.9954,1.0,0.0144,0.7701,0.7814,all
40,0.003,0.2394,0.6077,0.9116,0.9955,1.0,0.0428,0.7696,0.7812,all
40,0.01,0.2396,0.6079,0.9115,0.9957,1.0,0.1382,0.769,0.7811,all
40,0.03,0.2396,0.6086,0.9115,0.9965,1.0,0.3875,0.7687,0.781,all
40,0.1,0.239,0.61,0.9117,0.998,1.0,1.0765,0.7711,0.784,all
40,0.3,0.2396,0.6118,0.9113,0.9993,0.9999,2.2594,0.7778,0.789,all
40,1.0,0.2438,0.6103,0.9088,0.9999,0.9897,3.8985,0.788,0.8022,all
40,3.0,0.2506,0.6056,0.9052,1.0,0.9289,5.2315,0.7984,0.8143,all
40,10.0,0.258,0.5989,0.9015,1.0,0.8572,6.2166,0.8069,0.8216,all
40,30.0,0.262,0.5946,0.8997,1.0,0.8196,6.6787,0.8084,0.8238,all
60,0.001,0.2225,0.6165,0.9202,0.9903,1.0,0.0204,0.7958,0.797,all
60,0.003,0.2224,0.6167,0.9201,0.9905,1.0,0.0601,0.7948,0.797,all
60,0.01,0.2225,0.6172,0.9201,0.9912,1.0,0.1924,0.7942,0.796,all
60,0.03,0.2223,0.6186,0.9203,0.9929,1.0,0.5282,0.7941,0.7969,all
60,0.1,0.2218,0.6216,0.9207,0.996,1.0,1.3956,0.7969,0.7999,all
60,0.3,0.2229,0.6238,0.92,0.9987,0.9999,2.7505,0.8056,0.8074,all
60,1.0,0.2279,0.6226,0.9169,0.9999,0.9669,4.5085,0.8195,0.8234,all
60,3.0,0.2369,0.6177,0.9125,1.0,0.8755,5.9595,0.8295,0.837,all
60,10.0,0.2458,0.6114,0.9085,1.0,0.7729,7.1032,0.8343,0.8434,all
60,30.0,0.2504,0.6072,0.9063,1.0,0.7221,7.6749,0.8352,0.8448,all
80,0.001,0.2149,0.6256,0.924,0.9858,1.0,0.0255,0.7841,0.7909,all
80,0.003,0.2149,0.6259,0.924,0.9861,1.0,0.0749,0.783,0.7897,all
80,0.01,0.2146,0.6267,0.9241,0.987,1.0,0.2378,0.7827,0.7898,all
80,0.03,0.2138,0.6285,0.9245,0.9893,1.0,0.6426,0.7833,0.7914,all
80,0.1,0.2127,0.632,0.9249,0.9937,1.0,1.641,0.7885,0.7977,all
80,0.3,0.214,0.6346,0.9241,0.9978,0.9991,3.1261,0.7987,0.8091,all
80,1.0,0.2202,0.6332,0.9205,0.9997,0.9489,5.0304,0.8158,0.8274,all
80,3.0,0.2295,0.6276,0.9159,1.0,0.8275,6.6641,0.8302,0.8418,all
80,10.0,0.238,0.6202,0.912,1.0,0.7099,8.0236,0.836,0.8485,all
80,30.0,0.243,0.6152,0.9098,1.0,0.6568,8.7354,0.8368,0.8497,all
100,0.001,0.2151,0.6288,0.9248,0.9789,1.0,0.0301,0.7803,0.7928,all
100,0.003,0.2151,0.6292,0.9248,0.9793,1.0,0.0882,0.7796,0.7924,all
100,0.01,0.2144,0.6303,0.925,0.9807,1.0,0.2784,0.7791,0.792,all
100,0.03,0.2131,0.6331,0.9256,0.9841,1.0,0.7406,0.7804,0.7941,all
100,0.1,0.2105,0.6379,0.9265,0.9906,1.0,1.8394,0.7859,0.8012,all
100,0.3,0.2103,0.6413,0.9259,0.9966,0.9975,3.427,0.7989,0.8144,all
100,1.0,0.2168,0.6395,0.922,0.9995,0.9308,5.4857,0.8184,0.8328,all
100,3.0,0.2262,0.6338,0.9174,1.0,0.7889,7.3425,0.8326,0.8471,all
100,10.0,0.2347,0.6262,0.9134,1.0,0.6664,8.9816,0.8381,0.853,all
100,30.0,0.2396,0.6206,0.9112,1.0,0.6091,9.8877,0.8385,0.8535,all
120,0.001,0.2113,0.6318,0.9259,0.972,1.0,0.0345,0.7963,0.7927,all
120,0.003,0.2113,0.6326,0.926,0.9726,1.0,0.1008,0.7956,0.7922,all
120,0.01,0.2107,0.6341,0.9263,0.9746,1.0,0.316,0.7959,0.7924,all
120,0.03,0.2089,0.6374,0.9272,0.9791,1.0,0.8288,0.7981,0.7945,all
120,0.1,0.2054,0.6431,0.9283,0.9876,1.0,2.0102,0.8054,0.8021,all
120,0.3,0.2062,0.6473,0.9278,0.9951,0.9954,3.6841,0.8163,0.8156,all
120,1.0,0.2129,0.6452,0.9239,0.9992,0.9128,5.8917,0.8315,0.8342,all
120,3.0,0.2228,0.6392,0.9191,1.0,0.7566,7.9747,0.8434,0.8468,all
120,10.0,0.2323,0.6309,0.9149,1.0,0.6304,9.9149,0.8467,0.852,all
120,30.0,0.2385,0.6249,0.9124,1.0,0.5725,11.0457,0.8468,0.8519,all
150,0.001,0.2087,0.6378,0.9273,0.9627,1.0,0.0409,0.7962,0.7959,all
150,0.003,0.2087,0.6385,0.9274,0.9636,1.0,0.1191,0.7962,0.7957,all
150,0.01,0.2077,0.6403,0.9279,0.9662,1.0,0.3693,0.7966,0.7966,all
150,0.03,0.2051,0.6447,0.9291,0.9722,1.0,0.9489,0.7994,0.8001,all
150,0.1,0.201,0.6516,0.9306,0.9834,1.0,2.2319,0.8074,0.8094,all
150,0.3,0.2012,0.6556,0.93,0.9932,0.9917,4.0127,0.8204,0.8232,all
150,1.0,0.2087,0.6536,0.9259,0.9987,0.8807,6.4239,0.8357,0.8413,all
150,3.0,0.2189,0.647,0.9213,0.9999,0.7183,8.8362,0.845,0.8531,all
150,10.0,0.2293,0.6379,0.917,1.0,0.5907,11.2339,0.848,0.8579,all
