geometry,mode,band,k,metric,delta,se,n_cells,n_steps,win_rate,resolved,beats_margin
dinov3_patch/max_patch,region,deep 101-150,1,cost,0.0016777225,0.0014304451406136939,48,2400,0.4166666666666667,False,False
dinov3_patch/max_patch,region,deep 101-150,3,cost,-0.001390296666666667,0.0006662040458801629,48,2400,0.5833333333333334,True,False
dinov3_patch/max_patch,region,deep 101-150,4,cost,-0.0018922687499999997,0.0008128610427521242,48,2400,0.6458333333333334,True,False
dinov3_patch/max_patch,region,deep 101-150,6,cost,-0.0028005375,0.001048439924700131,48,2400,0.6875,True,False
dinov3_patch/max_patch,region,deep 101-150,8,cost,-0.0033007954166666665,0.0012338250137410814,48,2400,0.7291666666666666,True,False
dinov3_patch/max_patch,region,early 1-25,1,cost,0.008269471230158728,0.0014335241146857284,48,1008,0.22916666666666666,True,False
dinov3_patch/max_patch,region,early 1-25,3,cost,-0.002469348214285714,0.0006125706819463285,48,1008,0.75,True,False
dinov3_patch/max_patch,region,early 1-25,4,cost,-0.00392093253968254,0.0009647160188526539,48,1008,0.7708333333333334,True,False
dinov3_patch/max_patch,region,early 1-25,6,cost,-0.005737285714285716,0.0012363989965601405,48,1008,0.8541666666666666,True,True
dinov3_patch/max_patch,region,early 1-25,8,cost,-0.006576252976190478,0.0013928345912149185,48,1008,0.8333333333333334,True,True
dinov3_patch/max_patch,region,late 61-100,1,cost,0.007595271874999999,0.0021381018020260527,48,1920,0.25,True,False
dinov3_patch/max_patch,region,late 61-100,3,cost,-0.0012475088541666658,0.0007255951998504046,48,1920,0.5833333333333334,False,False
dinov3_patch/max_patch,region,late 61-100,4,cost,-0.0009521463541666671,0.000903622394674546,48,1920,0.5625,False,False
dinov3_patch/max_patch,region,late 61-100,6,cost,-0.000838100520833333,0.0011691238090260295,48,1920,0.5208333333333334,False,False
dinov3_patch/max_patch,region,late 61-100,8,cost,-0.0016869166666666666,0.0012420961132107585,48,1920,0.5833333333333334,False,False
dinov3_patch/max_patch,region,mid 26-60,1,cost,0.0050074386904761905,0.0021523368589168057,48,1680,0.375,True,False
dinov3_patch/max_patch,region,mid 26-60,3,cost,-0.0022324630952380953,0.0008813114087835209,48,1680,0.6875,True,False
dinov3_patch/max_patch,region,mid 26-60,4,cost,-0.004288285714285715,0.0011513426605308302,48,1680,0.8541666666666666,True,False
dinov3_patch/max_patch,region,mid 26-60,6,cost,-0.005138869047619048,0.0016301242753651462,48,1680,0.7916666666666666,True,True
dinov3_patch/max_patch,region,mid 26-60,8,cost,-0.0053960499999999995,0.0018907186385971025,48,1680,0.7708333333333334,True,True
dinov3_patch/whole_image,binary,deep 101-150,1,cost,0.0037294525000000005,0.0015687015101366094,48,2400,0.3958333333333333,True,False
dinov3_patch/whole_image,binary,deep 101-150,3,cost,-0.0009211454166666661,0.0004532788653312436,48,2400,0.5625,True,False
dinov3_patch/whole_image,binary,deep 101-150,4,cost,-0.0013501545833333334,0.0005280132759686667,48,2400,0.6875,True,False
dinov3_patch/whole_image,binary,deep 101-150,6,cost,-0.001324752916666667,0.0006814053243183803,48,2400,0.6041666666666666,False,False
dinov3_patch/whole_image,binary,deep 101-150,8,cost,-0.0015453799999999992,0.0008475200719916673,48,2400,0.6041666666666666,False,False
dinov3_patch/whole_image,binary,early 1-25,1,cost,0.007394330357142855,0.001973399539090494,48,1008,0.3958333333333333,True,False
dinov3_patch/whole_image,binary,early 1-25,3,cost,-0.002892688492063493,0.000872823884044102,48,1008,0.625,True,False
dinov3_patch/whole_image,binary,early 1-25,4,cost,-0.004226081349206348,0.0012855648498278497,48,1008,0.6875,True,False
dinov3_patch/whole_image,binary,early 1-25,6,cost,-0.0055588164682539715,0.001576594353454167,48,1008,0.75,True,True
dinov3_patch/whole_image,binary,early 1-25,8,cost,-0.005679272817460318,0.0016856834715148251,48,1008,0.7291666666666666,True,True
dinov3_patch/whole_image,binary,late 61-100,1,cost,0.005404542708333332,0.001373629186341373,48,1920,0.16666666666666666,True,False
dinov3_patch/whole_image,binary,late 61-100,3,cost,-0.0021094057291666675,0.0005475117834149011,48,1920,0.6875,True,False
dinov3_patch/whole_image,binary,late 61-100,4,cost,-0.0031303640625,0.0007532247824201899,48,1920,0.7708333333333334,True,False
dinov3_patch/whole_image,binary,late 61-100,6,cost,-0.00409085625,0.0008594616641655323,48,1920,0.7916666666666666,True,False
dinov3_patch/whole_image,binary,late 61-100,8,cost,-0.004625103124999999,0.0009340111158344759,48,1920,0.8541666666666666,True,False
dinov3_patch/whole_image,binary,mid 26-60,1,cost,0.004868813095238095,0.0013002948454403026,48,1680,0.20833333333333334,True,False
dinov3_patch/whole_image,binary,mid 26-60,3,cost,-0.0026376690476190476,0.0005372713670069751,48,1680,0.8125,True,False
dinov3_patch/whole_image,binary,mid 26-60,4,cost,-0.0028404077380952387,0.0007170155741300393,48,1680,0.7708333333333334,True,False
dinov3_patch/whole_image,binary,mid 26-60,6,cost,-0.003775795833333333,0.0009020320871781448,48,1680,0.75,True,False
dinov3_patch/whole_image,binary,mid 26-60,8,cost,-0.004484023214285714,0.0011489596430723505,48,1680,0.7291666666666666,True,False
siglip/whole_image,binary,deep 101-150,1,cost,-0.00046586833333333227,0.0008875393940955214,48,2400,0.5625,False,False
siglip/whole_image,binary,deep 101-150,3,cost,-0.0007314095833333333,0.0005051618435546418,48,2400,0.5833333333333334,False,False
siglip/whole_image,binary,deep 101-150,4,cost,-0.0010196612499999995,0.0006064417401458855,48,2400,0.5625,False,False
siglip/whole_image,binary,deep 101-150,6,cost,-0.0011645420833333324,0.0007382278069439745,48,2400,0.6666666666666666,False,False
siglip/whole_image,binary,deep 101-150,8,cost,-0.0012070374999999995,0.00082774760329214,48,2400,0.6041666666666666,False,False
siglip/whole_image,binary,early 1-25,1,cost,0.0037278164682539674,0.000927242056272817,48,1008,0.2916666666666667,True,False
siglip/whole_image,binary,early 1-25,3,cost,-0.0005627460317460335,0.0004705586970755835,48,1008,0.5833333333333334,False,False
siglip/whole_image,binary,early 1-25,4,cost,-0.000803888888888888,0.0007930402367215996,48,1008,0.625,False,False
siglip/whole_image,binary,early 1-25,6,cost,-0.001549351190476192,0.001047013690531568,48,1008,0.7083333333333334,False,False
siglip/whole_image,binary,early 1-25,8,cost,-0.0015497371031746032,0.0009729641604765404,48,1008,0.6875,False,False
siglip/whole_image,binary,late 61-100,1,cost,0.0021039333333333337,0.0009045558706149294,48,1920,0.375,True,False
siglip/whole_image,binary,late 61-100,3,cost,-2.555624999999949e-05,0.00039750800069693836,48,1920,0.4375,False,False
siglip/whole_image,binary,late 61-100,4,cost,9.292708333333765e-06,0.0005468794892753301,48,1920,0.4791666666666667,False,False
siglip/whole_image,binary,late 61-100,6,cost,0.00036729479166666625,0.0006938146099328259,48,1920,0.5,False,False
siglip/whole_image,binary,late 61-100,8,cost,0.0004368989583333335,0.0007183483378933194,48,1920,0.5208333333333334,False,False
siglip/whole_image,binary,mid 26-60,1,cost,0.0015055065476190473,0.0008063906364775068,48,1680,0.375,False,False
siglip/whole_image,binary,mid 26-60,3,cost,-0.0006078535714285718,0.00044913781824813836,48,1680,0.6041666666666666,False,False
siglip/whole_image,binary,mid 26-60,4,cost,-0.0016282571428571431,0.0005869646095618453,48,1680,0.6875,True,False
siglip/whole_image,binary,mid 26-60,6,cost,-0.0019201089285714285,0.0007032171358394404,48,1680,0.7083333333333334,True,False
siglip/whole_image,binary,mid 26-60,8,cost,-0.0018382928571428576,0.0007746988219216162,48,1680,0.6666666666666666,True,False
