geometry,mode,band,k,metric,delta,se,n_cells,n_steps,win_rate,resolved,beats_margin
dinov3_patch/max_patch,region,deep 101-150,1,regret_honest,0.0016777433333333331,0.001432340211227719,48,2400,0.4166666666666667,False,False
dinov3_patch/max_patch,region,deep 101-150,3,regret_honest,-0.0013903020833333335,0.0006688014846006247,48,2400,0.5833333333333334,True,False
dinov3_patch/max_patch,region,deep 101-150,4,regret_honest,-0.0018922654166666664,0.0007949602492820139,48,2400,0.6458333333333334,True,False
dinov3_patch/max_patch,region,deep 101-150,6,regret_honest,-0.002800542083333333,0.0010429956343587798,48,2400,0.6875,True,False
dinov3_patch/max_patch,region,deep 101-150,8,regret_honest,-0.0033007795833333332,0.0012589252821766862,48,2400,0.7291666666666666,True,False
dinov3_patch/max_patch,region,early 1-25,1,regret_honest,0.008269463293650794,0.0014519777460551958,48,1008,0.22916666666666666,True,False
dinov3_patch/max_patch,region,early 1-25,3,regret_honest,-0.0024693829365079363,0.0006391062923044121,48,1008,0.75,True,False
dinov3_patch/max_patch,region,early 1-25,4,regret_honest,-0.003920962301587301,0.0009384074211302262,48,1008,0.7708333333333334,True,False
dinov3_patch/max_patch,region,early 1-25,6,regret_honest,-0.005737297619047618,0.001239304367027445,48,1008,0.8541666666666666,True,True
dinov3_patch/max_patch,region,early 1-25,8,regret_honest,-0.006576259920634921,0.0013412749439749498,48,1008,0.8333333333333334,True,True
dinov3_patch/max_patch,region,late 61-100,1,regret_honest,0.007595246354166667,0.0021387427734330293,48,1920,0.25,True,False
dinov3_patch/max_patch,region,late 61-100,3,regret_honest,-0.0012475161458333332,0.0007142237261807512,48,1920,0.5833333333333334,False,False
dinov3_patch/max_patch,region,late 61-100,4,regret_honest,-0.0009521536458333336,0.0009078885378160277,48,1920,0.5625,False,False
dinov3_patch/max_patch,region,late 61-100,6,regret_honest,-0.0008381098958333337,0.0011586544448356328,48,1920,0.5208333333333334,False,False
dinov3_patch/max_patch,region,late 61-100,8,regret_honest,-0.0016869234374999997,0.0011662890549819483,48,1920,0.5833333333333334,False,False
dinov3_patch/max_patch,region,mid 26-60,1,regret_honest,0.005007427976190477,0.0021154754694885708,48,1680,0.375,True,False
dinov3_patch/max_patch,region,mid 26-60,3,regret_honest,-0.002232477976190476,0.0008681308796834351,48,1680,0.6875,True,False
dinov3_patch/max_patch,region,mid 26-60,4,regret_honest,-0.004288287500000001,0.001154541582709765,48,1680,0.8541666666666666,True,False
dinov3_patch/max_patch,region,mid 26-60,6,regret_honest,-0.005138883928571428,0.0016542792719843504,48,1680,0.7916666666666666,True,True
dinov3_patch/max_patch,region,mid 26-60,8,regret_honest,-0.005396078571428572,0.0018823782138798265,48,1680,0.7708333333333334,True,True
dinov3_patch/whole_image,binary,deep 101-150,1,regret_honest,0.003729458333333334,0.001490677977363524,48,2400,0.3958333333333333,True,False
dinov3_patch/whole_image,binary,deep 101-150,3,regret_honest,-0.0009211466666666667,0.00044866087919060745,48,2400,0.5625,True,False
dinov3_patch/whole_image,binary,deep 101-150,4,regret_honest,-0.0013501587500000002,0.000514151744970847,48,2400,0.6875,True,False
dinov3_patch/whole_image,binary,deep 101-150,6,regret_honest,-0.0013247433333333336,0.0007024956585475167,48,2400,0.6041666666666666,False,False
dinov3_patch/whole_image,binary,deep 101-150,8,regret_honest,-0.00154536875,0.0008266376385870059,48,2400,0.6041666666666666,False,False
dinov3_patch/whole_image,binary,early 1-25,1,regret_honest,0.007394343253968254,0.002028798885039131,48,1008,0.3958333333333333,True,False
dinov3_patch/whole_image,binary,early 1-25,3,regret_honest,-0.002892719246031746,0.0008860328260357689,48,1008,0.625,True,False
dinov3_patch/whole_image,binary,early 1-25,4,regret_honest,-0.004226073412698413,0.0012764171574494785,48,1008,0.6875,True,False
dinov3_patch/whole_image,binary,early 1-25,6,regret_honest,-0.005558795634920635,0.0015879234560049514,48,1008,0.75,True,True
dinov3_patch/whole_image,binary,early 1-25,8,regret_honest,-0.005679287698412698,0.0016363782523982858,48,1008,0.7291666666666666,True,True
dinov3_patch/whole_image,binary,late 61-100,1,regret_honest,0.005404588020833333,0.0013797087709177926,48,1920,0.16666666666666666,True,False
dinov3_patch/whole_image,binary,late 61-100,3,regret_honest,-0.0021093666666666664,0.0005489014298883945,48,1920,0.6875,True,False
dinov3_patch/whole_image,binary,late 61-100,4,regret_honest,-0.0031303046875,0.0007325874173068543,48,1920,0.7708333333333334,True,False
dinov3_patch/whole_image,binary,late 61-100,6,regret_honest,-0.004090811979166667,0.0008681073090754787,48,1920,0.7916666666666666,True,False
dinov3_patch/whole_image,binary,late 61-100,8,regret_honest,-0.004625061979166667,0.0009229544681509559,48,1920,0.8541666666666666,True,False
dinov3_patch/whole_image,binary,mid 26-60,1,regret_honest,0.0048688244047619044,0.0012930989622768315,48,1680,0.20833333333333334,True,False
dinov3_patch/whole_image,binary,mid 26-60,3,regret_honest,-0.0026376744047619046,0.0005406791369500405,48,1680,0.8125,True,False
dinov3_patch/whole_image,binary,mid 26-60,4,regret_honest,-0.0028404047619047614,0.000715502203272852,48,1680,0.7708333333333334,True,False
dinov3_patch/whole_image,binary,mid 26-60,6,regret_honest,-0.003775795238095238,0.0009106575714693681,48,1680,0.75,True,False
dinov3_patch/whole_image,binary,mid 26-60,8,regret_honest,-0.004484010714285714,0.0011386217061000574,48,1680,0.7291666666666666,True,False
siglip/whole_image,binary,deep 101-150,1,regret_honest,-0.0004658616666666666,0.000909689742088538,48,2400,0.5625,False,False
siglip/whole_image,binary,deep 101-150,3,regret_honest,-0.0007314166666666667,0.0005098680239922031,48,2400,0.5833333333333334,False,False
