dataset,category,seed,geometry,t,threshold_k2,cost_k2,fpr_k2,fnr_k2,n_flagged_k2,n_votes_k2,n_folds_used_k2,threshold_k8,cost_k8,fpr_k8,fnr_k8,n_flagged_k8,n_votes_k8,n_folds_used_k8,d_cost,d_threshold
vg_scale_any,bus,2,dinov3_patch/max_patch,55,0.560225,0.455897,0.009231,0.446667,101.0,55,2.0,0.465705,0.220513,0.053846,0.166667,230.0,55,8.0,-0.235384,-0.09451999999999999
vg_scale_any,bird,1,dinov3_patch/max_patch,9,0.456086,0.634546,0.411525,0.223022,915.0,9,2.0,0.467537,0.443028,0.191229,0.251799,479.0,9,8.0,-0.19151800000000008,0.011450999999999989
vg_scale_any,bus,2,dinov3_patch/max_patch,29,0.507424,0.440513,0.020513,0.42,127.0,29,2.0,0.416924,0.252821,0.099487,0.153333,321.0,29,8.0,-0.18769199999999997,-0.09049999999999997
vg_scale_any,backpack,3,dinov3_patch/max_patch,42,0.394321,0.507115,0.467899,0.039216,1058.0,42,2.0,0.425451,0.361612,0.243965,0.117647,610.0,42,8.0,-0.145503,0.031130000000000047
vg_scale_any,bird,2,dinov3_patch/max_patch,48,0.565176,0.406942,0.001537,0.405405,91.0,48,2.0,0.490737,0.263223,0.01998,0.243243,151.0,48,8.0,-0.14371900000000004,-0.07443900000000003
vg_scale_any,kite,2,dinov3_patch/max_patch,39,0.379154,0.385823,0.364844,0.020979,854.0,39,2.0,0.405045,0.246835,0.225856,0.020979,582.0,39,8.0,-0.13898800000000003,0.025890999999999997
vg_scale_any,kite,2,dinov3_patch/max_patch,42,0.375109,0.384962,0.370976,0.013986,867.0,42,2.0,0.404837,0.246674,0.218702,0.027972,567.0,42,8.0,-0.13828800000000002,0.029727999999999977
vg_scale_any,bird,1,dinov3_patch/max_patch,6,0.445296,0.735255,0.612953,0.122302,1324.0,6,2.0,0.452738,0.598685,0.397246,0.201439,890.0,6,8.0,-0.13656999999999997,0.007441999999999949
vg_scale_any,kite,2,dinov3_patch/max_patch,43,0.374156,0.382407,0.368421,0.013986,862.0,43,2.0,0.402211,0.250762,0.22279,0.027972,575.0,43,8.0,-0.131645,0.028054999999999997
vg_scale_any,boat,1,dinov3_patch/max_patch,12,0.516458,0.279196,0.01023,0.268966,126.0,12,2.0,0.484417,0.148196,0.037852,0.110345,203.0,12,8.0,-0.131,-0.032040999999999986
vg_scale_any,backpack,2,dinov3_patch/max_patch,29,0.515272,0.533742,0.033742,0.5,138.0,29,2.0,0.440065,0.404823,0.168712,0.236111,440.0,29,8.0,-0.12891900000000006,-0.07520699999999997
vg_scale_any,bicycle,3,dinov3_patch/max_patch,21,0.407167,0.545918,0.345918,0.2,790.0,21,2.0,0.434275,0.42398,0.166837,0.257143,431.0,21,8.0,-0.12193799999999999,0.02710800000000002
vg_scale_any,kite,1,dinov3_patch/whole_image,6,0.418023,0.952796,0.952796,0.0,2008.0,6,2.0,0.474345,0.550909,0.531042,0.019868,1183.0,6,8.0,-0.401887,0.05632200000000004
vg_scale_any,kite,2,dinov3_patch/whole_image,6,0.468799,0.300953,0.189065,0.111888,497.0,6,2.0,0.455509,0.496414,0.44047,0.055944,997.0,6,8.0,0.195461,-0.013290000000000024
vg_scale_any,kite,0,dinov3_patch/whole_image,6,0.478214,0.205301,0.082602,0.122699,303.0,6,2.0,0.461543,0.399106,0.350026,0.04908,833.0,6,8.0,0.193805,-0.01667099999999999
vg_scale_any,stop sign,1,dinov3_patch/whole_image,5,0.491014,0.710263,0.540195,0.170068,1177.0,5,2.0,0.501256,0.516934,0.312852,0.204082,728.0,5,8.0,-0.19332899999999997,0.010242000000000029
vg_scale_any,bus,1,dinov3_patch/whole_image,7,0.443977,0.8183,0.710917,0.107383,1520.0,7,2.0,0.459932,0.627935,0.406458,0.221477,909.0,7,8.0,-0.190365,0.015954999999999997
