geometry,mode,band,arm,fraction,mean,sd,n_cells,metric
dinov3_patch/max_patch,region,deep 101-150,0.30,0.3,0.22688687416666667,0.0847254505902611,48,cost
dinov3_patch/max_patch,region,deep 101-150,0.40,0.4,0.22579937625000002,0.08416556529280744,48,cost
dinov3_patch/max_patch,region,deep 101-150,0.50,0.5,0.22343510666666666,0.07916599230823997,48,cost
dinov3_patch/max_patch,region,deep 101-150,0.60,0.6,0.22403115875000001,0.0811587326608819,48,cost
dinov3_patch/max_patch,region,deep 101-150,0.70,0.7,0.2335909225,0.07764678838077471,48,cost
dinov3_patch/max_patch,region,early 1-25,0.30,0.3,0.34925329252786014,0.10529761280011819,48,cost
dinov3_patch/max_patch,region,early 1-25,0.40,0.4,0.35178601609848487,0.11247508265117032,48,cost
dinov3_patch/max_patch,region,early 1-25,0.50,0.5,0.3611617916666667,0.10872799465949558,48,cost
dinov3_patch/max_patch,region,early 1-25,0.60,0.6,0.3540978032395971,0.10266895281620957,48,cost
dinov3_patch/max_patch,region,early 1-25,0.70,0.7,0.36154807051493193,0.10702078525648848,48,cost
dinov3_patch/max_patch,region,late 61-100,0.30,0.3,0.23314036562499998,0.08317342492573516,48,cost
dinov3_patch/max_patch,region,late 61-100,0.40,0.4,0.2347713296875,0.08496886722622099,48,cost
dinov3_patch/max_patch,region,late 61-100,0.50,0.5,0.23632430104166668,0.08700041319917347,48,cost
dinov3_patch/max_patch,region,late 61-100,0.60,0.6,0.23335097812500002,0.07954527027298662,48,cost
dinov3_patch/max_patch,region,late 61-100,0.70,0.7,0.24650745625,0.0817624833458494,48,cost
dinov3_patch/max_patch,region,mid 26-60,0.30,0.3,0.2573564547619048,0.08819937316079146,48,cost
dinov3_patch/max_patch,region,mid 26-60,0.40,0.4,0.2583653125,0.093866356647289,48,cost
dinov3_patch/max_patch,region,mid 26-60,0.50,0.5,0.2625086654761905,0.0959791398994764,48,cost
dinov3_patch/max_patch,region,mid 26-60,0.60,0.6,0.26873238273809524,0.09362060531882183,48,cost
dinov3_patch/max_patch,region,mid 26-60,0.70,0.7,0.270519825,0.09519409382374718,48,cost
dinov3_patch/whole_image,binary,deep 101-150,0.30,0.3,0.3906077079166667,0.12206367811751867,48,cost
dinov3_patch/whole_image,binary,deep 101-150,0.40,0.4,0.37292821625,0.12741841206318705,48,cost
dinov3_patch/whole_image,binary,deep 101-150,0.50,0.5,0.3629449370833333,0.12669303702044898,48,cost
