geometry,mode,band,fraction,delta,se,n_cells_paired,n_cells_arm,n_cells_incumbent,resolved,metric
clip/whole_image,binary,deep 101-150,0.3,-0.008283087916666668,0.006260772537800052,48,48,48,False,cost
clip/whole_image,binary,deep 101-150,0.4,-0.008168801666666675,0.006759395529158798,48,48,48,False,cost
clip/whole_image,binary,deep 101-150,0.6,0.003370547499999993,0.0067856563077888015,48,48,48,False,cost
clip/whole_image,binary,deep 101-150,0.7,0.009646380416666663,0.007282349077536342,48,48,48,False,cost
clip/whole_image,binary,early 1-25,0.3,-0.011455941555500665,0.005093492050783264,48,48,48,True,cost
clip/whole_image,binary,early 1-25,0.4,-0.010065886514602539,0.004527160839980666,48,48,48,True,cost
clip/whole_image,binary,early 1-25,0.6,0.01128733352204106,0.005729533648039014,48,48,48,False,cost
clip/whole_image,binary,early 1-25,0.7,0.013904619637269425,0.004489123049356826,48,48,48,True,cost
clip/whole_image,binary,late 61-100,0.3,-0.013005051041666662,0.008044831234733816,48,48,48,False,cost
clip/whole_image,binary,late 61-100,0.4,-0.010865493229166663,0.00845502905192109,48,48,48,False,cost
clip/whole_image,binary,late 61-100,0.6,0.0034343661458333366,0.00849390949555214,48,48,48,False,cost
clip/whole_image,binary,late 61-100,0.7,0.005353344791666673,0.00957290369507276,48,48,48,False,cost
clip/whole_image,binary,mid 26-60,0.3,-0.013714476190476185,0.007379965555047331,48,48,48,False,cost
clip/whole_image,binary,mid 26-60,0.4,-0.004184124404761899,0.007223977268097284,48,48,48,False,cost
clip/whole_image,binary,mid 26-60,0.6,0.003595189880952389,0.008561522350843561,48,48,48,False,cost
clip/whole_image,binary,mid 26-60,0.7,0.0006376226190476167,0.008220179467401141,48,48,48,False,cost
clip/whole_image,binary,deep 101-150,0.3,-0.0034049241666666667,0.0025701449772106556,48,48,48,False,regret_honest
clip/whole_image,binary,deep 101-150,0.4,-0.0030783712499999998,0.0024547560615737277,48,48,48,False,regret_honest
clip/whole_image,binary,deep 101-150,0.6,-0.001034285833333333,0.002261497169366964,48,48,48,False,regret_honest
clip/whole_image,binary,deep 101-150,0.7,0.00828679125,0.0024498247458704355,48,48,48,True,regret_honest
clip/whole_image,binary,early 1-25,0.3,-0.01342926140824001,0.0027719614706071677,48,48,48,True,regret_honest
clip/whole_image,binary,early 1-25,0.4,-0.008127174458580369,0.0029762054220063305,48,48,48,True,regret_honest
clip/whole_image,binary,early 1-25,0.6,0.010825420835391961,0.003511055116087852,48,48,48,True,regret_honest
clip/whole_image,binary,early 1-25,0.7,0.01993156210542929,0.0038260822423006233,48,48,48,True,regret_honest
clip/whole_image,binary,late 61-100,0.3,-0.0023792385416666665,0.002662797411619252,48,48,48,False,regret_honest
clip/whole_image,binary,late 61-100,0.4,-0.0027617838541666665,0.002500068854826234,48,48,48,False,regret_honest
clip/whole_image,binary,late 61-100,0.6,0.0015788807291666669,0.0030021612725111657,48,48,48,False,regret_honest
clip/whole_image,binary,late 61-100,0.7,0.005145769270833334,0.0031541838600916425,48,48,48,False,regret_honest
clip/whole_image,binary,mid 26-60,0.3,-0.006300679166666667,0.0026964485109969164,48,48,48,True,regret_honest
clip/whole_image,binary,mid 26-60,0.4,-0.0032146172619047617,0.002535519750630985,48,48,48,False,regret_honest
clip/whole_image,binary,mid 26-60,0.6,0.005226676190476191,0.002872428441515201,48,48,48,False,regret_honest
clip/whole_image,binary,mid 26-60,0.7,0.002247503571428571,0.0028506761697591108,48,48,48,False,regret_honest
