dataset,embedder,category,seed,supports_text,query,n_test,n_test_pos,prevalence,text_gmm_cut,text_cost,text_fpr,text_fnr,text_precision,text_recall,text_f1,text_oracle_cost,text_AP,text_auroc
vg_scale_any,clip,book,0,1,a book,2100,158,0.075238,0.181258,0.604479,0.389289,0.21519,0.140909,0.78481,0.238921,0.501577,0.392667,0.786668
vg_scale_any,clip,book,1,1,a book,2100,137,0.065238,0.181258,0.561151,0.37137,0.189781,0.132143,0.810219,0.227226,0.478952,0.419582,0.805065
vg_scale_any,clip,book,2,1,a book,2100,148,0.070476,0.181258,0.561434,0.385758,0.175676,0.139429,0.824324,0.238514,0.478414,0.439026,0.81745
vg_scale_any,clip,book,3,1,a book,2100,161,0.076667,0.181258,0.613517,0.383703,0.229814,0.142857,0.770186,0.241011,0.51064,0.412689,0.789698
vg_scale_any,clip,boat,0,1,a boat on the water,2100,141,0.067143,0.181057,0.220651,0.171006,0.049645,0.285714,0.950355,0.439344,0.185451,0.736169,0.955517
vg_scale_any,clip,boat,1,1,a boat on the water,2100,145,0.069048,0.181057,0.221677,0.173402,0.048276,0.289308,0.951724,0.44373,0.182732,0.780008,0.963425
vg_scale_any,clip,boat,2,1,a boat on the water,2100,152,0.072381,0.181057,0.23179,0.179158,0.052632,0.292089,0.947368,0.446512,0.174052,0.770856,0.957713
vg_scale_any,clip,boat,3,1,a boat on the water,2100,140,0.066667,0.181057,0.228061,0.178061,0.05,0.275934,0.95,0.427653,0.163776,0.782773,0.959898
vg_scale_any,clip,bicycle,0,1,a bicycle,2100,154,0.073333,0.192561,0.496356,0.334018,0.162338,0.165597,0.837662,0.276527,0.469635,0.534208,0.845357
vg_scale_any,clip,bicycle,1,1,a bicycle,2100,151,0.071905,0.192561,0.430182,0.317599,0.112583,0.177955,0.887417,0.29646,0.386644,0.568742,0.88089
vg_scale_any,clip,bicycle,2,1,a bicycle,2100,139,0.06619,0.192561,0.449741,0.320245,0.129496,0.161549,0.870504,0.272523,0.407841,0.556559,0.870148
vg_scale_any,clip,bicycle,3,1,a bicycle,2100,140,0.066667,0.192561,0.491327,0.319898,0.171429,0.156124,0.828571,0.262741,0.464286,0.538746,0.841039
vg_scale_any,clip,knife,0,1,a knife,2100,147,0.07,0.18812,0.626143,0.415259,0.210884,0.125135,0.789116,0.216015,0.550728,0.268863,0.773305
vg_scale_any,clip,knife,1,1,a knife,2100,155,0.07381,0.18812,0.650485,0.424679,0.225806,0.12685,0.774194,0.217984,0.59869,0.284768,0.760332
vg_scale_any,clip,knife,2,1,a knife,2100,149,0.070952,0.18812,0.648485,0.420297,0.228188,0.122995,0.771812,0.212177,0.611055,0.258373,0.747612
vg_scale_any,clip,knife,3,1,a knife,2100,142,0.067619,0.18812,0.645276,0.426966,0.21831,0.117212,0.78169,0.203857,0.581076,0.242844,0.751122
vg_scale_any,clip,umbrella,0,1,an umbrella,2100,161,0.076667,0.192217,0.578851,0.380093,0.198758,0.148961,0.801242,0.251217,0.522255,0.49827,0.799247
vg_scale_any,clip,umbrella,1,1,an umbrella,2100,138,0.065714,0.192217,0.519434,0.381753,0.137681,0.137097,0.862319,0.236581,0.472721,0.526692,0.840181
vg_scale_any,clip,umbrella,2,1,an umbrella,2100,153,0.072857,0.192217,0.530258,0.373395,0.156863,0.150701,0.843137,0.255699,0.461273,0.550947,0.825507
vg_scale_any,clip,umbrella,3,1,an umbrella,2100,143,0.068095,0.192217,0.568313,0.372509,0.195804,0.136256,0.804196,0.233029,0.527927,0.49953,0.802613
vg_scale_any,clip,bus,0,1,a bus,2100,150,0.071429,0.196394,0.436923,0.26359,0.173333,0.194357,0.826667,0.314721,0.401026,0.57712,0.878027
vg_scale_any,clip,bus,1,1,a bus,2100,149,0.070952,0.196394,0.420524,0.246028,0.174497,0.20398,0.825503,0.327128,0.388794,0.554408,0.875837
vg_scale_any,clip,bus,2,1,a bus,2100,150,0.071429,0.196394,0.456923,0.236923,0.22,0.202073,0.78,0.320988,0.411795,0.556892,0.867323
vg_scale_any,clip,bus,3,1,a bus,2100,166,0.079048,0.196394,0.423923,0.249224,0.174699,0.221325,0.825301,0.349045,0.390987,0.557338,0.875481
vg_scale_any,clip,bird,0,1,a bird,2100,155,0.07381,0.190687,0.469641,0.276093,0.193548,0.188822,0.806452,0.305998,0.385538,0.656084,0.854021
vg_scale_any,clip,bird,1,1,a bird,2100,139,0.06619,0.190687,0.444352,0.286079,0.158273,0.172566,0.841727,0.286414,0.413711,0.640081,0.857484
vg_scale_any,clip,bird,2,1,a bird,2100,148,0.070476,0.190687,0.479245,0.283299,0.195946,0.177083,0.804054,0.290244,0.416316,0.633117,0.854948
vg_scale_any,clip,bird,3,1,a bird,2100,157,0.074762,0.190687,0.443719,0.271745,0.171975,0.197568,0.828025,0.319018,0.372125,0.706078,0.864528
vg_scale_any,clip,clock,0,1,a clock,2100,150,0.071429,0.201393,0.386667,0.193333,0.193333,0.242972,0.806667,0.373457,0.348718,0.709646,0.887309
vg_scale_any,clip,clock,1,1,a clock,2100,143,0.068095,0.201393,0.403454,0.193664,0.20979,0.229675,0.79021,0.355906,0.338484,0.721381,0.887011
vg_scale_any,clip,clock,2,1,a clock,2100,155,0.07381,0.201393,0.373215,0.186118,0.187097,0.258197,0.812903,0.391913,0.333825,0.742718,0.901023
vg_scale_any,clip,clock,3,1,a clock,2100,144,0.068571,0.201393,0.371847,0.177403,0.194444,0.25054,0.805556,0.382208,0.343857,0.710907,0.888825
vg_scale_any,clip,dog,0,1,a dog,2100,161,0.076667,0.188411,0.536673,0.306859,0.229814,0.172462,0.770186,0.281818,0.466601,0.556887,0.817255
vg_scale_any,clip,dog,1,1,a dog,2100,152,0.072381,0.188411,0.542891,0.312628,0.230263,0.161157,0.769737,0.266515,0.477953,0.514132,0.822872
vg_scale_any,clip,dog,2,1,a dog,2100,138,0.065714,0.188411,0.577494,0.309378,0.268116,0.142655,0.731884,0.238771,0.459181,0.522983,0.806878
vg_scale_any,clip,dog,3,1,a dog,2100,148,0.070476,0.188411,0.538547,0.315574,0.222973,0.157319,0.777027,0.261661,0.46209,0.499097,0.823899
vg_scale_any,clip,backpack,0,1,a backpack,2100,153,0.072857,0.190128,0.62592,0.403698,0.222222,0.131492,0.777778,0.224953,0.593412,0.342234,0.753635
vg_scale_any,clip,backpack,1,1,a backpack,2100,140,0.066667,0.190128,0.658163,0.408163,0.25,0.116022,0.75,0.200957,0.644388,0.27106,0.726348
vg_scale_any,clip,backpack,2,1,a backpack,2100,144,0.068571,0.190128,0.660617,0.396728,0.263889,0.120181,0.736111,0.206628,0.649327,0.264821,0.727019
vg_scale_any,clip,backpack,3,1,a backpack,2100,153,0.072857,0.190128,0.72975,0.416025,0.313725,0.114754,0.686275,0.196629,0.679819,0.290676,0.712167
vg_scale_any,clip,stop sign,0,1,a stop sign,2100,168,0.08,0.209659,0.346791,0.084886,0.261905,0.430556,0.738095,0.54386,0.336439,0.71124,0.896369
vg_scale_any,clip,stop sign,1,1,a stop sign,2100,147,0.07,0.209659,0.366981,0.08807,0.278912,0.381295,0.721088,0.498824,0.354619,0.674824,0.884162
vg_scale_any,clip,stop sign,2,1,a stop sign,2100,140,0.066667,0.209659,0.288776,0.081633,0.207143,0.409594,0.792857,0.540146,0.262755,0.762545,0.92879
vg_scale_any,clip,stop sign,3,1,a stop sign,2100,165,0.078571,0.209659,0.349119,0.094574,0.254545,0.401961,0.745455,0.522293,0.342824,0.700344,0.89162
vg_scale_any,clip,kite,0,1,a kite in the sky,2100,163,0.077619,0.209552,0.129376,0.055756,0.07362,0.583012,0.92638,0.71564,0.115833,0.913491,0.973291
vg_scale_any,clip,kite,1,1,a kite in the sky,2100,151,0.071905,0.209552,0.083908,0.050795,0.033113,0.595918,0.966887,0.737374,0.077656,0.932255,0.982355
vg_scale_any,clip,kite,2,1,a kite in the sky,2100,143,0.068095,0.209552,0.096634,0.054676,0.041958,0.561475,0.958042,0.70801,0.092224,0.907901,0.983809
vg_scale_any,clip,kite,3,1,a kite in the sky,2100,140,0.066667,0.209552,0.110204,0.053061,0.057143,0.559322,0.942857,0.702128,0.089286,0.892413,0.976443
