geometry,mode,band,arm,fraction,mean,sd,n_cells,metric
clip_l/whole_image,binary,deep 101-150,0.30,0.3,0.30830809791666663,0.11422062177975982,48,cost
clip_l/whole_image,binary,deep 101-150,0.40,0.4,0.30599730124999996,0.11397666490487143,48,cost
clip_l/whole_image,binary,deep 101-150,0.50,0.5,0.32269516875,0.1171802496400191,48,cost
clip_l/whole_image,binary,deep 101-150,0.60,0.6,0.32558473375,0.10424989483585181,48,cost
clip_l/whole_image,binary,deep 101-150,0.70,0.7,0.33344415583333337,0.11122420774294212,48,cost
clip_l/whole_image,binary,early 1-25,0.30,0.3,0.48275612479070595,0.1433732592996154,48,cost
clip_l/whole_image,binary,early 1-25,0.40,0.4,0.4895854694602273,0.13884616846369607,48,cost
clip_l/whole_image,binary,early 1-25,0.50,0.5,0.5038656904095301,0.1383558286611032,48,cost
clip_l/whole_image,binary,early 1-25,0.60,0.6,0.5141345437836243,0.1334882575660654,48,cost
clip_l/whole_image,binary,early 1-25,0.70,0.7,0.5365049016661178,0.13367032509855506,48,cost
clip_l/whole_image,binary,late 61-100,0.30,0.3,0.3304288505208333,0.11938510068465119,48,cost
clip_l/whole_image,binary,late 61-100,0.40,0.4,0.3318912609375,0.12033467780062351,48,cost
clip_l/whole_image,binary,late 61-100,0.50,0.5,0.34351994114583334,0.12473456923462532,48,cost
clip_l/whole_image,binary,late 61-100,0.60,0.6,0.34623771197916664,0.11183211407993207,48,cost
clip_l/whole_image,binary,late 61-100,0.70,0.7,0.35581418125,0.12261581449409761,48,cost
clip_l/whole_image,binary,mid 26-60,0.30,0.3,0.3687906,0.13217032467400971,48,cost
clip_l/whole_image,binary,mid 26-60,0.40,0.4,0.3742896791666667,0.13435836919340602,48,cost
clip_l/whole_image,binary,mid 26-60,0.50,0.5,0.3836438363095238,0.13207023421096528,48,cost
clip_l/whole_image,binary,mid 26-60,0.60,0.6,0.38459643214285716,0.12271340360607443,48,cost
clip_l/whole_image,binary,mid 26-60,0.70,0.7,0.40562182916666667,0.1429671574171741,48,cost
clip_l/whole_image,binary,deep 101-150,0.30,0.3,0.006603709583333333,0.014894921515897582,48,regret_honest
clip_l/whole_image,binary,deep 101-150,0.40,0.4,0.00881967125,0.012794034181758245,48,regret_honest
clip_l/whole_image,binary,deep 101-150,0.50,0.5,0.013844217083333334,0.015391359723612818,48,regret_honest
clip_l/whole_image,binary,deep 101-150,0.60,0.6,0.018346789166666665,0.02358674540354769,48,regret_honest
clip_l/whole_image,binary,deep 101-150,0.70,0.7,0.02037075875,0.026584058988934307,48,regret_honest
clip_l/whole_image,binary,early 1-25,0.30,0.3,0.0431683846309563,0.030505527765537457,48,regret_honest
clip_l/whole_image,binary,early 1-25,0.40,0.4,0.04745679538592446,0.03226635994928742,48,regret_honest
clip_l/whole_image,binary,early 1-25,0.50,0.5,0.057404993666282385,0.037670645489511954,48,regret_honest
clip_l/whole_image,binary,early 1-25,0.60,0.6,0.0717458202987758,0.0439402517306021,48,regret_honest
clip_l/whole_image,binary,early 1-25,0.70,0.7,0.08286675034996706,0.04826478015210949,48,regret_honest
clip_l/whole_image,binary,late 61-100,0.30,0.3,0.007929138020833332,0.015704910385568895,48,regret_honest
clip_l/whole_image,binary,late 61-100,0.40,0.4,0.003848536979166667,0.016367250393156663,48,regret_honest
clip_l/whole_image,binary,late 61-100,0.50,0.5,0.011498923958333332,0.01664388454648676,48,regret_honest
clip_l/whole_image,binary,late 61-100,0.60,0.6,0.018934672916666666,0.0265289254357705,48,regret_honest
clip_l/whole_image,binary,late 61-100,0.70,0.7,0.019002297916666668,0.025967491511375274,48,regret_honest
clip_l/whole_image,binary,mid 26-60,0.30,0.3,0.009420272619047619,0.015940803017002785,48,regret_honest
clip_l/whole_image,binary,mid 26-60,0.40,0.4,0.008026145238095238,0.020451322723411307,48,regret_honest
clip_l/whole_image,binary,mid 26-60,0.50,0.5,0.020858186904761905,0.02775162079903456,48,regret_honest
clip_l/whole_image,binary,mid 26-60,0.60,0.6,0.0221911125,0.027029360891591886,48,regret_honest
clip_l/whole_image,binary,mid 26-60,0.70,0.7,0.02183373333333333,0.02829783314418307,48,regret_honest
clip_l/whole_image,binary,deep 101-150,0.30,0.3,0.027480818333333334,0.013867253068890787,48,regret
clip_l/whole_image,binary,deep 101-150,0.40,0.4,0.028633760416666668,0.0115791346089439,48,regret
clip_l/whole_image,binary,deep 101-150,0.50,0.5,0.033749147916666666,0.012664716495325676,48,regret
clip_l/whole_image,binary,deep 101-150,0.60,0.6,0.03928011916666667,0.01965734396699267,48,regret
clip_l/whole_image,binary,deep 101-150,0.70,0.7,0.04143639291666667,0.022593456907142807,48,regret
clip_l/whole_image,binary,early 1-25,0.30,0.3,0.06756474141208278,0.028153095784042542,48,regret
clip_l/whole_image,binary,early 1-25,0.40,0.4,0.07269044509634387,0.029125805802374494,48,regret
clip_l/whole_image,binary,early 1-25,0.50,0.5,0.08307937103027559,0.03269986393463979,48,regret
clip_l/whole_image,binary,early 1-25,0.60,0.6,0.09620055118782939,0.03942121139205306,48,regret
clip_l/whole_image,binary,early 1-25,0.70,0.7,0.10829843250782278,0.04357703244871501,48,regret
clip_l/whole_image,binary,late 61-100,0.30,0.3,0.0291101203125,0.014708347291272472,48,regret
clip_l/whole_image,binary,late 61-100,0.40,0.4,0.026447561458333334,0.012879528274611413,48,regret
clip_l/whole_image,binary,late 61-100,0.50,0.5,0.0325797046875,0.013532869546786322,48,regret
clip_l/whole_image,binary,late 61-100,0.60,0.6,0.0402560015625,0.022094318248901325,48,regret
clip_l/whole_image,binary,late 61-100,0.70,0.7,0.04151458489583333,0.021205728888591777,48,regret
clip_l/whole_image,binary,mid 26-60,0.30,0.3,0.0317262744047619,0.015082469584956192,48,regret
clip_l/whole_image,binary,mid 26-60,0.40,0.4,0.03171150833333333,0.01722564715052143,48,regret
clip_l/whole_image,binary,mid 26-60,0.50,0.5,0.042585569047619044,0.023634158631487566,48,regret
clip_l/whole_image,binary,mid 26-60,0.60,0.6,0.044688354166666666,0.022380483080849736,48,regret
clip_l/whole_image,binary,mid 26-60,0.70,0.7,0.04487009821428572,0.024720516414127595,48,regret
clip_l/whole_image,binary,deep 101-150,0.30,0.3,75.31666666666666,0.20757293856062886,48,n_cal_scores
clip_l/whole_image,binary,deep 101-150,0.40,0.4,100.42,0.19699875796130983,48,n_cal_scores
clip_l/whole_image,binary,deep 101-150,0.50,0.5,125.47666666666667,0.20326414355890995,48,n_cal_scores
clip_l/whole_image,binary,deep 101-150,0.60,0.6,150.55333333333334,0.19740155999009543,48,n_cal_scores
clip_l/whole_image,binary,deep 101-150,0.70,0.7,175.67583333333334,0.202829278734747,48,n_cal_scores
clip_l/whole_image,binary,early 1-25,0.30,0.3,9.200099206349206,0.2509219543321279,48,n_cal_scores
clip_l/whole_image,binary,early 1-25,0.40,0.4,12.07311507936508,0.2970699933773968,48,n_cal_scores
clip_l/whole_image,binary,early 1-25,0.50,0.5,14.992063492063492,0.30016211719978203,48,n_cal_scores
clip_l/whole_image,binary,early 1-25,0.60,0.6,18.011904761904763,0.35139378141538874,48,n_cal_scores
clip_l/whole_image,binary,early 1-25,0.70,0.7,21.297906223893065,0.5466591090476299,48,n_cal_scores
clip_l/whole_image,binary,late 61-100,0.30,0.3,48.34166666666667,0.222732864835916,48,n_cal_scores
clip_l/whole_image,binary,late 61-100,0.40,0.4,64.42916666666666,0.2185136768038894,48,n_cal_scores
clip_l/whole_image,binary,late 61-100,0.50,0.5,80.49166666666666,0.22487190995436707,48,n_cal_scores
clip_l/whole_image,binary,late 61-100,0.60,0.6,96.60625,0.2110321645344241,48,n_cal_scores
clip_l/whole_image,binary,late 61-100,0.70,0.7,112.70833333333333,0.19768159799131113,48,n_cal_scores
clip_l/whole_image,binary,mid 26-60,0.30,0.3,25.742857142857144,0.24528555230808294,48,n_cal_scores
clip_l/whole_image,binary,mid 26-60,0.40,0.4,34.410714285714285,0.1866239121477302,48,n_cal_scores
