dataset,embedder,category,seed,supports_text,query,n_test,n_test_pos,prevalence,text_gmm_cut,text_cost,text_fpr,text_fnr,text_precision,text_recall,text_f1,text_oracle_cost,text_AP,text_auroc
vg_scale_any,clip_l,book,0,1,a book,2100,158,0.075238,0.120094,0.671505,0.430999,0.240506,0.125392,0.759494,0.215247,0.618806,0.378526,0.759438
vg_scale_any,clip_l,book,1,1,a book,2100,137,0.065238,0.120094,0.669636,0.414162,0.255474,0.111475,0.744526,0.193916,0.609982,0.379344,0.764218
vg_scale_any,clip_l,book,2,1,a book,2100,148,0.070476,0.120094,0.656278,0.440061,0.216216,0.118974,0.783784,0.206589,0.590856,0.40976,0.76594
vg_scale_any,clip_l,book,3,1,a book,2100,161,0.076667,0.120094,0.646478,0.429087,0.217391,0.131524,0.782609,0.225201,0.605669,0.388371,0.753337
vg_scale_any,clip_l,boat,0,1,a boat on the water,2100,141,0.067143,0.11512,0.274304,0.231751,0.042553,0.229202,0.957447,0.369863,0.20109,0.727108,0.953283
vg_scale_any,clip_l,boat,1,1,a boat on the water,2100,145,0.069048,0.11512,0.253938,0.233248,0.02069,0.237458,0.97931,0.382234,0.152377,0.810212,0.973599
vg_scale_any,clip_l,boat,2,1,a boat on the water,2100,152,0.072381,0.11512,0.283827,0.244353,0.039474,0.234727,0.960526,0.377261,0.183765,0.788924,0.960634
vg_scale_any,clip_l,boat,3,1,a boat on the water,2100,140,0.066667,0.11512,0.261735,0.233163,0.028571,0.229342,0.971429,0.371078,0.163776,0.800373,0.964337
vg_scale_any,clip_l,bicycle,0,1,a bicycle,2100,154,0.073333,0.129631,0.503457,0.373587,0.12987,0.155633,0.87013,0.264039,0.351257,0.582305,0.878245
vg_scale_any,clip_l,bicycle,1,1,a bicycle,2100,151,0.071905,0.129631,0.435645,0.36942,0.066225,0.163763,0.933775,0.278656,0.324381,0.622627,0.907557
vg_scale_any,clip_l,bicycle,2,1,a bicycle,2100,139,0.06619,0.129631,0.488497,0.359001,0.129496,0.146667,0.870504,0.251037,0.363131,0.556413,0.880002
vg_scale_any,clip_l,bicycle,3,1,a bicycle,2100,140,0.066667,0.129631,0.507653,0.357653,0.15,0.145122,0.85,0.247917,0.406122,0.545558,0.85664
vg_scale_any,clip_l,knife,0,1,a knife,2100,147,0.07,0.123309,0.717138,0.465438,0.251701,0.107949,0.748299,0.188679,0.669081,0.26918,0.718974
vg_scale_any,clip_l,knife,1,1,a knife,2100,155,0.07381,0.123309,0.693772,0.442159,0.251613,0.118852,0.748387,0.205128,0.634514,0.278094,0.730047
vg_scale_any,clip_l,knife,2,1,a knife,2100,149,0.070952,0.123309,0.692053,0.463865,0.228188,0.112745,0.771812,0.196749,0.627247,0.272984,0.725895
vg_scale_any,clip_l,knife,3,1,a knife,2100,142,0.067619,0.123309,0.707153,0.460674,0.246479,0.106046,0.753521,0.185925,0.674625,0.229994,0.710077
vg_scale_any,clip_l,umbrella,0,1,an umbrella,2100,161,0.076667,0.133791,0.554409,0.411552,0.142857,0.147436,0.857143,0.251595,0.488822,0.531999,0.827695
vg_scale_any,clip_l,umbrella,1,1,an umbrella,2100,138,0.065714,0.133791,0.571644,0.41947,0.152174,0.124468,0.847826,0.217069,0.491557,0.528929,0.837932
vg_scale_any,clip_l,umbrella,2,1,an umbrella,2100,153,0.072857,0.133791,0.586473,0.416538,0.169935,0.135394,0.830065,0.232814,0.505846,0.542123,0.818722
vg_scale_any,clip_l,umbrella,3,1,an umbrella,2100,143,0.068095,0.133791,0.621295,0.418498,0.202797,0.122186,0.797203,0.211896,0.51273,0.519296,0.812482
vg_scale_any,clip_l,bus,0,1,a bus,2100,150,0.071429,0.131014,0.482051,0.295385,0.186667,0.174785,0.813333,0.287736,0.439487,0.579767,0.848414
vg_scale_any,clip_l,bus,1,1,a bus,2100,149,0.070952,0.131014,0.467167,0.29267,0.174497,0.177233,0.825503,0.291815,0.406334,0.568742,0.864705
vg_scale_any,clip_l,bus,2,1,a bus,2100,150,0.071429,0.131014,0.473846,0.273846,0.2,0.183486,0.8,0.298507,0.426154,0.554116,0.848195
vg_scale_any,clip_l,bus,3,1,a bus,2100,166,0.079048,0.131014,0.476122,0.283351,0.192771,0.196481,0.807229,0.316038,0.425244,0.589031,0.857297
vg_scale_any,clip_l,bird,0,1,a bird,2100,155,0.07381,0.128016,0.479725,0.337789,0.141935,0.168354,0.858065,0.281481,0.361423,0.711514,0.881629
vg_scale_any,clip_l,bird,1,1,a bird,2100,139,0.06619,0.128016,0.466459,0.351351,0.115108,0.151478,0.884892,0.258675,0.352753,0.714572,0.890263
vg_scale_any,clip_l,bird,2,1,a bird,2100,148,0.070476,0.128016,0.458933,0.357582,0.101351,0.160048,0.898649,0.271706,0.359437,0.691355,0.899846
vg_scale_any,clip_l,bird,3,1,a bird,2100,157,0.074762,0.128016,0.461536,0.346886,0.11465,0.170972,0.88535,0.286598,0.324195,0.745423,0.896696
vg_scale_any,clip_l,clock,0,1,a clock,2100,150,0.071429,0.135429,0.357949,0.164615,0.193333,0.273756,0.806667,0.408784,0.32359,0.746579,0.892168
vg_scale_any,clip_l,clock,1,1,a clock,2100,143,0.068095,0.135429,0.354021,0.172202,0.181818,0.257709,0.818182,0.39196,0.31441,0.745991,0.885957
vg_scale_any,clip_l,clock,2,1,a clock,2100,155,0.07381,0.135429,0.332548,0.158355,0.174194,0.293578,0.825806,0.433164,0.2983,0.773927,0.912464
vg_scale_any,clip_l,clock,3,1,a clock,2100,144,0.068571,0.135429,0.340874,0.153374,0.1875,0.280576,0.8125,0.417112,0.319998,0.747878,0.895613
vg_scale_any,clip_l,dog,0,1,a dog,2100,161,0.076667,0.130332,0.534005,0.329036,0.204969,0.167102,0.795031,0.27616,0.430365,0.572265,0.83044
vg_scale_any,clip_l,dog,1,1,a dog,2100,152,0.072381,0.130332,0.543175,0.332649,0.210526,0.15625,0.789474,0.26087,0.431752,0.537418,0.829234
vg_scale_any,clip_l,dog,2,1,a dog,2100,138,0.065714,0.130332,0.524288,0.335882,0.188406,0.145266,0.811594,0.246425,0.433054,0.558336,0.830574
vg_scale_any,clip_l,dog,3,1,a dog,2100,148,0.070476,0.130332,0.561185,0.331455,0.22973,0.149803,0.77027,0.250825,0.456344,0.531593,0.818301
vg_scale_any,clip_l,backpack,0,1,a backpack,2100,153,0.072857,0.129909,0.662669,0.453518,0.20915,0.120518,0.79085,0.209162,0.590793,0.363523,0.765142
vg_scale_any,clip_l,backpack,1,1,a backpack,2100,140,0.066667,0.129909,0.691327,0.462755,0.228571,0.106404,0.771429,0.187013,0.627041,0.294214,0.73473
vg_scale_any,clip_l,backpack,2,1,a backpack,2100,144,0.068571,0.129909,0.706842,0.449898,0.256944,0.108409,0.743056,0.189213,0.647197,0.282866,0.716584
vg_scale_any,clip_l,backpack,3,1,a backpack,2100,153,0.072857,0.129909,0.717011,0.455573,0.261438,0.113,0.738562,0.19601,0.662397,0.315268,0.720545
vg_scale_any,clip_l,stop sign,0,1,a stop sign,2100,168,0.08,0.157418,0.32324,0.067288,0.255952,0.490196,0.744048,0.591017,0.314182,0.724434,0.912637
vg_scale_any,clip_l,stop sign,1,1,a stop sign,2100,147,0.07,0.157418,0.343793,0.071685,0.272109,0.433198,0.727891,0.543147,0.300636,0.691188,0.919141
vg_scale_any,clip_l,stop sign,2,1,a stop sign,2100,140,0.066667,0.157418,0.271429,0.064286,0.207143,0.468354,0.792857,0.588859,0.257653,0.762089,0.932157
vg_scale_any,clip_l,stop sign,3,1,a stop sign,2100,165,0.078571,0.157418,0.324971,0.076486,0.248485,0.455882,0.751515,0.567506,0.299131,0.731925,0.918146
vg_scale_any,clip_l,kite,0,1,a kite in the sky,2100,163,0.077619,0.16548,0.084581,0.023232,0.06135,0.772727,0.93865,0.847645,0.081424,0.950756,0.978098
vg_scale_any,clip_l,kite,1,1,a kite in the sky,2100,151,0.071905,0.16548,0.05718,0.017445,0.039735,0.810056,0.960265,0.878788,0.052657,0.963503,0.984237
vg_scale_any,clip_l,kite,2,1,a kite in the sky,2100,143,0.068095,0.16548,0.075873,0.019928,0.055944,0.775862,0.944056,0.851735,0.068719,0.94907,0.98729
vg_scale_any,clip_l,kite,3,1,a kite in the sky,2100,140,0.066667,0.16548,0.078571,0.021429,0.057143,0.758621,0.942857,0.840764,0.070918,0.94961,0.979133
