geometry,mode,band,fraction,delta,se,n_cells_paired,n_cells_arm,n_cells_incumbent,resolved,metric
siglip2_l/whole_image,binary,deep 101-150,0.3,-0.00900573083333334,0.005100394136222442,48,48,48,False,cost
siglip2_l/whole_image,binary,deep 101-150,0.4,-0.0005240195833333337,0.004313185225536672,48,48,48,False,cost
siglip2_l/whole_image,binary,deep 101-150,0.6,0.013214718749999998,0.004577299857691231,48,48,48,True,cost
siglip2_l/whole_image,binary,deep 101-150,0.7,0.007649826250000002,0.0050857518005895065,48,48,48,False,cost
siglip2_l/whole_image,binary,early 1-25,0.3,-0.017771087017496388,0.006821588634194236,48,48,48,True,cost
siglip2_l/whole_image,binary,early 1-25,0.4,-0.0096141988320707,0.0048680227892348,48,48,48,False,cost
siglip2_l/whole_image,binary,early 1-25,0.6,0.0047735425009018785,0.006365560410619987,48,48,48,False,cost
siglip2_l/whole_image,binary,early 1-25,0.7,0.018905940286796544,0.00555216332558213,48,48,48,True,cost
siglip2_l/whole_image,binary,late 61-100,0.3,-0.01060683072916667,0.0069070884050818375,48,48,48,False,cost
siglip2_l/whole_image,binary,late 61-100,0.4,-0.0013848218750000044,0.006430374930979231,48,48,48,False,cost
siglip2_l/whole_image,binary,late 61-100,0.6,0.006617871354166669,0.004576574664723044,48,48,48,False,cost
siglip2_l/whole_image,binary,late 61-100,0.7,-0.0010010645833333357,0.0063361039437835895,48,48,48,False,cost
siglip2_l/whole_image,binary,mid 26-60,0.3,-0.0180386005952381,0.009333433005624817,48,48,48,False,cost
siglip2_l/whole_image,binary,mid 26-60,0.4,-0.013176880357142866,0.008468856870724713,48,48,48,False,cost
siglip2_l/whole_image,binary,mid 26-60,0.6,-0.0059610339285714325,0.006230876457478911,48,48,48,False,cost
siglip2_l/whole_image,binary,mid 26-60,0.7,-0.010617752976190482,0.007968338218470991,48,48,48,False,cost
siglip2_l/whole_image,binary,deep 101-150,0.3,-0.0017509820833333338,0.0028910099585109776,48,48,48,False,regret_honest
siglip2_l/whole_image,binary,deep 101-150,0.4,0.0028982479166666662,0.002733115433488027,48,48,48,False,regret_honest
siglip2_l/whole_image,binary,deep 101-150,0.6,0.008908872083333333,0.003164431953835745,48,48,48,True,regret_honest
siglip2_l/whole_image,binary,deep 101-150,0.7,0.009050724166666666,0.003342643179321964,48,48,48,True,regret_honest
siglip2_l/whole_image,binary,early 1-25,0.3,-0.013628622736291486,0.0033244567397377783,48,48,48,True,regret_honest
siglip2_l/whole_image,binary,early 1-25,0.4,-0.007184251452020202,0.0033826647380730056,48,48,48,True,regret_honest
siglip2_l/whole_image,binary,early 1-25,0.6,0.009501050261544013,0.003163780650292417,48,48,48,True,regret_honest
siglip2_l/whole_image,binary,early 1-25,0.7,0.024476488988095246,0.0038657281020121675,48,48,48,True,regret_honest
siglip2_l/whole_image,binary,late 61-100,0.3,-0.003915131770833333,0.003358503306281402,48,48,48,False,regret_honest
siglip2_l/whole_image,binary,late 61-100,0.4,0.0008347041666666664,0.003568067837051378,48,48,48,False,regret_honest
siglip2_l/whole_image,binary,late 61-100,0.6,0.00410618125,0.0032243025064637356,48,48,48,False,regret_honest
siglip2_l/whole_image,binary,late 61-100,0.7,0.009406394270833333,0.003618135025936975,48,48,48,True,regret_honest
siglip2_l/whole_image,binary,mid 26-60,0.3,-0.010275247023809525,0.003787457952757953,48,48,48,True,regret_honest
siglip2_l/whole_image,binary,mid 26-60,0.4,-0.0038388577380952388,0.0037540281582654524,48,48,48,False,regret_honest
siglip2_l/whole_image,binary,mid 26-60,0.6,0.002241160714285714,0.0035487579831187718,48,48,48,False,regret_honest
siglip2_l/whole_image,binary,mid 26-60,0.7,0.005509407142857141,0.0036752270963554007,48,48,48,False,regret_honest
