arm,env,inclusion_k,n_cells,n_steps,d_regret,ci_lo,ci_hi,win_rate,d_regret_cost
fold_anchored_w0.3_q_tilt_qmean_s0.08,vg_scale/siglip+dinov3_patch/max_patch,-10,144,7344,-0.00720920261123581,-0.009040687807136056,-0.005512308486477047,0.4850217864923747,-7.382223129272461
fold_anchored_w0.3_q_tilt_qmean_s0.04,vg_scale/siglip+dinov3_patch/max_patch,-10,144,7344,-0.007209135530140366,-0.009025427820583845,-0.005525677317272897,0.4850217864923747,-7.38215446472168
fold_anchored_w0.3_q_tilt_qmean_s0.02,vg_scale/siglip+dinov3_patch/max_patch,-10,144,7344,-0.0002888882304858953,-0.0022988811777336104,0.001963428312395029,0.35498366013071897,-0.29582151770591736
fold_anchored_w0.3_cross_tilt_qmean,vg_scale/siglip+dinov3_patch/max_patch,-10,144,7344,0.000574991239595393,-0.000678657992618407,0.001823852347027601,0.335375816993464,0.588791012763977
fold_anchored_w0.3_rate_qmean,vg_scale/siglip+dinov3_patch/max_patch,-10,144,7344,0.006478232787458182,0.004864619913468636,0.008127411814245988,0.11206427015250545,6.6337103843688965
fold_anchored_w0.3_q_tilt_qmean_s0.01,vg_scale/siglip+dinov3_patch/max_patch,-10,144,7344,0.036585939668278736,0.028839363522775583,0.04476086556084284,0.061410675381263616,37.46400451660156
fold_anchored_w0.3_q_tilt_qmean_s0.005,vg_scale/siglip+dinov3_patch/max_patch,-10,144,7344,0.07139331313836944,0.059365665860792664,0.08312707593053496,0.032679738562091505,73.10675811767578
fold_anchored_w0.3_mid_qmean,vg_scale/siglip+dinov3_patch/max_patch,-10,144,7344,0.11512816924299389,0.10169408247799297,0.12829755498784556,0.0004084967320261438,117.89125061035156
fold_anchored_w0.3_q_tilt_qmean_s0.08,vg_scale/siglip+dinov3_patch/max_patch,-9,144,7344,-0.009341767217954496,-0.011596735121076849,-0.0071429305458480825,0.49155773420479304,-4.782984733581543
fold_anchored_w0.3_q_tilt_qmean_s0.04,vg_scale/siglip+dinov3_patch/max_patch,-9,144,7344,-0.009330465385680893,-0.01169097040963971,-0.007141594479936458,0.49155773420479304,-4.777198314666748
fold_anchored_w0.3_cross_tilt_qmean,vg_scale/siglip+dinov3_patch/max_patch,-9,144,7344,-4.273982550431457e-05,-0.0014404344073701244,0.0013672552923948283,0.3737745098039216,-0.02188277244567871
fold_anchored_w0.3_q_tilt_qmean_s0.02,vg_scale/siglip+dinov3_patch/max_patch,-9,144,7344,0.0016885842768555254,-0.0006456603755597238,0.0042797700546485075,0.3137254901960784,0.8645552396774292
fold_anchored_w0.3_rate_qmean,vg_scale/siglip+dinov3_patch/max_patch,-9,144,7344,0.007346740330477688,0.0056224266660213585,0.008998264675306523,0.10920479302832244,3.761531352996826
fold_anchored_w0.3_q_tilt_qmean_s0.01,vg_scale/siglip+dinov3_patch/max_patch,-9,144,7344,0.04020081215520735,0.03179033446117142,0.04876029333680579,0.049836601307189546,20.582815170288086
fold_anchored_w0.3_q_tilt_qmean_s0.005,vg_scale/siglip+dinov3_patch/max_patch,-9,144,7344,0.07289618724995409,0.06203638837185837,0.08461824106386376,0.029547930283224402,37.32284927368164
fold_anchored_w0.3_mid_qmean,vg_scale/siglip+dinov3_patch/max_patch,-9,144,7344,0.11237862325495168,0.09941440925490497,0.12552332753209988,0.0002723311546840959,57.53785705566406
fold_anchored_w0.3_q_tilt_qmean_s0.08,vg_scale/siglip+dinov3_patch/max_patch,-8,144,7344,-0.01177188123531102,-0.01466116110036866,-0.009090691926740233,0.4874727668845316,-3.013601541519165
fold_anchored_w0.3_q_tilt_qmean_s0.04,vg_scale/siglip+dinov3_patch/max_patch,-8,144,7344,-0.011721861439097678,-0.014544922017869095,-0.008733844971970307,0.4874727668845316,-3.0007965564727783
fold_anchored_w0.3_cross_tilt_qmean,vg_scale/siglip+dinov3_patch/max_patch,-8,144,7344,-0.0007849521097619396,-0.0022441710919391903,0.0006868471306818125,0.39501633986928103,-0.20094774663448334
fold_anchored_w0.3_q_tilt_qmean_s0.02,vg_scale/siglip+dinov3_patch/max_patch,-8,144,7344,0.004493040502468817,0.0018540289575056255,0.007582849745972607,0.2761437908496732,1.1502183675765991
fold_anchored_w0.3_rate_qmean,vg_scale/siglip+dinov3_patch/max_patch,-8,144,7344,0.008245938162152319,0.0063556348610641555,0.01009868797410402,0.11151960784313726,2.1109602451324463
fold_anchored_w0.3_q_tilt_qmean_s0.01,vg_scale/siglip+dinov3_patch/max_patch,-8,144,7344,0.04336648171717488,0.034720583889263704,0.05188388193357601,0.03540305010893246,11.10181999206543
fold_anchored_w0.3_q_tilt_qmean_s0.005,vg_scale/siglip+dinov3_patch/max_patch,-8,144,7344,0.07370247602288298,0.06283713479027553,0.08498635536708529,0.02968409586056645,18.867834091186523
fold_anchored_w0.3_mid_qmean,vg_scale/siglip+dinov3_patch/max_patch,-8,144,7344,0.10871454614274019,0.09574190058909456,0.12130809813209503,0.0002723311546840959,27.83092498779297
fold_anchored_w0.3_q_tilt_qmean_s0.08,vg_scale/siglip+dinov3_patch/max_patch,-7,144,7344,-0.01428010848745013,-0.017796146789689417,-0.011060077989518574,0.4821623093681917,-1.8278539180755615
fold_anchored_w0.3_q_tilt_qmean_s0.04,vg_scale/siglip+dinov3_patch/max_patch,-7,144,7344,-0.0138588214223887,-0.017124952860956614,-0.010550988241363593,0.48148148148148145,-1.7739291191101074
fold_anchored_w0.3_cross_tilt_qmean,vg_scale/siglip+dinov3_patch/max_patch,-7,144,7344,-0.00209924210673762,-0.003772378390998041,-0.000409048449313017,0.4244281045751634,-0.26870298385620117
fold_anchored_w0.3_q_tilt_qmean_s0.02,vg_scale/siglip+dinov3_patch/max_patch,-7,144,7344,0.008097981261250374,0.0048214973742465375,0.011699003286495232,0.22154139433551198,1.0365415811538696
fold_anchored_w0.3_rate_qmean,vg_scale/siglip+dinov3_patch/max_patch,-7,144,7344,0.009027732718600924,0.007061414174269329,0.011189521065193732,0.11587690631808278,1.1555497646331787
fold_anchored_w0.3_q_tilt_qmean_s0.01,vg_scale/siglip+dinov3_patch/max_patch,-7,144,7344,0.04609291408977848,0.03820208916877574,0.05518588131046126,0.030364923747276687,5.899892807006836
fold_anchored_w0.3_q_tilt_qmean_s0.005,vg_scale/siglip+dinov3_patch/max_patch,-7,144,7344,0.07337398919723152,0.06282837018376944,0.08421267551543425,0.034586056644880174,9.391871452331543
fold_anchored_w0.3_mid_qmean,vg_scale/siglip+dinov3_patch/max_patch,-7,144,7344,0.10373839505582004,0.091363364931214,0.11586572069343977,0.0002723311546840959,13.27851390838623
fold_anchored_w0.3_q_tilt_qmean_s0.08,vg_scale/siglip+dinov3_patch/max_patch,-6,144,7344,-0.016001816018838138,-0.01999420685862587,-0.012044184398357298,0.4741285403050109,-1.0241161584854126
fold_anchored_w0.3_q_tilt_qmean_s0.04,vg_scale/siglip+dinov3_patch/max_patch,-6,144,7344,-0.014225957017435084,-0.01768260875223145,-0.010810027503664523,0.46895424836601307,-0.9104613065719604
fold_anchored_w0.3_cross_tilt_qmean,vg_scale/siglip+dinov3_patch/max_patch,-6,144,7344,-0.0039019397980900473,-0.005800506708402825,-0.00203991082332209,0.46092047930283225,-0.2497241497039795
fold_anchored_w0.3_rate_qmean,vg_scale/siglip+dinov3_patch/max_patch,-6,144,7344,0.009548754122331755,0.007536951378145002,0.011654724952484223,0.12581699346405228,0.6111202239990234
fold_anchored_w0.3_q_tilt_qmean_s0.02,vg_scale/siglip+dinov3_patch/max_patch,-6,144,7344,0.012657546539412264,0.008882624740310914,0.01688491223473585,0.17824074074074073,0.8100830316543579
fold_anchored_w0.3_q_tilt_qmean_s0.01,vg_scale/siglip+dinov3_patch/max_patch,-6,144,7344,0.0480917468085459,0.04014259942588296,0.05638426540496084,0.035266884531590416,3.077871799468994
fold_anchored_w0.3_q_tilt_qmean_s0.005,vg_scale/siglip+dinov3_patch/max_patch,-6,144,7344,0.07158588305152275,0.06164014621048,0.08188670275632282,0.03880718954248366,4.581496715545654
fold_anchored_w0.3_mid_qmean,vg_scale/siglip+dinov3_patch/max_patch,-6,144,7344,0.09708083896053823,0.08526264885406047,0.10870501350174018,0.0012254901960784314,6.213173866271973
fold_anchored_w0.3_q_tilt_qmean_s0.08,vg_scale/siglip+dinov3_patch/max_patch,-5,144,7344,-0.015264680281916299,-0.02006816430074486,-0.010640218396037604,0.46350762527233114,-0.4884697496891022
fold_anchored_w0.3_q_tilt_qmean_s0.04,vg_scale/siglip+dinov3_patch/max_patch,-5,144,7344,-0.010952261314767182,-0.014596997737782481,-0.007643262566174751,0.44907407407407407,-0.3504723310470581
fold_anchored_w0.3_cross_tilt_qmean,vg_scale/siglip+dinov3_patch/max_patch,-5,144,7344,-0.00656910079313396,-0.008501012337253479,-0.004497279484289153,0.5036764705882353,-0.21021121740341187
